MinReturn,MaxReturn,NumTrajs,ExplainedVariance,ItrTime,TotalExecTime,Entropy,LossAfter,AveragePolicyStd,Perplexity,MeanKL,AverageReturn,LossBefore,Time,StdReturn,MaxKL
2200.0,2900.0,200,0.995204563077,35.790382385253906,35.4171085357666,2.51476,-0.0315547,0.851361,12.3637,0.0859457,2668.0,-0.018873,1059.9796342849731,116.086174887,0.351521
2400.0,3000.0,200,0.9952055584,35.845067739486694,35.42959141731262,2.50533,-0.0169365,0.84733,12.2476,0.0731717,2675.5,-0.00594906,1095.8330171108246,116.832144549,0.265955
2300.0,3000.0,200,0.994186676408,36.128252029418945,35.69982933998108,2.50235,-0.036087,0.846028,12.2112,0.0312162,2672.0,-0.0303184,1131.9732344150543,127.342059038,0.104365
2300.0,2900.0,200,0.994066234217,36.067105770111084,35.64919090270996,2.48719,-0.00860116,0.839446,12.0275,0.030156,2672.0,-0.0027387,1168.0551648139954,122.947143114,0.0945883
2300.0,3000.0,200,0.994330252201,36.13562345504761,35.715415716171265,2.48582,-0.00729915,0.83885,12.011,0.0150979,2674.5,-0.00353338,1204.2138772010803,127.278238517,0.0539148
2300.0,3000.0,200,0.994507629272,37.967642068862915,37.54980659484863,2.48406,-0.00379929,0.838137,11.9898,0.00589137,2660.5,-0.00258119,1242.1925973892212,121.613116069,0.0203437
2200.0,3000.0,200,0.994163244299,36.354575872421265,35.95288586616516,2.48277,-0.0296541,0.837654,11.9744,0.0220884,2684.5,-0.0239974,1278.5617332458496,125.338541558,0.0713975
2300.0,3000.0,200,0.994436797297,35.529829263687134,35.10867762565613,2.47077,0.00457049,0.832557,11.8315,0.0269885,2682.5,0.00821196,1314.1072218418121,131.315459867,0.100236
2300.0,3000.0,200,0.994968071611,35.93191862106323,35.50185966491699,2.47487,-0.00552825,0.834263,11.8802,0.0115677,2693.5,-0.00327854,1350.0517156124115,121.687098741,0.0446706
2100.0,3000.0,200,0.993753422138,35.63321590423584,35.22168707847595,2.47324,-0.0171745,0.833635,11.8608,0.045294,2671.5,-0.0111083,1385.6962988376617,130.145111318,0.166866
