Perplexity,MinReturn,TotalExecTime,LossBefore,StdReturn,NumTrajs,Time,AverageReturn,LossAfter,Entropy,ItrTime,MeanKL,ExplainedVariance,AveragePolicyStd,MaxReturn,MaxKL
11.0609,500.0,4.802968978881836,0.0118859,698.887508831,40,4.872372150421143,1817.5,-0.1837,2.40341,4.872372627258301,1.53282,0.494583768619,0.805297,3200.0,51.8549
11.1931,0.0,4.712878465652466,-0.0169907,1590.18670287,40,9.656121492385864,4592.5,-0.0947319,2.4153,4.78077244758606,0.274206,0.726778970991,0.809917,6800.0,1.74841
11.0984,3500.0,4.667242050170898,-0.0491433,922.872553498,40,14.371074199676514,5532.5,-0.0954847,2.4068,4.709529399871826,0.119153,0.844178646851,0.806422,7700.0,5.54304
10.829,4400.0,4.676326274871826,-0.0637712,706.947664258,40,19.086318254470825,6135.0,-0.123144,2.38223,4.707883596420288,0.174665,0.908521445856,0.796527,7600.0,1.76123
10.4892,1800.0,4.855503797531128,-0.0172847,1925.09577684,40,24.015171766281128,4872.5,-0.067874,2.35035,4.925030469894409,0.14753,0.743016340087,0.783997,7600.0,1.07496
10.3989,0.0,4.459211826324463,-0.0847657,1205.7777573,40,28.554736852645874,6310.0,-0.144577,2.3417,4.52917742729187,0.181289,0.861321427798,0.780598,7500.0,9.78412
9.9674,2200.0,4.2596659660339355,-0.0509808,1613.18783779,40,32.86448645591736,6175.0,-0.091546,2.29932,4.3057639598846436,0.0888242,0.831835152236,0.764113,8200.0,7.9773
