MeanKLBefore,0AverageReturn,dLoss,0ExplainedVariance,0EnvExecTime,1AverageReturn,ItrTime,1MaxReturn,1AveragePolicyStd,LossBefore,0Perplexity,ComputeUpdatedDistTime,1EnvExecTime,0MaxReturn,1ExplainedVariance,1MinReturn,1PolicyExecTime,LossAfter,0AveragePolicyStd,Time,0Entropy,1NumTrajs,1Perplexity,0PolicyExecTime,0ProcessExecTime,0NumTrajs,0StdReturn,0MinReturn,1StdReturn,MeanKL,1ProcessExecTime,1Entropy
7.42148120736e-10,16.8333333333,0.00399409234524,0.00777074337233,30.934949159622192,34.0833333333,149.9580626487732,2700.0,0.99959,4.65661287308e-10,17.0795,0.7906455993652344,29.813445806503296,2600.0,0.011118324719,0.0,44.99198293685913,-0.00399409187958,1.0,149.9580593109131,2.83788,1200,17.0654,35.07508730888367,1.25244140625,1200,157.427143643,0.0,230.896787307,0.00863224547356,1.185025691986084,2.83705
-1.01863639745e-09,34.4166666667,0.00264668483578,0.00897800970823,30.29537868499756,54.5833333333,152.3983108997345,3800.0,0.99839,-1.20780896395e-09,17.0116,0.10054254531860352,30.0148606300354,4100.0,0.0206006016134,0.0,45.48415398597717,-0.00264668604359,0.998024,304.40794587135315,2.8339,1200,17.0241,38.655489444732666,1.2613630294799805,1200,243.701647626,0.0,330.92646674,0.0076882247813,1.2010748386383057,2.83463
-7.5669981392e-10,45.1666666667,0.0037199522485,0.0146437969916,30.401702642440796,42.0833333333,154.38160181045532,4000.0,0.999776,2.91038304567e-10,17.0213,0.12433171272277832,30.201253652572632,4500.0,0.0109165187419,0.0,45.85429930686951,-0.00371995195746,0.998306,460.97926092147827,2.83447,1200,17.0714,39.80316495895386,1.265915870666504,1200,311.544494771,0.0,281.254320954,0.00629796599969,1.2312493324279785,2.8374
4.94766061454e-10,48.0833333333,0.0036250683479,0.010435422217,29.99811291694641,78.1666666667,151.092102766037,4100.0,0.995691,4.65661287308e-10,16.9129,0.09274077415466309,30.033731698989868,4600.0,0.0161509575285,0.0,48.26090359687805,-0.00362506788224,0.995144,614.335376739502,2.82808,1200,16.9317,34.8730354309082,1.2529323101043701,1200,337.460604697,0.0,417.739917759,0.00695304386318,1.2220313549041748,2.82919
-3.21306288242e-08,64.0833333333,0.00420946150552,0.0214367018017,29.61066198348999,72.3333333333,150.48741006851196,4800.0,0.984605,8.14907252789e-10,16.5813,0.0996236801147461,30.271098852157593,4200.0,0.0187852928605,0.0,51.77314019203186,-0.00420946069062,0.985328,766.8827238082886,2.80828,1200,16.5562,30.75628423690796,1.2331833839416504,1200,364.305265387,0.0,377.029471291,0.00982912164181,1.2473535537719727,2.80676
-4.65661620375e-10,117.666666667,0.00181144825183,0.0189283014986,29.816795825958252,135.5,152.35491347312927,5600.0,0.979549,-2.32830643654e-10,16.4156,0.12617802619934082,30.286974668502808,4800.0,0.0237777666793,0.0,52.77841019630432,-0.00181144848466,0.980409,921.5633368492126,2.79823,1200,16.386,31.663641452789307,1.2491328716278076,1200,512.18930962,0.0,575.67909174,0.00672376016155,1.2346272468566895,2.79643
1.16415121987e-09,120.0,0.00248086103238,0.0174721388055,30.30277419090271,130.166666667,155.90885996818542,5400.0,0.989247,0.0,16.7055,0.11002779006958008,30.771312475204468,5100.0,0.0176639096089,0.0,52.568944692611694,-0.00248086103238,0.989204,1079.7732555866241,2.81574,1200,16.7068,31.884053707122803,1.2947933673858643,1200,546.595523826,0.0,580.178109626,0.00730589404702,1.2604715824127197,2.81582
1.74622971638e-09,121.833333333,0.00177575374255,0.0126964628285,31.1219322681427,160.916666667,147.49880528450012,4800.0,0.989767,-6.40284270048e-10,16.6954,0.09180784225463867,30.00478506088257,4700.0,0.0219554119749,0.0,45.736560583114624,-0.00177575438283,0.98872,1229.49511384964,2.81513,1200,16.7309,31.223268270492554,1.3021225929260254,1200,519.124235826,0.0,620.481662143,0.00879956874996,1.2237253189086914,2.81726
-6.98492541584e-10,185.25,0.000976100098342,0.0224883208138,31.523113250732422,156.583333333,152.3548948764801,5800.0,0.981367,1.7462298274e-10,16.4724,0.12076687812805176,30.06581997871399,4600.0,0.0149848140943,0.0,45.9006986618042,-0.000976099923719,0.982113,1384.017243385315,2.80169,1200,16.4463,36.67214059829712,1.317821979522705,1200,641.748214515,0.0,623.035573935,0.00759615655988,1.2331109046936035,2.8001
-1.32713555701e-08,162.666666667,0.00242754860665,0.0189568542657,31.53857135772705,144.416666667,156.22220706939697,4600.0,0.978513,4.36557456851e-10,16.3892,0.12778782844543457,30.50577473640442,5400.0,0.0164217373186,0.0,45.86020874977112,-0.00242754817009,0.979695,1542.545114517212,2.79662,1200,16.349,40.12274622917175,1.3353776931762695,1200,628.747078632,0.0,542.788012385,0.0097890496254,1.253140926361084,2.79416
4.65661620375e-10,171.666666667,0.00129050534451,0.018366942557,30.401059865951538,180.583333333,152.3722653388977,5400.0,0.980934,-1.10594555736e-09,16.3885,0.09340977668762207,30.292931079864502,5700.0,0.0139212564672,0.0,45.15931177139282,-0.00129050645046,0.980644,1697.2625350952148,2.79658,1200,16.3992,38.49609971046448,1.2661161422729492,1200,630.698466429,0.0,719.164788526,0.00645920820534,1.2180778980255127,2.79723
