AveragePolicyStd,TotalExecTime,Time,MeanKL,Perplexity,LossAfter,LossBefore,NumTrajs,MaxReturn,ExplainedVariance,Entropy,StdReturn,ItrTime,AverageReturn,MinReturn,MaxKL
0.982009,7.647777080535889,7.732441425323486,1.51917,16.3558,-0.147621,0.0274421,40,3600.0,0.36257975346,2.79458,735.760660813,7.73244833946228,1162.5,0.0,28.3107
0.99656,7.430738687515259,15.306560039520264,0.114228,16.8109,-0.0437094,-0.00516827,40,1600.0,0.203038416432,2.82203,419.754392473,7.568951845169067,592.5,0.0,3.19761
0.995902,7.673065423965454,23.07776927947998,0.227126,16.7675,-0.0818566,-0.0240302,40,3100.0,0.568611887071,2.81944,611.861912526,7.7670440673828125,1875.0,400.0,20.3082
0.989383,7.99739670753479,31.12316918373108,0.176902,16.5672,-0.0838374,-0.0357972,40,3600.0,0.543296517061,2.80743,734.489618715,8.041651248931885,2305.0,300.0,20.5991
0.980181,7.5330564975738525,38.77423810958862,0.141411,16.2733,-0.0739848,-0.0275162,40,4300.0,0.614034612602,2.78953,809.861099202,7.640160322189331,2625.0,700.0,60.6232
0.973106,7.63221549987793,46.50260019302368,0.0721614,16.051,-0.0713172,-0.039984,40,5100.0,0.633352440853,2.77577,988.404648917,7.723853588104248,2742.5,600.0,2.77615
0.963063,8.246186017990112,54.8038763999939,0.0707252,15.7333,-0.0349468,-0.00323642,40,4400.0,0.590065635154,2.75578,1150.82579047,8.297064304351807,2660.0,200.0,3.57394
