AverageReturn,AveragePolicyStd,MaxReturn,Entropy,NumTrajs,StdReturn,MeanKL,ItrTime,MinReturn,MaxKL,ExplainedVariance,Time,LossAfter,Perplexity,TotalExecTime,LossBefore
45.0,0.58088,600.0,1.73658,40,122.372382505,0.268544,6.22064208984375,0.0,1.42439,0.0144095615128,6.22063684463501,-0.011016,5.67789,6.118079423904419,0.0319974
502.5,0.590617,1400.0,1.76858,40,363.653337672,0.0614196,6.163583993911743,0.0,0.106993,0.177489594574,12.388884782791138,0.00994931,5.8625,6.084539175033569,0.0336416
1112.5,0.596296,2500.0,1.7854,40,751.06174846,0.183265,6.115057706832886,0.0,0.508267,0.320031080832,18.514140129089355,-0.0510999,5.96195,6.065710067749023,0.0155717
3550.0,0.598742,5300.0,1.79318,40,802.807573457,0.1519,7.385390520095825,1800.0,0.306602,0.702002680749,25.904720783233643,-0.0818451,6.00855,7.321733713150024,-0.0248366
5620.0,0.594991,7000.0,1.78077,40,1113.37325278,0.0250526,6.400067090988159,2900.0,0.154615,0.826220112795,32.32686233520508,-0.053474,5.9344,6.328665256500244,-0.0301653
6392.5,0.590461,7600.0,1.76568,40,640.463699206,0.251257,6.078419923782349,4800.0,0.472412,0.93736278963,38.41904377937317,-0.102554,5.84556,6.014683485031128,-0.0395886
5492.5,0.584985,7900.0,1.74589,40,2297.86721766,0.32656,6.268273591995239,0.0,1.2847,0.632476024273,44.69809627532959,-0.0587703,5.73099,6.200421094894409,0.0343808
