MaxReturn,TotalExecTime,MaxKL,LossBefore,AveragePolicyStd,AverageReturn,Entropy,Perplexity,Time,LossAfter,ItrTime,MinReturn,ExplainedVariance,StdReturn,MeanKL,NumTrajs
400.0,4.861353158950806,1.74333,0.0303882,0.805297,30.0,2.40341,11.0609,4.930679559707642,-0.0114314,4.930682182312012,0.0,0.0696230450885,92.736184955,0.100372,40
300.0,4.633950471878052,1.09944,0.0325093,0.817634,22.5,2.4338,11.4021,9.622076272964478,-0.00483179,4.6879377365112305,0.0,0.0407818556726,72.4137417898,0.0893715,40
700.0,4.692709684371948,2.11393,0.0310841,0.824709,165.0,2.45005,11.589,14.365605354309082,-0.00528294,4.733716011047363,0.0,0.15252656763,198.179211826,0.0796078,40
2100.0,4.654864311218262,3.01241,0.0129179,0.831081,652.5,2.4656,11.7705,19.075162887573242,-0.074265,4.7045838832855225,0.0,0.235643633248,462.594584923,0.225638,40
5400.0,4.576117753982544,1.91987,-0.0405876,0.833956,3540.0,2.47206,11.8468,23.69959545135498,-0.100128,4.617682933807373,1700.0,0.640466815735,883.402513014,0.140129,40
7000.0,4.425856113433838,2.25006,-0.0746992,0.825505,5472.5,2.45176,11.6088,28.19309639930725,-0.118549,4.486894369125366,3300.0,0.850691474265,879.769145856,0.110471,40
7900.0,4.881414175033569,1.1438,-0.0211601,0.810277,6545.0,2.41441,11.1832,33.117236852645874,-0.0584379,4.9106738567352295,4600.0,0.928674102351,779.406825734,0.089551,40
