0AverageReturn,0NumTrajs,ItrTime,0MaxReturn,0AveragePolicyStd,ComputeUpdatedDistTime,1MinReturn,dLoss,0ExplainedVariance,1ExplainedVariance,1NumTrajs,0PolicyExecTime,1ProcessExecTime,MeanKLBefore,LossBefore,0MinReturn,0Entropy,1PolicyExecTime,1AveragePolicyStd,0StdReturn,0Perplexity,Time,1Entropy,1MaxReturn,0ProcessExecTime,LossAfter,0EnvExecTime,1Perplexity,1EnvExecTime,MeanKL,1AverageReturn,1StdReturn
10.0625,1600,130.41814160346985,1700.0,1.0,0.9083189964294434,0.0,0.00429612820153,0.0387494683188,0.104901415509,1600,32.418025493621826,0.9384326934814453,5.82073035604e-11,2.91038304567e-11,0.0,2.83788,47.99246335029602,0.999598,86.269902595,17.0795,130.4181354045868,2.83705,1900.0,0.9772319793701172,-0.00429612817243,21.067462682724,17.0654,20.962658405303955,0.00672939699143,28.875,158.91423591
20.5625,1600,126.4345691204071,1500.0,0.996247,0.10114049911499023,0.0,0.00811772898305,0.0635938315403,0.188132985717,1600,31.37755537033081,0.9457833766937256,6.98491764428e-10,1.04773789644e-09,0.0,2.83036,47.12505578994751,0.994784,131.514005314,16.9515,259.64360094070435,2.82741,1900.0,0.967771053314209,-0.00811772793531,20.77547335624695,16.9016,20.834953784942627,0.0089319916442,97.25,309.139834864
21.6875,1600,126.04142260551453,1800.0,0.993356,0.10133576393127441,0.0,0.00827074970584,0.0528004526517,0.286967337388,1600,30.909677028656006,0.9569530487060547,-2.32830754676e-09,-1.16415321827e-10,0.0,2.82454,47.16834378242493,0.993053,139.636679793,16.8532,388.9979553222656,2.82392,2200.0,0.959883451461792,-0.00827074982226,20.719211101531982,16.8427,20.92637324333191,0.00768955843523,167.5625,424.254120303
29.5,1600,126.87081289291382,2100.0,0.987456,0.1116952896118164,0.0,0.0081877898192,0.0600621936309,0.347965573831,1600,30.59216856956482,0.956810474395752,-4.65661204041e-10,-1.51339918375e-09,0.0,2.81261,47.82458472251892,0.985232,169.129388339,16.6532,519.0690701007843,2.80809,2400.0,0.9833085536956787,-0.0081877913326,21.0792019367218,16.5782,21.00037932395935,0.00820453930646,290.375,586.777095135
32.9375,1600,125.97355532646179,2100.0,0.97727,0.11110091209411621,0.0,0.00772192658042,0.0632946785361,0.400082876358,1600,28.95133066177368,0.9484798908233643,-1.3504182661e-08,3.28873284161e-09,0.0,2.79183,46.37033414840698,0.974351,179.850969121,16.3108,648.2176516056061,2.78581,2400.0,0.9661896228790283,-0.00772192329168,20.725215673446655,16.2129,21.081615686416626,0.00826001353562,338.0625,641.673589992
29.6875,1600,121.17705655097961,1700.0,0.965926,0.10041928291320801,0.0,0.00717055326095,0.0634548421159,0.43728206231,1600,28.133668661117554,0.9540436267852783,9.31321908482e-10,-1.92085281014e-09,0.0,2.76848,44.96659994125366,0.965402,159.843368157,15.9344,772.4233140945435,2.7674,2700.0,0.9617667198181152,-0.0071705551818,20.753652572631836,15.9172,20.830279111862183,0.00804076343775,438.6875,791.033834513
31.0,1600,135.87676453590393,1500.0,0.951978,0.10973262786865234,0.0,0.00691217882559,0.0551965120044,0.467255037801,1600,34.49505877494812,1.0064094066619873,9.31321908482e-10,1.39698386192e-09,0.0,2.7394,51.110347270965576,0.951652,159.887460421,15.4777,911.3363831043243,2.73871,2600.0,1.013779640197754,-0.0069121774286,21.60065793991089,15.4671,21.955549955368042,0.00777469854802,463.9375,820.666342732
34.4375,1600,142.82034277915955,1800.0,0.94228,0.3544485569000244,0.0,0.00784616149031,0.0552767155095,0.509241192513,1600,37.75170135498047,1.0372917652130127,-1.86264381696e-09,-2.09547579288e-09,0.0,2.71894,53.52426624298096,0.942424,177.187213404,15.1642,1057.6316606998444,2.71921,2900.0,1.0465795993804932,-0.00784616358578,21.928775548934937,15.1684,22.600062608718872,0.0077555058524,579.125,958.97822414
29.375,1600,140.94639658927917,1500.0,0.934251,0.1065671443939209,0.0,0.00693289551418,0.047872683349,0.518563757505,1600,38.890827655792236,1.003544807434082,9.31321797459e-10,-1.97906047106e-09,0.0,2.70178,50.97637224197388,0.934352,151.119520165,14.9063,1202.0852625370026,2.70196,2800.0,1.0542938709259033,-0.00693289749324,22.34636640548706,14.9089,22.06219983100891,0.00729473913088,601.9375,987.263893847
42.25,1600,143.28705430030823,1900.0,0.924885,0.11099529266357422,0.0,0.00776296621189,0.0590565740766,0.518584918511,1600,39.182310819625854,1.0508880615234375,-1.86264481616e-09,-4.65661287308e-10,0.0,2.68143,52.60437536239624,0.924223,207.520932679,14.606,1348.7901933193207,2.67993,2800.0,1.0664341449737549,-0.00776296667755,22.09191584587097,14.5841,22.650226593017578,0.00726502854377,680.625,997.722210525
