LossAfter,Perplexity,StdReturn,NumTrajs,ExplainedVariance,ItrTime,TotalExecTime,MaxKL,MinReturn,MeanKL,Entropy,AveragePolicyStd,AverageReturn,LossBefore,MaxReturn,Time
-0.0238163,17.1872,3676.8872705,20,0.300510669282,5.3082451820373535,5.250128507614136,0.132679,0.0,0.0350396,2.84416,1.0032,5650.0,-0.0104403,13300.0,5.308239936828613
-0.00640687,17.0086,3364.43160133,20,0.311801261755,4.793785572052002,4.719643831253052,0.0420752,0.0,0.00876859,2.83372,0.997929,5160.0,-0.00225125,12000.0,10.10506296157837
-0.00950534,16.9895,3608.96106934,20,0.274623290815,4.781983852386475,4.717982769012451,0.0411473,0.0,0.0174206,2.8326,0.997375,5520.0,-0.00160987,12500.0,14.89448094367981
-0.0169875,16.9758,4100.42375859,20,0.466052366446,5.070202827453613,5.033797264099121,0.008777,0.0,0.0045221,2.83179,0.996985,7545.0,-0.0142834,13100.0,19.97830629348755
0.0160092,16.855,3431.68690297,20,0.400259923773,5.216066837310791,5.164897203445435,0.0516774,0.0,0.0154538,2.82465,0.993449,6655.0,0.0221726,13500.0,25.200385093688965
-0.0150332,17.0429,2626.30919733,20,0.409072452051,5.121547698974609,5.070840835571289,0.0868554,2700.0,0.0430497,2.83574,0.999025,6450.0,-0.00190802,12300.0,30.333890199661255
-0.0216499,17.0267,4061.53911713,20,0.3599206925,5.154986619949341,5.122843027114868,0.11918,0.0,0.0402985,2.83478,0.998533,5530.0,-0.00793858,15900.0,35.492366790771484
