Entropy,MeanKL,MaxKL,AveragePolicyStd,MaxReturn,Perplexity,ExplainedVariance,LossAfter,AverageReturn,TotalExecTime,LossBefore,StdReturn,MinReturn,ItrTime,NumTrajs,Time
2.5148,0.0496066,2.06583,0.850923,2900.0,12.3641,0.993064049622,-0.0290595,2663.5,24.084668397903442,-0.0205789,138.628099605,2200.0,24.193769454956055,200,710.3118543624878
2.50451,0.0277264,1.31471,0.846517,3000.0,12.2376,0.994538399985,-0.0287882,2672.5,23.260789155960083,-0.0245332,128.42799539,2300.0,23.373072385787964,200,733.6885905265808
2.49224,0.0270185,0.677671,0.841331,3000.0,12.0884,0.99516840966,-0.0019843,2668.0,22.719651699066162,0.00705849,117.796434581,2400.0,22.843783140182495,200,756.5364506244659
2.49577,0.0374161,0.374089,0.842805,2900.0,12.1311,0.9937082223,-0.0176394,2663.0,20.908517360687256,-0.00713015,129.348366824,2200.0,20.982776403427124,200,777.5232000350952
2.49221,0.0164101,0.794918,0.841294,2900.0,12.088,0.993857693677,-0.0225761,2665.5,20.655492305755615,-0.0177187,129.459453112,2100.0,20.732261896133423,200,798.27916431427
2.48335,0.0297709,0.599384,0.837591,3000.0,11.9813,0.994312595397,-0.0249212,2669.5,20.73272466659546,-0.0169088,126.963577454,2300.0,20.834862232208252,200,819.1247313022614
2.4749,0.00372162,0.0277271,0.834049,3000.0,11.8805,0.994684300498,-0.00992677,2685.0,20.488457918167114,-0.00722555,119.058808998,2200.0,20.599987268447876,200,839.7368969917297
2.47128,0.0515029,1.56852,0.832548,2900.0,11.8376,0.994826335076,-0.0285902,2682.0,20.792678117752075,-0.0176758,121.967208708,2000.0,20.881523370742798,200,860.625776052475
2.46244,0.0379996,2.32072,0.828877,2900.0,11.7335,0.994099570603,-0.0194029,2665.5,20.71473264694214,-0.0143036,123.124936548,2300.0,20.809227228164673,200,881.4460270404816
2.45529,0.00905611,0.244071,0.825921,3000.0,11.6498,0.994525421963,-0.00855177,2672.5,20.571166276931763,-0.00525924,124.874937437,2300.0,20.700343370437622,200,902.1534061431885
