MaxKL,LossAfter,Perplexity,TotalExecTime,Entropy,StdReturn,AverageReturn,Time,NumTrajs,LossBefore,ExplainedVariance,AveragePolicyStd,MaxReturn,MinReturn,MeanKL,ItrTime
1.30533,0.00170222,13.6905,33.61954474449158,2.6167,133.007518584,2653.0,1048.1418974399567,200,0.00814369,0.993819129072,0.895569,2900.0,2200.0,0.0456812,33.93107724189758
0.553072,-0.0370734,13.7463,35.69321656227112,2.62077,143.788038445,2635.0,1084.1492178440094,200,-0.0310723,0.992595996801,0.897304,2900.0,2100.0,0.0174682,35.99345111846924
0.144753,-0.0487224,13.5344,34.21259665489197,2.60524,149.569381893,2623.0,1118.6388263702393,200,-0.0415285,0.991839190987,0.890347,2900.0,2000.0,0.0145203,34.47792434692383
0.327958,-0.00274168,13.2563,34.53942799568176,2.58447,142.464030548,2652.0,1153.5198550224304,200,0.00330077,0.99273458416,0.881146,2900.0,2200.0,0.0277383,34.84314775466919
0.0605876,-0.0315765,13.2782,34.616151094436646,2.58612,141.314365866,2644.5,1188.4640171527863,200,-0.0259192,0.992448518198,0.88186,3000.0,2000.0,0.012999,34.92198348045349
0.498146,-0.0158221,13.1072,33.20435667037964,2.57316,144.843881472,2654.5,1222.0050210952759,200,-0.0123416,0.99253431149,0.876219,3000.0,2200.0,0.00888485,33.52298927307129
3.42853,-0.0326569,13.0266,33.98289442062378,2.56699,139.891922569,2644.5,1256.3073825836182,200,-0.0208322,0.992463036267,0.873548,3000.0,2200.0,0.0668966,34.277735471725464
1.88921,-0.0250222,12.8916,33.76592683792114,2.55658,120.040618126,2659.5,1290.486938714981,200,-0.0134815,0.994313247552,0.869094,2900.0,2300.0,0.0690183,34.16880750656128
0.416524,-0.0107706,12.805,33.29205846786499,2.54983,120.129097225,2663.0,1324.1172003746033,200,-0.00686092,0.994035403335,0.866084,2900.0,2300.0,0.00932555,33.61528992652893
0.044651,0.00722172,12.7611,35.09844970703125,2.5464,114.803092293,2670.5,1359.5202147960663,200,0.00959677,0.994937577238,0.864611,2900.0,2300.0,0.00449418,35.38983154296875
0.274304,-0.0171266,12.8225,35.48236608505249,2.5512,136.958935451,2668.5,1395.3481497764587,200,-0.0133976,0.993652170203,0.866644,3000.0,2100.0,0.0109106,35.805907011032104
0.32109,-0.0357819,12.7369,35.26718306541443,2.5445,128.038080273,2667.5,1430.922287940979,200,-0.0294096,0.994003857869,0.863743,2900.0,2200.0,0.0247489,35.55741572380066
0.439361,-0.0225338,12.551,34.291046142578125,2.5298,129.297138406,2663.5,1465.4924266338348,200,-0.0197921,0.993950257067,0.857392,3000.0,2300.0,0.0107887,34.559690713882446
0.129999,-0.0205569,12.4274,35.17008399963379,2.5199,122.310056823,2665.5,1500.9236772060394,200,-0.0169263,0.994412187633,0.853181,2900.0,2200.0,0.0112254,35.412110567092896
0.102741,-0.00479877,12.3227,34.97111892700195,2.51144,128.062484749,2670.0,1536.1886336803436,200,-0.00276693,0.993608339303,0.849554,3100.0,2300.0,0.00729996,35.25033736228943
0.0259912,-0.022506,12.3056,35.69490075111389,2.51006,135.069426592,2657.5,1572.1601312160492,200,-0.0193945,0.993273065498,0.849014,3000.0,2200.0,0.00385835,35.952062129974365
0.493344,-0.0131186,12.1869,33.72843813896179,2.50036,123.643641163,2678.5,1606.1821711063385,200,-0.00776616,0.994684973072,0.844951,3000.0,2300.0,0.0206922,34.00089144706726
1.3143,-0.00636327,12.1396,35.19498324394226,2.49648,112.356575242,2676.0,1641.7133257389069,200,-0.00148225,0.995173143326,0.843293,2900.0,2400.0,0.035855,35.52124643325806
3.14311,-0.00210872,12.1306,36.01043629646301,2.49573,122.628504027,2671.5,1678.0770347118378,200,0.00156362,0.994158112631,0.842883,2900.0,2400.0,0.0308185,36.348384380340576
0.586027,-0.00924832,12.1401,33.840362548828125,2.49652,116.231450133,2684.5,1712.2316665649414,200,-0.00600596,0.99514117898,0.84322,3000.0,2200.0,0.0144454,34.143105030059814
0.713686,0.000570178,12.1037,34.16430139541626,2.49351,123.894108012,2675.5,1746.6613805294037,200,0.00695078,0.99403258494,0.841962,2900.0,2200.0,0.0370362,34.411885023117065
