MaxReturn,AveragePolicyStd,NumTrajs,Time,TotalExecTime,LossAfter,ExplainedVariance,AverageReturn,MaxKL,MeanKL,Entropy,Perplexity,ItrTime,MinReturn,StdReturn,LossBefore
1000.0,0.999438,20,17.54463291168213,17.251003980636597,0.0365114,0.16839104825,60.0,47.9963,0.407987,2.83651,17.0561,17.54463768005371,0.0,220.0,0.00917953
0.0,1.00405,20,33.75711417198181,15.99463677406311,-0.0,1,0.0,0.0,0.0,2.84569,17.2134,16.204836130142212,0.0,0.0,-0.0
900.0,1.00405,20,49.028876304626465,15.021521806716919,0.00710561,0.15791813746,90.0,3.47444,0.0173252,2.84569,17.2134,15.253267288208008,0.0,221.133443875,0.00775822
0.0,1.00599,20,65.59423780441284,16.361651182174683,-0.0,1,0.0,0.0,0.0,2.84957,17.2803,16.546424627304077,0.0,0.0,-0.0
1300.0,1.00599,20,82.53760623931885,16.60014033317566,-0.0146965,0.154034779676,65.0,0.0142951,0.000158801,2.84957,17.2803,16.892157793045044,0.0,283.32843133,-0.0139665
900.0,1.00246,20,99.47601199150085,16.799179553985596,0.00324459,0.193904522104,75.0,0.0430822,0.000439913,2.84259,17.1601,16.93390202522278,0.0,218.80356487,0.00413088
1900.0,1.00357,20,115.20203733444214,15.657853364944458,0.0134704,0.224338928003,110.0,0.0439781,0.00101063,2.84465,17.1956,15.70076608657837,0.0,415.812457726,0.0161345
