AveragePolicyStd,NumTrajs,Perplexity,MaxKL,Time,Entropy,TotalExecTime,MinReturn,MeanKL,ExplainedVariance,LossBefore,StdReturn,MaxReturn,ItrTime,LossAfter,AverageReturn
0.95435,20,15.4937,2.37718,4.930258750915527,2.74043,4.878502130508423,0.0,0.707575,0.187101020888,0.0208929,4008.19161219,12400.0,4.930263042449951,-0.0940554,5020.0
0.964605,20,15.8208,1.12469,14.473850727081299,2.76133,9.468862056732178,16600.0,0.117836,0.938978320283,-0.0130306,1290.19378389,21100.0,9.538541555404663,-0.0499924,19580.0
0.961676,20,15.7181,0.300935,19.43996787071228,2.75481,4.911628246307373,15400.0,0.115552,0.897840722352,-0.0105898,1526.13891897,20800.0,4.959542512893677,-0.0625738,18870.0
0.959071,20,15.6351,0.137884,24.34278154373169,2.74952,4.8582212924957275,17800.0,0.0468214,0.95148202396,-0.0256089,1157.1084651,21900.0,4.895320653915405,-0.0412538,20610.0
0.953603,20,15.4361,0.0311504,29.1779682636261,2.73671,4.784893989562988,19800.0,0.00426798,0.986535903273,-0.0150613,484.019627701,21600.0,4.828221559524536,-0.0193224,21115.0
0.9506,20,15.3203,0.622709,33.968180418014526,2.72918,4.744158506393433,20300.0,0.0446216,0.992075485445,-0.0111002,355.105618091,21900.0,4.782829761505127,-0.0246525,21470.0
0.948228,20,15.2355,0.567906,38.73416566848755,2.72363,4.735992193222046,18600.0,0.0729836,0.981051715084,-0.0115115,820.731381147,21800.0,4.759646415710449,-0.031204,20920.0
