LossBefore,dLoss,1AveragePolicyStd,ItrTime,0Perplexity,0PolicyExecTime,0ProcessExecTime,1ProcessExecTime,Time,0AverageReturn,1StdReturn,0EnvExecTime,0NumTrajs,1AverageReturn,1ExplainedVariance,1MinReturn,MeanKLBefore,0MinReturn,1Entropy,LossAfter,1Perplexity,0StdReturn,0AveragePolicyStd,1NumTrajs,MeanKL,0MaxReturn,0ExplainedVariance,1EnvExecTime,1PolicyExecTime,ComputeUpdatedDistTime,0Entropy,1MaxReturn
4.07453626394e-10,0.00304594699992,0.70753,79.60521125793457,8.5218,17.101808547973633,0.6735546588897705,0.6109204292297363,2663.1570019721985,235.916666667,1161.27218314,18.163870096206665,1200,669.5,0.398823585182,0.0,0.0,0.0,2.14143,-0.00304594659247,8.51164,572.71429153,0.708047,1200,0.00640582386404,2300.0,0.0780725974339,16.986641883850098,22.53494119644165,0.36098790168762207,2.14263,3000.0
-4.42378222942e-09,0.00330237089656,0.702308,80.29280614852905,8.39338,17.034421682357788,0.684689998626709,0.624561071395874,2745.160909175873,258.5,1158.23210289,18.174161672592163,1200,667.75,0.38966130423,0.0,0.0,0.0,2.12681,-0.00330237532035,8.38803,598.98059234,0.702615,1200,0.00681197596714,2300.0,0.079515868651,17.10431718826294,23.35051727294922,0.08545827865600586,2.12744,2900.0
-2.32830643654e-10,0.00344894034788,0.700924,79.1231598854065,8.42029,16.11024260520935,0.6682400703430176,0.6106367111206055,2826.5053412914276,257.333333333,1156.36763366,17.88274335861206,1200,666.75,0.380960493856,0.0,7.4505774883e-09,0.0,2.12263,-0.00344894058071,8.35304,595.25587402,0.703888,1200,0.00720836408436,2300.0,0.0792866731922,16.96037244796753,23.731386423110962,0.08629775047302246,2.13064,3000.0
-1.16415321827e-10,0.00323013437446,0.696419,78.27862358093262,8.31088,14.977546691894531,0.6553337574005127,0.6225326061248779,2906.669932603836,262.0,1159.87584345,17.49509835243225,1200,668.833333333,0.383855383662,0.0,0.0,0.0,2.11054,-0.00323013449088,8.2527,604.460641123,0.698973,1200,0.00729236053303,2400.0,0.0801108964713,17.02413773536682,24.290549278259277,0.07844305038452148,2.11757,2900.0
0.0,0.00343426689506,0.68926,79.33048439025879,8.09692,15.441916942596436,0.6740522384643555,0.6271665096282959,2988.1340169906616,271.416666667,1160.99946167,17.972618103027344,1200,669.5,0.381132228866,0.0,7.4505774883e-09,0.0,2.08923,-0.00343426689506,8.07873,618.351027375,0.690134,1200,0.00807556230575,2400.0,0.0817111004485,17.183836460113525,24.194108963012695,0.07659626007080078,2.09148,3000.0
2.79396772385e-09,0.00359958619811,0.683107,78.14134645462036,7.94541,15.278747081756592,0.6647927761077881,0.6028010845184326,3067.873777627945,276.0,1161.83045235,17.74088215827942,1200,670.0,0.378233989391,0.0,0.0,0.0,2.07045,-0.00359958340414,7.9284,608.008223629,0.683918,1200,0.00854946020991,2600.0,0.0723000020735,16.740211248397827,23.94961953163147,0.07996916770935059,2.07259,3000.0
-4.65661287308e-10,0.00310644228011,0.687091,78.07346534729004,8.04489,14.744428634643555,0.6419050693511963,0.6156618595123291,3147.9582793712616,280.833333333,1163.32974868,17.238444805145264,1200,670.75,0.389604266284,0.0,0.0,0.0,2.08213,-0.00310644274577,8.02154,620.899325352,0.688215,1200,0.00689574051648,2500.0,0.0907898900096,17.330097436904907,24.206112146377563,0.0818636417388916,2.08504,3000.0
4.65661287308e-10,0.00362801877782,0.681497,77.25621128082275,7.93266,14.511447429656982,0.6340625286102295,0.6222357749938965,3227.0600810050964,275.416666667,1157.60978601,16.915179014205933,1200,667.5,0.375584489861,0.0,0.0,0.0,2.06523,-0.00362801831216,7.88713,614.142214574,0.683559,1200,0.0094287712127,2500.0,0.0837200370727,17.232460498809814,24.211446285247803,0.07541704177856445,2.07099,3000.0
-1.86264514923e-09,0.00330629362725,0.671464,77.5632336139679,7.68246,14.580186605453491,0.6277990341186523,0.6195592880249023,3306.858681678772,268.833333333,1161.7185426,16.852254629135132,1200,669.833333333,0.382312167913,0.0,0.0,0.0,2.03642,-0.00330629548989,7.6631,613.714351759,0.672393,1200,0.00958322081715,2400.0,0.0786571919524,17.213223934173584,24.485650539398193,0.08624076843261719,2.03894,2900.0
9.31322574615e-10,0.00356028950773,0.672199,77.76231741905212,7.71224,15.119311809539795,0.6296186447143555,0.6303212642669678,3386.775567293167,279.25,1161.09136579,17.062703132629395,1200,669.583333333,0.366520900097,0.0,0.0,0.0,2.03929,-0.00356028857641,7.68516,616.409850803,0.673436,1200,0.00955932121724,2400.0,0.0741699989791,17.32279396057129,23.7995388507843,0.0949404239654541,2.04281,2900.0
1.16415321827e-09,0.00305534992367,0.672614,77.98652935028076,7.7159,15.43616771697998,0.6376502513885498,0.6153504848480225,3466.8324167728424,294.25,1159.14946968,17.160329341888428,1200,668.416666667,0.364092151446,0.0,0.0,0.0,2.03994,-0.00305534875952,7.69013,637.959197363,0.673884,1200,0.00651281699538,2400.0,0.0816718499602,17.218359231948853,23.767115592956543,0.0989069938659668,2.04328,3000.0
9.31322574615e-10,0.00425304565579,0.660421,78.3681869506836,7.44221,16.611457586288452,0.6519780158996582,0.615182638168335,3547.326479911804,279.166666667,1159.5408095,17.453742742538452,1200,668.666666667,0.355769541021,0.0,0.0,0.0,2.00205,-0.00425304472446,7.40419,619.663327049,0.662249,1200,0.00970520824194,2400.0,0.0760901543005,17.005223035812378,22.734122276306152,0.07603859901428223,2.00717,3000.0
8.14907252789e-10,0.00307675322983,0.663121,78.09265375137329,7.49439,16.800195932388306,0.6645069122314453,0.6001627445220947,3627.6417450904846,270.583333333,1161.42005991,17.768522024154663,1200,669.666666667,0.356312996642,0.0,2.23517364617e-08,0.0,2.01045,-0.00307675241493,7.46669,613.332150135,0.664409,1200,0.00672144023702,2400.0,0.077545888022,16.77781629562378,22.19924545288086,0.07966780662536621,2.01415,3000.0
9.31322574615e-10,0.00333012221381,0.663715,77.9977695941925,7.50246,16.892009496688843,0.6697852611541748,0.5988261699676514,3707.570565700531,261.666666667,1163.71352133,17.842544078826904,1200,670.916666667,0.370045321837,0.0,1.49011549766e-08,0.0,2.0129,-0.00333012128249,7.48497,603.818865408,0.664547,1200,0.00755693065003,2400.0,0.0819386360878,16.565829753875732,22.140891075134277,0.08258175849914551,2.01523,3000.0
-6.98491930962e-10,0.00347897107713,0.666136,80.01999402046204,7.57715,16.81579828262329,0.671628475189209,0.6079208850860596,3789.84312748909,261.583333333,1162.43563442,17.77829933166504,1200,670.25,0.366948764543,0.0,0.0,0.0,2.02302,-0.00347897177562,7.56112,593.800606031,0.666912,1200,0.00691891275346,2400.0,0.0805695864793,16.99998712539673,22.78721022605896,0.07788920402526855,2.02514,2900.0
1.62981450558e-09,0.00400666124187,0.671992,78.52273392677307,7.72132,16.089829206466675,0.6761167049407959,0.6079182624816895,3870.3567876815796,272.166666667,1168.02989105,17.932711601257324,1200,673.583333333,0.368220458985,0.0,-7.4505774883e-09,0.0,2.041,-0.00400665961206,7.69827,612.0255759,0.673063,1200,0.00686538778245,2400.0,0.0889134955652,16.876845836639404,23.20395541191101,0.07501220703125,2.04399,3000.0
