LossAfter,MaxReturn,AverageReturn,Entropy,LossBefore,MinReturn,TotalExecTime,ItrTime,StdReturn,MeanKL,Perplexity,NumTrajs,ExplainedVariance,MaxKL,Time,AveragePolicyStd
-0.0,0.0,0.0,2.79458,-0.0,0.0,7.777295112609863,7.843737602233887,0.0,0.0,16.3558,40,1,0.0,7.843736410140991,0.982009
-0.0310204,400.0,17.5,2.79458,-0.00188091,0.0,7.00276517868042,7.060944318771362,70.3118055521,0.0899801,16.3558,40,0.0568156435191,16.5586,14.909138202667236,0.982009
-0.0174416,800.0,55.0,2.79364,-8.05408e-05,0.0,6.971737623214722,7.07703971862793,143.090880213,0.0529137,16.3404,40,0.0741867373105,2.92813,21.991969347000122,0.981233
-0.0591485,500.0,62.5,2.7936,-0.0302698,0.0,7.429975748062134,7.4849324226379395,113.330269566,0.0838991,16.3398,40,0.0571364742119,3.20874,29.479702711105347,0.981333
-0.0536301,1000.0,235.0,2.77847,-0.00822353,0.0,7.1871538162231445,7.251333951950073,281.558164506,0.173993,16.0943,40,0.105451838715,10.3502,36.75859045982361,0.973849
-0.0549844,2300.0,825.0,2.77436,-0.018801,0.0,6.957708120346069,7.046088695526123,505.840884073,0.0921949,16.0283,40,0.289425912181,2.26647,43.8121280670166,0.971766
-0.043218,3300.0,1745.0,2.76495,-0.0114869,300.0,7.301398277282715,7.347207069396973,757.941290602,0.0651832,15.8783,40,0.479205420174,3.57883,51.16376185417175,0.967674
