MaxKL,MeanKL,AveragePolicyStd,TotalExecTime,MaxReturn,MinReturn,Perplexity,NumTrajs,ExplainedVariance,AverageReturn,LossBefore,ItrTime,LossAfter,Time,Entropy,StdReturn
1.73217,0.0503086,0.844273,17.568806409835815,2900.0,2100.0,12.174,200,0.993510350058,2668.0,-0.0182703,17.671732187271118,-0.0266409,480.7055947780609,2.4993,126.791166885
0.143267,0.0206986,0.840439,17.914660692214966,3000.0,2300.0,12.0633,200,0.994113371761,2675.0,-0.0135049,18.001668453216553,-0.0194193,498.7112283706665,2.49017,124.398553046
1.15403,0.0423288,0.837603,18.61003065109253,3000.0,2300.0,11.9821,200,0.995001362612,2680.0,-0.010709,18.694361448287964,-0.0180574,517.4180037975311,2.48341,117.473401245
0.0906315,0.00302177,0.835366,17.261471033096313,3000.0,2300.0,11.9181,200,0.994035845313,2680.5,0.00986828,17.32720923423767,0.00735747,534.7565398216248,2.47806,116.059252109
0.172466,0.0112019,0.837442,17.45549201965332,2900.0,2300.0,11.9771,200,0.994908571652,2672.5,-0.022399,17.522849559783936,-0.0270215,552.2821247577667,2.48299,109.97158724
0.227116,0.00699474,0.832768,17.118600368499756,2900.0,2200.0,11.8437,200,0.994356181956,2670.5,-0.00829478,17.211142778396606,-0.0126484,569.5045890808105,2.47179,124.818868766
0.401995,0.0145613,0.831065,17.285444021224976,2900.0,2400.0,11.7947,200,0.995463421055,2672.0,-0.00586433,17.347112894058228,-0.0108824,586.8556036949158,2.46765,111.874930168
0.729712,0.0596312,0.829849,17.12977647781372,2900.0,2300.0,11.7601,200,0.994469663433,2659.5,-0.00254626,17.214574337005615,-0.0137472,604.0816829204559,2.46471,122.105487182
3.57896,0.0726751,0.829334,16.99092173576355,3000.0,2300.0,11.7452,200,0.994717246233,2670.0,-0.00223535,17.080078840255737,-0.0157343,621.1682007312775,2.46344,122.474487139
0.0970161,0.00717433,0.828854,17.242225408554077,2900.0,2300.0,11.732,200,0.994488070329,2671.5,0.029143,17.309419870376587,0.0250623,638.4831082820892,2.46232,115.055421428
0.900516,0.0357929,0.834902,17.132724285125732,3000.0,2300.0,11.9042,200,0.995252666323,2671.5,-0.00390536,17.206554651260376,-0.00884024,655.7043406963348,2.47689,110.171457284
0.463233,0.025057,0.834077,17.52142906188965,3000.0,2400.0,11.881,200,0.995011172366,2670.0,0.000673452,17.58844518661499,-0.00611497,673.3052091598511,2.47494,114.455231423
0.624823,0.0145251,0.834243,17.053732872009277,2900.0,2300.0,11.885,200,0.994229290776,2676.0,-0.00671924,17.12890648841858,-0.0103435,690.4448177814484,2.47528,118.422970745
1.13412,0.0572908,0.832876,17.58629012107849,2900.0,2300.0,11.8452,200,0.994903179685,2673.0,-0.000526177,17.65036129951477,-0.00761309,708.1099212169647,2.47192,114.764977236
0.182164,0.00712386,0.832721,17.87278962135315,3000.0,2300.0,11.842,200,0.994391712591,2667.5,-0.014611,17.93348479270935,-0.017797,726.0523397922516,2.47166,124.473892845
0.555041,0.0410112,0.829685,17.64884352684021,3000.0,2300.0,11.7559,200,0.995065976398,2680.5,-0.00563816,17.745742559432983,-0.0127698,743.8217158317566,2.46435,120.290273921
0.765728,0.0365155,0.828517,17.329905033111572,3100.0,2300.0,11.7228,200,0.994626425319,2683.0,0.00423703,17.395426034927368,-0.00287732,761.2222406864166,2.46153,119.209898918
1.40946,0.0461103,0.829367,17.507311820983887,3000.0,2300.0,11.7476,200,0.994657273876,2667.5,-0.0188462,17.57868981361389,-0.0248242,778.807464838028,2.46365,116.592238164
0.402126,0.0287497,0.825487,17.153364419937134,2900.0,2300.0,11.6374,200,0.99464191967,2680.5,0.000844177,17.237277030944824,-0.00504656,796.0623579025269,2.45423,119.036759028
0.659003,0.0132968,0.825664,17.63286304473877,2900.0,2300.0,11.6424,200,0.994743838431,2684.5,-0.00560245,17.745612144470215,-0.00933396,813.8165969848633,2.45465,109.589004923
0.504184,0.0213586,0.824487,17.65360951423645,3000.0,2400.0,11.6098,200,0.994815189811,2675.5,0.0143567,17.711292505264282,0.00838306,831.5315864086151,2.45185,119.372316724
