ExplainedVariance,TotalExecTime,AverageReturn,LossBefore,MinReturn,Entropy,MaxReturn,MaxKL,Perplexity,MeanKL,NumTrajs,StdReturn,AveragePolicyStd,LossAfter,ItrTime,Time
0.309096916654,16.046683311462402,175.0,-0.00538039,0.0,2.83788,2200.0,2201.28,17.0795,36.0892,20,543.943930934,1.0,5.17057,16.333081483840942,16.33307385444641
1,17.51565933227539,0.0,-0.0,0.0,2.8325,0.0,0.0,16.9878,0.0,20,0.0,0.997317,-0.0,17.74912929534912,34.09946155548096
1,16.733633756637573,0.0,-0.0,0.0,2.8325,0.0,0.0,16.9878,0.0,20,0.0,0.997317,-0.0,16.863816738128662,50.9896080493927
1,16.830919981002808,0.0,-0.0,0.0,2.8325,0.0,0.0,16.9878,0.0,20,0.0,0.997317,-0.0,17.040090560913086,68.05670619010925
0.162807268216,16.461130380630493,290.0,-0.0111733,0.0,2.8325,5800.0,275.53,16.9878,5.79616,20,1264.08069363,0.997317,0.377849,16.53619074821472,84.60845375061035
0.094324602105,14.962407112121582,235.0,-0.0172573,0.0,2.82691,4100.0,211.148,16.8932,3.20501,20,896.256101792,0.994545,-0.247775,15.085634469985962,99.70615458488464
0.410115597536,14.602607488632202,90.0,-0.00811119,0.0,2.81828,1500.0,0.00483399,16.748,0.000418864,20,330.0,0.990321,-0.00949554,14.725889682769775,114.43879985809326
