ItrTime,LossBefore,MaxKL,LossAfter,StdReturn,Entropy,NumTrajs,AverageReturn,MinReturn,Perplexity,TotalExecTime,AveragePolicyStd,ExplainedVariance,MaxReturn,Time,MeanKL
33.863489627838135,-0.0172554,0.0499597,-0.0202091,118.405025231,2.52342,200,2669.5,2300.0,12.4712,33.52656054496765,0.85459,0.994102126819,2900.0,1106.8109135627747,0.00176236
34.9433650970459,-0.0205801,2.06471,-0.0290614,138.628099605,2.5148,200,2663.5,2200.0,12.3641,34.59752297401428,0.85092,0.993064073646,2900.0,1141.7604413032532,0.0495892
33.51660895347595,-0.0245315,1.31507,-0.0287865,128.42799539,2.50451,200,2672.5,2300.0,12.2375,33.16876435279846,0.846514,0.994538410484,3000.0,1175.3024954795837,0.0277333
34.513147830963135,0.00717335,0.676915,-0.00185555,117.796434581,2.49224,200,2668.0,2400.0,12.0883,34.23261833190918,0.841329,0.995168073786,3000.0,1209.8370299339294,0.0269475
35.46050763130188,-0.00715053,0.373755,-0.017678,129.348366824,2.49583,200,2663.0,2200.0,12.1318,35.09685826301575,0.842827,0.993708577641,2900.0,1245.3122973442078,0.0374923
35.5078387260437,-0.0177166,0.791727,-0.0225628,129.459453112,2.49225,200,2665.5,2100.0,12.0885,35.181803703308105,0.841312,0.993857535516,2900.0,1280.8348355293274,0.0163396
34.912968158721924,-0.0169105,0.598542,-0.0249145,126.963577454,2.48339,200,2669.5,2300.0,11.9819,34.580437421798706,0.837609,0.994312340238,3000.0,1315.7666084766388,0.0297437
35.198017597198486,-0.0072737,0.0278999,-0.00998541,119.058808998,2.47494,200,2685.0,2200.0,11.881,34.85987401008606,0.834067,0.994683433953,3000.0,1350.9780535697937,0.00374954
34.92174482345581,-0.0176837,1.57336,-0.0285938,121.967208708,2.4713,200,2682.0,2000.0,11.8378,34.695234060287476,0.832556,0.994826418065,2900.0,1385.9178228378296,0.0515644
34.99913811683655,-0.0143357,2.30318,-0.0194295,123.124936548,2.46246,200,2665.5,2300.0,11.7336,34.69808292388916,0.828883,0.994099770731,2900.0,1420.9295308589935,0.0378835
37.738091468811035,-0.00526053,0.245791,-0.00855144,124.874937437,2.45529,200,2672.5,2300.0,11.6498,37.4629909992218,0.825921,0.994525373468,3000.0,1458.6910817623138,0.00907038
34.62793231010437,-0.00624112,2.03177,-0.0215792,121.946709673,2.45266,200,2673.0,2300.0,11.6192,34.34705638885498,0.824837,0.994555575023,3000.0,1493.3321726322174,0.0972306
36.527416706085205,0.0153594,0.718435,0.00912718,114.188440746,2.44954,200,2681.0,2300.0,11.583,36.164836406707764,0.82355,0.994664469799,3000.0,1529.874309539795,0.0322234
36.44380021095276,0.00855941,0.176491,0.00358588,113.30931118,2.45722,200,2681.0,2400.0,11.6723,36.160709619522095,0.826715,0.994980938954,2900.0,1566.3317341804504,0.0163297
35.64280605316162,0.0047611,0.0427933,0.00243732,117.421250206,2.4615,200,2678.5,2300.0,11.7224,35.36602163314819,0.828469,0.994859587708,3000.0,1602.002239227295,0.00280294
31.867474794387817,0.00282599,1151.6,-1.703,129.783473524,2.46388,200,2677.5,2200.0,11.7503,31.678496599197388,0.829451,0.993970243627,3000.0,1633.886027097702,10.2647
35.12464189529419,-0.00831974,0.307281,-0.01236,126.0,2.46529,200,2682.0,2300.0,11.7669,34.86833882331848,0.830033,0.994489653,3000.0,1669.0425219535828,0.0189728
34.25386047363281,0.00901049,0.210849,0.00455503,121.45369488,2.46113,200,2693.0,2300.0,11.7181,33.969645738601685,0.828307,0.995034935737,3000.0,1703.3138074874878,0.00997854
35.625925064086914,-0.00112906,1.17316,-0.00889231,122.383618185,2.46564,200,2691.5,2300.0,11.771,35.32423710823059,0.830178,0.994943584157,3000.0,1738.9548852443695,0.0628799
34.711493492126465,0.00814066,1.50345,-0.00249184,114.782402832,2.46507,200,2695.0,2400.0,11.7644,34.42171835899353,0.829941,0.995608018865,3000.0,1773.6925864219666,0.0565429
34.22067189216614,-0.00425841,0.137672,-0.00673978,116.807534004,2.46914,200,2684.0,2200.0,11.8123,33.943371534347534,0.831632,0.994988642037,2900.0,1807.926875591278,0.00533859
35.58735203742981,-0.00515673,0.41089,-0.011052,121.423844446,2.46701,200,2682.5,2300.0,11.7872,35.23774695396423,0.830747,0.994809666999,2900.0,1843.5289132595062,0.0192912
