MeanKL,AveragePolicyStd,NumTrajs,ItrTime,Time,AverageReturn,MinReturn,LossBefore,Entropy,Perplexity,MaxKL,MaxReturn,TotalExecTime,ExplainedVariance,LossAfter,StdReturn
0.045697,0.895569,200,38.223979234695435,1079.8446171283722,2653.0,2200.0,0.0081492,2.6167,13.6905,1.30765,2900.0,37.7545702457428,0.993819038958,0.00171005,133.007518584
0.0174329,0.897304,200,38.03378629684448,1117.8950901031494,2635.0,2100.0,-0.0310731,2.62077,13.7464,0.552971,2900.0,37.6076238155365,0.992595902784,-0.0370729,143.788038445
0.0145122,0.890348,200,38.014822244644165,1155.9291265010834,2623.0,2000.0,-0.0415234,2.60524,13.5344,0.144915,2900.0,37.58734345436096,0.991838892834,-0.0487145,149.569381893
0.0277699,0.881148,200,38.147000789642334,1194.0914661884308,2652.0,2200.0,0.00329287,2.58448,13.2563,0.328416,2900.0,37.714576959609985,0.992732827979,-0.00275569,142.464030548
0.0128886,0.881861,200,38.348711252212524,1232.4527418613434,2644.5,2000.0,-0.0258742,2.58612,13.2782,0.0599987,3000.0,37.922810792922974,0.992449403701,-0.0315106,141.314365866
0.00889278,0.876228,200,37.83692193031311,1270.3048741817474,2654.5,2200.0,-0.0123453,2.57318,13.1075,0.496836,3000.0,37.39490747451782,0.992534947919,-0.0158243,144.843881472
0.0668698,0.873557,200,38.49686884880066,1308.8172495365143,2644.5,2200.0,-0.0207204,2.56701,13.0268,3.42132,3000.0,38.05704879760742,0.992464538337,-0.0325255,139.891922569
0.0691979,0.869127,200,39.003514528274536,1347.8310515880585,2659.5,2300.0,-0.0134999,2.55665,12.8926,1.89288,2900.0,38.564364433288574,0.994313388784,-0.0250675,120.040618126
0.00930234,0.866113,200,39.203306436538696,1387.0513961315155,2663.0,2300.0,-0.00686919,2.5499,12.8058,0.414863,2900.0,38.7684850692749,0.994034794853,-0.0107822,120.129097225
0.00448824,0.864638,200,39.07274556159973,1426.1336226463318,2670.5,2300.0,0.00960852,2.54647,12.7619,0.0447064,2900.0,38.7524094581604,0.994937363126,0.00723884,114.803092293
0.010919,0.866674,200,38.614060401916504,1464.7678105831146,2668.5,2100.0,-0.0134275,2.55127,12.8234,0.273307,3000.0,38.2646210193634,0.993652829633,-0.0171546,136.958935451
0.0246768,0.863766,200,38.28273153305054,1503.067143201828,2667.5,2200.0,-0.0294196,2.54456,12.7376,0.32054,2900.0,37.87732434272766,0.994003167436,-0.0357912,128.038080273
0.0109083,0.857413,200,38.24256157875061,1541.3261888027191,2664.0,2300.0,-0.0207278,2.52985,12.5516,0.45241,3000.0,37.832531452178955,0.993930265432,-0.0234663,128.856509343
0.0113007,0.853001,200,38.76587533950806,1580.1139459609985,2665.5,2200.0,-0.0166131,2.51948,12.4222,0.130529,2900.0,38.32253050804138,0.994413290526,-0.0202499,122.310056823
0.00730215,0.849442,200,38.76399898529053,1618.8988273143768,2670.0,2300.0,-0.00271717,2.51118,12.3194,0.10217,3100.0,38.324095487594604,0.993609483804,-0.00475167,128.062484749
0.00382263,0.848912,200,38.29252862930298,1657.2016468048096,2657.5,2200.0,-0.0192968,2.50982,12.3027,0.0257669,3000.0,37.897510051727295,0.993276215419,-0.0224152,135.069426592
0.019117,0.844871,200,37.885024547576904,1695.1033759117126,2678.0,2300.0,-0.00851694,2.50017,12.1846,0.419736,3000.0,37.482937812805176,0.994698067637,-0.0136729,123.353151561
0.035317,0.843052,200,37.6881685256958,1732.8201558589935,2676.0,2400.0,-0.00176209,2.49591,12.1328,1.27727,2900.0,37.30438542366028,0.995173234283,-0.00661526,112.356575242
0.0304303,0.842585,200,37.6421902179718,1770.4724650382996,2671.5,2400.0,0.00138755,2.49503,12.1221,3.10728,2900.0,37.214219093322754,0.994159962802,-0.00221637,122.628504027
0.0170757,0.842885,200,37.668529987335205,1808.1557803153992,2684.0,2200.0,-0.00472295,2.49572,12.1305,0.600761,3000.0,37.24002242088318,0.995123054352,-0.00794515,116.378692208
0.0368727,0.841897,200,37.681965589523315,1845.8509891033173,2675.5,2200.0,0.00719361,2.49336,12.1019,0.71471,2900.0,37.24392580986023,0.99403113653,0.000825903,123.894108012
