AverageReturn,AveragePolicyStd,TotalExecTime,StdReturn,Perplexity,MaxKL,ItrTime,LossBefore,Entropy,NumTrajs,MaxReturn,LossAfter,Time,ExplainedVariance,MeanKL,MinReturn
15.0,0.999438,15.764368534088135,65.3834841531,17.0561,0.89876,16.124277114868164,-0.00589318,2.83651,20,300.0,-0.00708513,16.124271154403687,0.0518227417387,0.00745488,0.0
20.0,0.996649,15.193955659866333,60.0,16.9559,5.41049,15.38811445236206,-0.00332285,2.83062,20,200.0,0.000481945,31.521517515182495,0.0870230668649,0.0793341,0.0
25.0,0.995697,14.501505374908447,108.972473589,16.9278,13.3967,14.596848011016846,0.00986497,2.82896,20,500.0,-0.0240097,46.14111804962158,0.19094745469,0.077396,0.0
10.0,0.998145,15.122900247573853,43.5889894354,17.0115,3.98626,15.204853296279907,-0.00151599,2.83389,20,200.0,-0.00351665,61.35928916931152,0.0378878796087,0.0228908,0.0
20.0,0.99771,16.822813987731934,87.1779788708,16.9986,0.0827074,17.00100588798523,-0.0221509,2.83313,20,400.0,-0.0230975,78.43091654777527,0.185809219821,0.000315932,0.0
40.0,0.992203,15.63605523109436,135.646599663,16.8114,1.36661,15.785985946655273,-0.0277513,2.82206,20,600.0,-0.031247,94.24725151062012,0.113670343186,0.00872021,0.0
