2Entropy,2PolicyExecTime,MeanKL,1StdReturn,1ProcessExecTime,2EnvExecTime,2NumTrajs,1ExplainedVariance,MeanKLBefore,0EnvExecTime,0Entropy,2Perplexity,2MinReturn,dLoss,0ExplainedVariance,1Perplexity,0Perplexity,0AveragePolicyStd,ItrTime,0ProcessExecTime,2AveragePolicyStd,0MaxReturn,2ProcessExecTime,1AverageReturn,ComputeUpdatedDistTime,0AverageReturn,1AveragePolicyStd,1MaxReturn,0NumTrajs,LossAfter,2AverageReturn,Time,LossBefore,0StdReturn,0PolicyExecTime,0MinReturn,2StdReturn,1EnvExecTime,1PolicyExecTime,2ExplainedVariance,1Entropy,2MaxReturn,1NumTrajs,1MinReturn
2.84285,44.297208070755005,0.00222194334492,156.991726991,1.2165775299072266,26.828741312026978,1600,0.115328309782,0.00222193775699,25.99418067932129,2.83788,17.1646,0.0,-2.32830643654e-10,0.0832427852383,17.1128,17.0795,1.0,219.9522523880005,1.145906686782837,1.0025,1900.0,1.1436002254486084,25.6875,0.4107170104980469,11.875,1.00099,1900.0,1600,-0.00180170289241,22.3125,219.95224595069885,-0.00180170312524,108.898964068,34.661202907562256,0.0,159.282460879,28.128685235977173,46.05596733093262,0.12796517095,2.83983,2100.0,1600,0.0
2.83826,31.93200135231018,0.0013472835999,202.778203957,1.2062351703643799,19.697591304779053,1600,0.182203887527,0.00134727824479,26.71693706512451,2.83788,17.0861,0.0,-3.49245965481e-10,0.0813489839714,17.0907,17.0795,1.0,191.43456363677979,1.1679348945617676,1.0002,1700.0,0.8542492389678955,34.0,0.11251473426818848,18.1875,1.00033,2200.0,1600,-0.00160082580987,44.1875,413.69915318489075,-0.00160082615912,129.230278355,28.16635274887085,0.0,232.70950742,28.055489540100098,46.010467290878296,0.191168396753,2.83854,2100.0,1600,0.0
2.83816,29.744158029556274,0.00172591721639,185.185675404,0.7869021892547607,18.075979471206665,1600,0.158679938215,0.00172591907904,17.44746446609497,2.83788,17.0844,0.0,9.31322574615e-10,0.0966870242211,17.0731,17.0795,1.0,141.10028862953186,0.7758224010467529,1.00015,1600.0,0.7756547927856445,31.125,0.08993220329284668,15.4375,0.999822,2200.0,1600,-0.00147609901614,33.0,557.359468460083,-0.00147609808482,122.087810996,18.201884984970093,0.0,187.545994359,18.150970458984375,29.952910661697388,0.153889485081,2.8375,1900.0,1600,0.0
2.8458,29.815354585647583,0.0099155716598,165.095509763,0.7876331806182861,18.222549200057983,1600,0.132435372848,0.00179387163371,18.00582218170166,2.83788,17.2153,0.0,0.00147359736729,0.0706589817075,17.0607,17.0795,1.0,142.72820258140564,0.806128740310669,1.00398,1500.0,0.778435468673706,26.6875,0.09793496131896973,11.375,0.999459,2000.0,1600,-0.00256885355338,30.5625,702.8349614143372,-0.00109525618609,100.973310211,19.76238203048706,0.0,175.88258468,18.173461437225342,29.805738925933838,0.151117433775,2.83678,1800.0,1600,0.0
2.87088,29.91706085205078,0.0086198374629,124.842338071,0.7730410099029541,18.172892332077026,1600,0.114696140619,0.00474782427773,18.16837167739868,2.85674,17.6525,0.0,0.00327969854698,0.0868520736228,17.4326,17.4047,1.00948,142.76155424118042,0.8146727085113525,1.01665,1600.0,0.7907352447509766,17.375,0.09477448463439941,10.125,1.0103,1600.0,1600,-0.00536865135655,17.6875,848.397750377655,-0.00208895280957,96.7470122278,19.926881074905396,0.0,116.590747248,18.01137089729309,29.650153636932373,0.100774595365,2.85834,1600.0,1600,0.0
2.86239,29.835612058639526,0.00844089780003,163.125897986,0.7871501445770264,18.247525453567505,1600,0.156041129227,0.00445984536782,18.010948181152344,2.8535,17.5033,0.0,0.00423071393743,0.0425153567898,17.3172,17.3483,1.00785,152.8969542980194,0.8086118698120117,1.01236,1300.0,0.7863774299621582,28.4375,0.11230134963989258,8.5,1.00696,2300.0,1600,-0.00732584483922,51.5,1003.6432671546936,-0.00309513090178,82.0990255728,29.504071950912476,0.0,231.24175661,18.1699538230896,29.758837461471558,0.207741696048,2.8517,2100.0,1600,0.0
2.86822,30.163791179656982,0.00977715291083,209.024809757,0.7739748954772949,18.288644313812256,1600,0.163839978444,0.0097771268338,18.21379566192627,2.86507,17.6057,0.0,-2.21189111471e-09,0.0589269296124,17.5745,17.5503,1.01371,143.6775267124176,0.8145034313201904,1.01534,1800.0,0.7902956008911133,47.0625,0.08731770515441895,15.0,1.01442,2000.0,1600,-0.00154122943059,109.9375,1149.80095744133,-0.00154123164248,117.046999107,19.713363647460938,0.0,355.872162572,17.996580362319946,29.714110612869263,0.217871127009,2.86645,2500.0,1600,0.0
2.86286,31.58043074607849,0.0116283176467,227.4482685,0.7911021709442139,18.99076819419861,1600,0.16928994065,0.0116283176467,18.292982578277588,2.86507,17.5116,0.0,-1.16415321827e-09,0.0606368778708,17.5395,17.5503,1.01371,147.26060128211975,0.8231151103973389,1.01263,1800.0,0.8259117603302002,52.1875,0.10425043106079102,18.9375,1.01341,1700.0,1600,-0.0036445169244,117.3125,1299.360300064087,-0.00364451808855,134.944881688,19.79117488861084,0.0,353.650996526,18.231454133987427,30.36116313934326,0.217580604839,2.86446,2200.0,1600,0.0
2.86158,33.1841185092926,0.0116181988269,204.450139093,0.8282144069671631,19.116316556930542,1600,0.14198785504,0.0116181988269,19.10594153404236,2.86507,17.4891,0.0,-9.31322574615e-10,0.0703528895294,17.5026,17.5503,1.01371,155.83885741233826,0.857062578201294,1.01193,1900.0,0.8294837474822998,49.625,0.09859418869018555,17.625,1.01233,1600.0,1600,-0.00288316351362,96.3125,1458.3858525753021,-0.00288316444494,126.449038648,22.31614375114441,0.0,323.098518015,18.99070715904236,33.28572416305542,0.184742043742,2.86235,2400.0,1600,0.0
2.8629,33.20389223098755,0.0120932143182,209.9388955,0.823232889175415,19.206902980804443,1600,0.165158208658,0.0120932199061,19.20838212966919,2.86507,17.5122,0.0,1.39698386192e-09,0.0549914238522,17.5573,17.5503,1.01371,156.5023262500763,0.8614218235015869,1.01265,1800.0,0.8298790454864502,49.1875,0.49286651611328125,16.3125,1.01393,2200.0,1600,-0.00383120169863,117.9375,1617.3877320289612,-0.00383120030165,117.004924442,22.31408929824829,0.0,342.176118532,19.021002531051636,33.25931787490845,0.221960964417,2.86547,2000.0,1600,0.0
