LossBefore,MaxKL,Time,AveragePolicyStd,Entropy,LossAfter,Perplexity,ExplainedVariance,AverageReturn,TotalExecTime,MeanKL,MaxReturn,StdReturn,NumTrajs,ItrTime,MinReturn
0.00415236,0.561131,6.473217964172363,0.917354,2.64941,-0.0124354,14.1457,0.82878020117,1080.0,6.409683465957642,0.0367335,1600.0,269.443871706,20,6.473222494125366,300.0
-0.011213,0.141115,13.420963525772095,0.917785,2.65357,-0.0193385,14.2046,0.497706064051,785.0,6.829174518585205,0.0102006,2000.0,698.766770818,20,6.938899993896484,0.0
-0.0194106,0.332344,20.157619953155518,0.914977,2.64796,-0.035461,14.1252,0.790005607793,1085.0,6.683288335800171,0.0362925,2300.0,336.563515551,20,6.732598543167114,800.0
-0.0156478,0.484777,27.42290210723877,0.910946,2.63825,-0.0403259,13.9888,0.558365328899,885.0,7.18333625793457,0.0572486,2100.0,679.172290365,20,7.258750677108765,0.0
-0.000244807,0.0540739,34.2870032787323,0.907209,2.63043,-0.00294371,13.8797,0.894396074589,960.0,6.75431752204895,0.00251898,1300.0,106.77078252,20,6.858061790466309,800.0
0.0258445,0.24819,40.77382564544678,0.907424,2.63031,0.0113633,13.878,0.834409118159,1040.0,6.450307607650757,0.0415133,1800.0,210.713075057,20,6.480787754058838,800.0
-0.0126158,0.127785,47.854363441467285,0.912843,2.64323,-0.0187678,14.0585,0.777609533497,1085.0,7.036484003067017,0.0093719,2200.0,391.503512117,20,7.075592756271362,0.0
