MeanKL,Time,NumTrajs,StdReturn,AveragePolicyStd,Perplexity,MinReturn,LossAfter,MaxKL,ItrTime,AverageReturn,TotalExecTime,Entropy,LossBefore,ExplainedVariance,MaxReturn
0.0,4.223326921463013,40,0.0,0.82843,11.4353,0.0,-0.0,0.0,4.223333358764648,0.0,4.165438413619995,2.4367,-0.0,1,0.0
0.0110277,8.574263334274292,40,15.612494996,0.82843,11.4353,0.0,0.0106743,0.152218,4.344728946685791,2.5,4.268819808959961,2.4367,0.0252406,0.53817488465,100.0
0.0217115,13.24215054512024,40,101.857743937,0.833255,11.5805,0.0,-0.0025982,0.198938,4.656974792480469,25.0,4.602731943130493,2.44932,0.0123623,0.503415823066,600.0
0.12707,17.572997570037842,40,400.616712083,0.835442,11.6523,0.0,-0.0407578,0.798929,4.325373888015747,147.5,4.299466371536255,2.4555,0.0121026,0.327136522342,2000.0
0.736303,21.7979838848114,40,1338.23577893,0.838464,11.723,0.0,-0.160967,1.56288,4.221359729766846,4275.0,4.1771979331970215,2.46156,-0.0239824,0.732312649609,6000.0
2.69643,25.24653959274292,40,1250.53738449,0.833973,11.5833,1500.0,-0.278813,3.78221,3.442493438720703,4362.5,3.4117963314056396,2.44956,0.00398618,0.636117563785,6800.0
0.0,29.0713632106781,40,0.0,0.835106,11.6064,0.0,-0.0,0.0,3.819685220718384,0.0,3.7875521183013916,2.45156,-0.0,1,0.0
