Perplexity,NumTrajs,MaxKL,LossBefore,ExplainedVariance,TotalExecTime,MinReturn,LossAfter,AveragePolicyStd,MeanKL,MaxReturn,Time,StdReturn,AverageReturn,ItrTime,Entropy
17.0561,20,4.32812,-0.00935277,0.0431847684734,13.834988832473755,0.0,-0.0102482,0.999438,0.0464159,300.0,13.963245391845703,65.3834841531,15.0,13.963251113891602,2.83651
16.8974,20,0.0,-0.0,1,15.71883225440979,0.0,-0.0,0.994678,0.0,0.0,29.89707088470459,0.0,0.0,15.928689241409302,2.82716
16.8974,20,0.00349571,0.0155044,0.268018868651,17.152467966079712,0.0,0.013824,0.994678,0.000483323,2200.0,47.39127707481384,504.876222455,190.0,17.491907119750977,2.82716
17.0289,20,0.00754841,0.00802659,0.208178841971,15.642380475997925,0.0,0.00728326,0.998554,0.000154651,900.0,63.20156908035278,215.870331449,80.0,15.785259008407593,2.83491
17.0973,20,0.0524258,-0.0120595,0.164727256135,15.310707092285156,0.0,-0.0130686,1.00056,0.000433777,400.0,78.61986660957336,95.3939201417,30.0,15.371775150299072,2.83892
16.9946,20,1.28849,0.0137417,0.0821204889531,13.244872093200684,0.0,0.0118118,0.997564,0.00799133,1400.0,91.93004083633423,308.99029111,95.0,13.291899919509888,2.83289
17.1117,20,0.00271417,0.00461802,0.221319467647,11.53165316581726,0.0,0.00382185,1.00102,0.000192924,800.0,103.5689845085144,257.681974535,140.0,11.631868600845337,2.83976
