MinReturn,StdReturn,MaxKL,LossAfter,Time,Perplexity,Entropy,MeanKL,ExplainedVariance,ItrTime,MaxReturn,AverageReturn,AveragePolicyStd,LossBefore,NumTrajs
2300.0,124.675579004,0.330429,-0.00616472,536.8496677875519,11.9308,2.47912,0.0526791,0.993969901098,16.51361656188965,2900.0,2666.0,0.836253,0.0029034,200
2300.0,120.79321173,0.00420365,0.00322143,553.6795058250427,11.9481,2.48058,0.000803527,0.993939208731,16.622990369796753,3000.0,2647.0,0.836831,0.00416912,200
2300.0,131.848397791,0.145001,-0.0180275,570.906418800354,11.9731,2.48266,0.0214422,0.993663220977,16.927684783935547,3000.0,2654.0,0.837701,-0.0134833,200
2300.0,119.314709906,0.0286925,-0.00888664,587.3218350410461,11.8926,2.47592,0.00485852,0.994765336813,16.21022605895996,3000.0,2658.0,0.834823,-0.00665862,200
2200.0,134.892549831,0.0484537,-0.0220794,603.9117395877838,11.8531,2.47259,0.00985422,0.993453629773,16.399362087249756,2900.0,2648.0,0.833502,-0.0184533,200
2200.0,134.922199804,0.0126401,-0.0201073,620.9365298748016,11.7442,2.46336,0.00377292,0.994389048189,16.833301305770874,2900.0,2686.0,0.829728,-0.0186648,200
1900.0,149.033553269,0.035884,-0.0259129,637.5792849063873,11.6351,2.45403,0.002186,0.992608584155,16.456439971923828,3000.0,2667.0,0.825722,-0.0233836,200
2200.0,130.987594832,0.0387295,-0.0218041,654.3500001430511,11.4999,2.44234,0.00508715,0.992946224525,16.548723697662354,2900.0,2656.5,0.820929,-0.0191028,200
2100.0,130.656036983,0.148092,-0.0177916,671.0021352767944,11.3906,2.43279,0.032203,0.994752275278,16.45907187461853,3000.0,2677.0,0.817146,-0.0121358,200
2200.0,120.830459736,0.0260772,-0.0176783,688.3699913024902,11.3217,2.42672,0.0061007,0.993801377218,17.165662050247192,3000.0,2670.0,0.814693,-0.0157481,200
2200.0,138.880344182,0.0800579,-0.0168971,704.9206371307373,11.2329,2.41884,0.0209507,0.993809922128,16.355717420578003,3000.0,2653.5,0.811546,-0.0125759,200
2300.0,119.78209382,0.0803376,-0.00806005,721.5320134162903,11.1625,2.41256,0.0157203,0.994691164683,16.384843826293945,3000.0,2673.5,0.809114,-0.00239986,200
2200.0,125.598566871,0.0473985,-0.014894,738.181694984436,11.1491,2.41136,0.0102273,0.994335870969,16.458299160003662,2900.0,2665.0,0.808632,-0.0126132,200
2100.0,140.241755551,0.144451,-0.0134115,754.8611369132996,11.079,2.40505,0.0313033,0.993005797053,16.365448713302612,3000.0,2661.5,0.806016,-0.00731003,200
2200.0,119.829044893,0.100608,-0.0116991,771.3814103603363,11.0386,2.4014,0.0257015,0.994168731281,16.329715967178345,2900.0,2671.0,0.804484,-0.00745931,200
2300.0,116.940155635,0.160568,-0.0103585,787.8343439102173,10.9975,2.39767,0.0193705,0.99507211574,16.261860370635986,3000.0,2675.0,0.802991,-0.00510097,200
2400.0,107.87840377,0.032512,0.00602664,804.5292308330536,10.9695,2.39511,0.00973308,0.995198595901,16.492161512374878,2900.0,2671.5,0.801992,0.0090119,200
2200.0,118.389188696,0.00467306,-0.0181515,821.3335254192352,11.019,2.39962,0.000525474,0.994357578365,16.609985828399658,3000.0,2672.0,0.803772,-0.01717,200
2400.0,113.185688141,0.00756431,-0.0136207,837.8970787525177,10.9248,2.39104,0.000937522,0.994652704975,16.37556028366089,2900.0,2683.0,0.800307,-0.0130175,200
