NumTrajs,StdReturn,MinReturn,AveragePolicyStd,TotalExecTime,ItrTime,ExplainedVariance,Entropy,LossBefore,AverageReturn,MaxKL,Time,LossAfter,Perplexity,MeanKL,MaxReturn
200,1023.02248265,0.0,0.96962,31.815430402755737,32.11131811141968,0.711433774663,2.77591,-0.0112585,655.0,0.50504,1023.3426866531372,-0.0198401,16.0532,0.0101983,2800.0
200,1020.04595485,0.0,0.966829,32.45389533042908,32.72651648521423,0.759947795506,2.77028,0.00436733,672.5,0.114544,1056.0847413539886,-0.000185341,15.9631,0.00677015,2800.0
200,1118.90292251,0.0,0.967882,33.50889444351196,33.659581899642944,0.772584554081,2.77246,-0.0380425,837.5,0.0310795,1089.7589735984802,-0.0415929,15.998,0.004223,2900.0
200,947.236902786,0.0,0.958726,34.64549946784973,34.88664197921753,0.701365271624,2.75344,-0.0170614,568.5,0.501317,1124.6517174243927,-0.0226705,15.6966,0.00928865,2800.0
200,1105.52431,0.0,0.954604,31.616233825683594,31.88426661491394,0.747978791352,2.74491,-0.00489851,896.0,0.713783,1156.5530834197998,-0.0221268,15.5632,0.0247327,2900.0
200,1115.67009013,0.0,0.953416,33.659849643707275,33.92968201637268,0.747065940762,2.74246,-0.00190911,830.5,0.0379498,1190.5023288726807,-0.00428864,15.5252,0.000918939,2900.0
200,1048.38160991,0.0,0.952958,32.51148247718811,32.81889986991882,0.770482655339,2.74151,-0.0110957,764.0,0.0245743,1223.3361921310425,-0.0140773,15.5104,0.00289078,2800.0
200,1131.21074518,0.0,0.950323,31.44850778579712,31.716890573501587,0.765456146348,2.73596,-0.00837128,928.5,0.146302,1255.065036535263,-0.0134414,15.4246,0.00651771,2800.0
200,1141.70388017,0.0,0.948346,34.43991565704346,34.724669456481934,0.754333058559,2.73177,-0.0241719,946.5,1.29947,1289.7923941612244,-0.0367598,15.3601,0.0164349,2900.0
200,1097.81134536,0.0,0.942644,32.88193464279175,33.1250638961792,0.74678249225,2.71969,-0.00842381,860.5,0.287072,1322.9279687404633,-0.0163282,15.1756,0.00845987,2800.0
200,1103.78609794,0.0,0.940675,34.837157249450684,35.15366244316101,0.750326960783,2.71548,-0.0202849,757.5,0.956755,1358.0992629528046,-0.031688,15.1118,0.0248077,2800.0
200,1085.48376312,0.0,0.935906,32.988341093063354,33.23118805885315,0.712909557913,2.70533,-0.00730027,875.0,0.749521,1391.343846321106,-0.0182889,14.9593,0.014111,2800.0
200,1151.1628903,0.0,0.934201,32.34277558326721,32.56815242767334,0.747500267232,2.70168,-0.008018,918.0,0.14364,1423.9251437187195,-0.0129527,14.9048,0.00637781,2900.0
200,1106.45198721,0.0,0.932337,31.353678941726685,31.556833505630493,0.738939010257,2.69767,0.000567453,908.0,1.01759,1455.5019912719727,-0.0218887,14.8452,0.0396122,2900.0
200,1132.59701571,0.0,0.932484,32.190186738967896,32.45501112937927,0.739685071296,2.69796,-0.00839946,932.0,0.240671,1487.9746551513672,-0.0131765,14.8494,0.00705919,2900.0
200,1165.72552516,0.0,0.930515,30.807523727416992,31.092851400375366,0.74413998826,2.69376,-0.00382375,1022.0,0.306487,1519.0868315696716,-0.0154204,14.7872,0.0245383,2800.0
200,1182.82669906,0.0,0.929625,33.51537752151489,33.78914165496826,0.766017583503,2.69185,-0.00940149,1089.0,0.19068,1552.8864810466766,-0.0134013,14.7589,0.00969531,2900.0
200,1141.58562973,0.0,0.927448,32.744914293289185,33.09275770187378,0.778794071735,2.68715,-0.0110824,988.5,0.0348241,1586.0071268081665,-0.013671,14.6897,0.00222913,2900.0
200,1184.37483509,0.0,0.924893,34.9491913318634,35.24721717834473,0.76457625224,2.68161,-0.0142111,1037.5,0.0792764,1621.267319202423,-0.0183351,14.6085,0.00358464,3000.0
200,1119.87320711,0.0,0.921629,34.83872199058533,35.162139892578125,0.748319478705,2.6745,0.00532021,1028.0,0.716008,1656.4455485343933,-0.00769326,14.5051,0.0188836,2900.0
200,1126.93877385,0.0,0.922863,34.39659786224365,34.642760038375854,0.739277492989,2.67716,-0.011387,1003.0,0.0691131,1691.1183066368103,-0.0148767,14.5437,0.00467283,2900.0
