dLoss,Time,0Entropy,LossBefore,1EnvExecTime,0AveragePolicyStd,1Perplexity,0AverageReturn,MeanKL,1Entropy,ItrTime,1PolicyExecTime,0Perplexity,1NumTrajs,1MinReturn,1AveragePolicyStd,1AverageReturn,1ProcessExecTime,1ExplainedVariance,0NumTrajs,0ProcessExecTime,MeanKLBefore,0StdReturn,ComputeUpdatedDistTime,LossAfter,0EnvExecTime,0PolicyExecTime,0MinReturn,1MaxReturn,1StdReturn,0MaxReturn,0ExplainedVariance
0.00240069723222,98.15682363510132,2.83788,2.5611371357e-10,24.12876796722412,1.0,17.0409,28.0,0.00786443892866,2.83562,98.15682768821716,24.118733882904053,17.0795,400,0.0,0.998883,14.25,0.8858733177185059,0.0283214463605,400,1.0521576404571533,1.04773578702e-10,231.227161034,5.33806586265564,-0.00240069697611,26.340444803237915,7.4547929763793945,0.0,2400.0,148.229340888,2600.0,0.0374940562383
0.00157000370091,189.64473247528076,2.83855,-3.376044444e-10,24.935209274291992,1.00034,17.1238,141.0,0.00380445923656,2.84047,90.72742033004761,26.22913122177124,17.091,400,0.0,1.00132,177.75,0.8808276653289795,0.0940366796321,400,0.9480156898498535,-2.91038165789e-11,689.941301851,0.31827354431152344,-0.00157000403851,25.840242385864258,7.08284854888916,0.0,13300.0,986.372109044,9200.0,0.0860711765342
0.0036250277466,277.1291220188141,2.84146,-5.54428003507e-10,23.426060438156128,1.0018,17.1714,175.75,0.00758336624131,2.84324,86.56720995903015,23.557081937789917,17.1407,400,0.0,1.00275,160.0,0.8513507843017578,0.178667465783,400,0.988408088684082,5.82658676862e-09,552.84440623,0.29894351959228516,-0.00362502830103,26.250067949295044,6.397388696670532,0.0,3200.0,451.275968782,5100.0,0.132067918571
0.00309059632127,365.4681444168091,2.83036,9.60426405072e-10,23.57683753967285,0.996254,16.9134,324.5,0.00978189893067,2.8281,87.1738588809967,26.771955490112305,16.9516,400,0.0,0.995186,394.75,0.8264434337615967,0.127896456169,400,0.9153666496276855,2.81725043294e-09,606.629829468,0.36250734329223633,-0.00309059536085,23.459339380264282,5.952364921569824,0.0,5800.0,698.460763035,3500.0,0.119879800882
0.00327950795181,457.2499487400055,2.84198,-3.72529035397e-10,25.75724720954895,1.0021,17.1755,692.0,0.00773092359304,2.84348,91.01871919631958,26.65120577812195,17.1497,400,0.0,1.00291,758.5,0.9817054271697998,0.100642768129,400,0.9404788017272949,6.14673068e-09,1048.11068118,0.3157944679260254,-0.00327950832434,25.442540168762207,6.3015594482421875,0.0,11100.0,1299.62600389,7000.0,0.0896745406025
0.002930783786,545.1647140979767,2.84366,8.17817646936e-10,24.15427827835083,1.00315,17.0583,978.75,0.00856819283217,2.83664,87.1564826965332,24.609735012054443,17.1786,400,0.0,0.999663,1050.75,0.8399434089660645,0.121078005548,400,0.9390990734100342,-8.28876611791e-09,1105.33860762,0.409421443939209,-0.00293078296818,25.1594979763031,6.390385389328003,0.0,6500.0,1177.68817499,6300.0,0.112344924416
0.0034639141013,631.2827715873718,2.82602,-1.44791556522e-09,23.27431035041809,0.99424,16.9768,950.5,0.0072318194434,2.83185,85.30437302589417,23.668172121047974,16.8782,400,0.0,0.997174,1238.75,0.8608832359313965,0.0900764690913,400,0.9818587303161621,2.793963505e-09,1197.58079059,0.2980079650878906,-0.00346391554922,24.117896556854248,7.22112250328064,0.0,8400.0,1397.63136681,6300.0,0.0709318747667
0.00333289504051,726.1266105175018,2.83065,-1.86264503821e-10,24.20153570175171,0.996421,17.0378,1036.25,0.00950591824949,2.83543,93.99546432495117,24.216826677322388,16.9565,400,0.0,0.998853,1762.0,0.8528950214385986,0.110662013393,400,0.9501786231994629,1.11759068666e-09,1385.39197973,0.995866060256958,-0.00333289522678,24.881336212158203,11.900453567504883,0.0,9500.0,1812.05849795,10600.0,0.0715414730291
0.00424358216114,811.6660723686218,2.81232,1.39698363988e-10,23.412353992462158,0.987304,16.6056,1492.5,0.00944542232901,2.80974,84.72854542732239,24.137235403060913,16.6485,400,0.0,0.986073,2688.25,0.9160358905792236,0.182002039648,400,0.9366340637207031,-6.28642871092e-09,1929.50608965,0.35721468925476074,-0.00424358202145,23.862807512283325,6.3256213665008545,0.0,14400.0,2813.9628529,11700.0,0.0702842511041
0.00397652773245,904.8993742465973,2.77359,1.30967237055e-10,24.014557361602783,0.968384,16.0246,1588.75,0.00924007501453,2.77413,92.37953424453735,24.49411678314209,16.0161,400,0.0,0.968661,2954.25,0.860931396484375,0.214135399819,400,0.9648237228393555,-1.16415355134e-09,2009.98717347,0.32572245597839355,-0.00397652760148,25.407750844955444,11.59774136543274,0.0,13600.0,2882.8860431,10500.0,0.081237990954
0.00339462776901,989.9033024311066,2.76101,7.56699591875e-10,23.31110644340515,0.962311,15.7895,1360.0,0.00804626382887,2.75934,83.9802885055542,24.05029797554016,15.8159,400,0.0,0.961543,2568.5,0.8456430435180664,0.157303399069,400,0.8827018737792969,7.45058015283e-09,1667.33320005,0.340343713760376,-0.00339462701231,23.43961238861084,6.207902193069458,0.0,14400.0,2456.18764552,8900.0,0.0793481603989
0.00398248159327,1082.6230721473694,2.77467,4.65661259552e-11,24.303962230682373,0.968893,16.0853,1604.25,0.00867975875735,2.77791,91.82059669494629,25.20933723449707,16.0334,400,0.0,0.970493,2991.25,0.8784945011138916,0.131101656196,400,0.9056990146636963,8.38190683528e-10,1844.49368053,0.33431482315063477,-0.0039824815467,24.150556325912476,11.332818269729614,0.0,13800.0,2691.17045865,9400.0,0.072977824438
