NumTrajs,Time,AverageReturn,TotalExecTime,StdReturn,LossAfter,LossBefore,Entropy,AveragePolicyStd,MaxReturn,ExplainedVariance,MeanKL,MaxKL,MinReturn,ItrTime,Perplexity
200,800.0140550136566,2006.0,28.32767105102539,573.641002719,-0.057428,-0.0439703,2.62878,0.900808,2900.0,0.901456840464,0.0159789,0.0870463,0.0,28.73439884185791,13.8568
200,827.3931982517242,2071.0,27.078969478607178,474.403836409,-0.0545857,-0.0369562,2.60679,0.890956,2800.0,0.915335330836,0.0224605,0.159294,100.0,27.36124014854431,13.5555
200,854.2270045280457,2249.5,26.575928926467896,375.898590048,-0.0416995,-0.0307748,2.58831,0.882795,2900.0,0.94652720055,0.0150566,0.0733312,1100.0,26.8134183883667,13.3073
200,881.8775007724762,2277.0,27.41282367706299,366.02049123,-0.0668439,-0.05589,2.57293,0.876059,2800.0,0.950923431044,0.012139,0.0519893,800.0,27.63341760635376,13.1041
200,909.2287695407867,2376.0,27.19551181793213,313.087847097,-0.0553178,-0.0476429,2.54498,0.863869,3000.0,0.968322268004,0.00795145,0.0640919,1500.0,27.347053289413452,12.743
200,934.9439625740051,2422.0,25.48117423057556,255.374235192,-0.0577433,-0.0462603,2.52116,0.85364,3000.0,0.973445189731,0.0173794,0.0709531,1500.0,25.681275129318237,12.443
200,961.9567611217499,2443.5,26.839414834976196,248.10834327,-0.0581819,-0.0487968,2.49803,0.843869,2900.0,0.978109198268,0.0173377,0.0843657,1700.0,26.992947578430176,12.1585
200,988.875875711441,2500.0,26.618154287338257,213.307290077,-0.0552462,-0.0458956,2.47363,0.833586,3000.0,0.982372860355,0.0181363,0.137325,1700.0,26.899354219436646,11.8654
200,1015.3759915828705,2533.5,26.167912244796753,186.353830119,-0.0274806,-0.024968,2.45068,0.824018,2900.0,0.986450070445,0.00307811,0.0166631,1600.0,26.479926824569702,11.5963
200,1044.2882816791534,2544.0,28.651853799819946,197.139544486,-0.0407164,-0.0320435,2.4382,0.818915,2900.0,0.985649563543,0.0202779,0.0891141,1900.0,28.89118194580078,11.4524
200,1073.9006810188293,2561.5,29.306657791137695,173.976291488,-0.0354718,-0.0323525,2.42218,0.81236,3000.0,0.988142857395,0.00315607,0.0215063,2000.0,29.597577571868896,11.2704
200,1101.2960133552551,2594.0,27.17020010948181,172.522462306,-0.0402798,-0.0362138,2.406,0.805801,2900.0,0.989910141291,0.00763466,0.0305089,1900.0,27.38667607307434,11.0895
200,1129.6270751953125,2597.0,28.021504402160645,168.49629076,-0.0341004,-0.0276771,2.38789,0.798528,2900.0,0.989845880678,0.010671,0.137977,2000.0,28.309836387634277,10.8905
200,1158.8762321472168,2622.0,28.96895956993103,145.657131648,-0.0396206,-0.0368374,2.37405,0.793025,2900.0,0.991984455849,0.00361566,0.0168277,2100.0,29.23343539237976,10.7408
200,1189.021334886551,2610.5,29.832319974899292,147.782779782,-0.0310847,-0.0260134,2.35564,0.785753,2900.0,0.991770564591,0.0110853,0.065601,2000.0,30.13240909576416,10.5448
200,1219.4155366420746,2628.5,30.009138107299805,139.777501766,-0.0362061,-0.0304316,2.34263,0.780659,2900.0,0.993296293146,0.018331,0.120672,2100.0,30.374383449554443,10.4086
200,1249.1474673748016,2645.5,29.469053268432617,142.757661791,-0.0195991,-0.014418,2.32741,0.774741,3100.0,0.992876831784,0.0178191,0.163145,2200.0,29.712863206863403,10.2514
200,1278.557071685791,2648.0,29.100711345672607,134.149170702,-0.0233986,-0.0213075,2.3202,0.771956,2900.0,0.992759156974,0.00240368,0.0124586,2200.0,29.38079571723938,10.1778
200,1307.9247996807098,2631.0,29.12254238128662,138.343774706,-0.027418,-0.0241231,2.30955,0.767868,2900.0,0.993390733526,0.00647289,0.0425547,2200.0,29.34984016418457,10.0699
200,1334.8170466423035,2662.5,26.614667892456055,135.807768555,-0.0387531,-0.0313111,2.29749,0.763253,2900.0,0.993047326669,0.0260908,0.121004,2200.0,26.879276752471924,9.94917
200,1364.084106683731,2635.5,29.057400941848755,139.96338807,-0.0231368,-0.0196609,2.28183,0.757297,2900.0,0.993418643388,0.0102139,0.0419605,2200.0,29.254930019378662,9.79462
