0AverageReturn,1ProcessExecTime,ComputeUpdatedDistTime,1AveragePolicyStd,0ExplainedVariance,0AveragePolicyStd,ItrTime,0StdReturn,1NumTrajs,1AverageReturn,0Entropy,MeanKLBefore,0MaxReturn,0NumTrajs,1PolicyExecTime,1StdReturn,0PolicyExecTime,LossBefore,1ExplainedVariance,0Perplexity,0ProcessExecTime,0MinReturn,Time,0EnvExecTime,1Entropy,MeanKL,1MinReturn,1Perplexity,dLoss,1MaxReturn,1EnvExecTime,LossAfter
3.25,0.1956794261932373,0.6807060241699219,0.997835,0.0324722573049,1.0,25.150030374526978,49.1369260333,400,21.25,2.83788,-4.94765228787e-10,900.0,400,7.634671211242676,149.911432186,5.201738357543945,-1.62981450558e-09,0.127905375522,17.0795,0.20759367942810059,0.0,25.15002727508545,4.795144557952881,2.83353,0.00857031624764,0.0,17.0053,0.00459554488771,1400.0,4.58034610748291,-0.00459554651752
6.0,0.19125771522521973,0.07631921768188477,1.00235,0.0405312687822,1.00117,23.314162969589233,68.2934843159,400,66.75,2.84021,2.32830588143e-10,900.0,400,7.523004055023193,280.480725719,4.924652099609375,-3.08500602841e-09,0.280113435355,17.1194,0.20509600639343262,0.0,49.15330219268799,4.703897476196289,2.84257,0.00631145574152,0.0,17.1599,0.00721391540719,2100.0,4.509026288986206,-0.0072139184922
17.25,0.20315241813659668,0.061183929443359375,0.998307,0.0800410931477,1.00237,24.56270408630371,105.486669774,400,25.25,2.84261,1.43481910797e-08,1100.0,400,7.897504568099976,139.776383914,5.224992275238037,1.16415321827e-09,0.104277805207,17.1605,0.21977996826171875,0.0,74.28691220283508,4.922499418258667,2.83445,0.00591318774968,0.0,17.0211,0.00587459118105,1700.0,4.77746844291687,-0.0058745900169
12.0,0.20127630233764648,0.09405660629272461,0.99485,0.0532154395827,0.994384,24.252116203308105,78.1408983823,400,74.75,2.8266,-2.91038110278e-10,700.0,400,8.057674884796143,275.204355888,4.984271764755249,-4.65661287308e-10,0.284789517645,16.8879,0.21096181869506836,0.0,99.2651755809784,4.777570486068726,2.82749,0.00916172191501,0.0,16.903,0.00753857940435,1800.0,4.7847089767456055,-0.00753857987002
12.0,0.2060847282409668,0.0912177562713623,0.988737,0.0670962515125,0.992123,24.39634656906128,96.4676111449,400,92.75,2.82198,-1.86264470514e-09,1000.0,400,8.306262731552124,351.030536421,4.6822474002838135,-4.65661287308e-10,0.302027993229,16.8101,0.19977831840515137,0.0,124.28663945198059,4.6100685596466064,2.81494,0.00671160407364,0.0,16.6922,0.0069363405928,2200.0,4.860103130340576,-0.00693634105846
24.25,0.20394206047058105,0.07919621467590332,0.986265,0.0831663796345,0.984282,24.444626092910767,155.842669061,400,154.5,2.80609,1.62981383944e-09,1500.0,400,7.999998092651367,437.355404677,5.012643337249756,-5.67524693906e-10,0.388901069605,16.5451,0.22006702423095703,0.0,149.39094853401184,4.971660137176514,2.81,0.00790553446859,0.0,16.6099,0.00694689097872,2400.0,4.7599334716796875,-0.00694689154625
20.5,0.19795989990234375,0.08950400352478027,0.968721,0.110308997431,0.970091,23.89667510986328,140.818145138,400,177.5,2.77698,2.0954753488e-09,1700.0,400,7.68003511428833,541.150394992,5.0562450885772705,3.18686943501e-09,0.397303507369,16.0705,0.21406030654907227,0.0,173.84320712089539,4.836709260940552,2.77408,0.00728160981089,0.0,16.0239,0.00556389887061,2700.0,4.644465208053589,-0.00556389568374
19.0,0.19896745681762695,0.07781195640563965,0.967098,0.0746741379406,0.965093,24.198916912078857,140.139216496,400,184.75,2.76666,2.09547490471e-09,1500.0,400,7.727099657058716,509.15855831,5.214157342910767,1.62981450558e-09,0.402733910983,15.9055,0.22535014152526855,0.0,198.8770453929901,4.98154616355896,2.77077,0.00988428294659,0.0,15.9709,0.00688739470206,2500.0,4.643595457077026,-0.00688739307225
18.0,0.20838451385498047,0.0764000415802002,0.963957,0.0493858935545,0.961743,24.96761441230774,117.796434581,400,184.75,2.7593,-4.88944573718e-09,1200.0,400,8.099997520446777,515.308099587,5.244837760925293,-5.52972778678e-10,0.411480467679,15.7887,0.22117209434509277,0.0,224.5222373008728,5.003185033798218,2.76401,0.00876935664564,0.0,15.8633,0.00516925789998,2500.0,4.86587381362915,-0.00516925845295
14.25,0.20016217231750488,0.08321928977966309,0.973325,0.0443958936966,0.97211,24.383805751800537,102.332485067,400,242.25,2.7808,-2.60479069425e-08,1100.0,400,7.882282972335815,583.172305155,5.169902801513672,2.79396772385e-09,0.392489884177,16.1319,0.21718740463256836,0.0,249.83990502357483,4.914606332778931,2.78335,0.00506592309102,0.0,16.1731,0.00633350294083,2600.0,4.763617992401123,-0.00633350014687
31.0,0.21516776084899902,0.09943485260009766,0.979817,0.0669892750562,0.983282,25.43473243713379,169.230611888,400,279.5,2.80312,2.32830726921e-10,1800.0,400,8.293763875961304,665.792572803,5.217038869857788,2.32830643654e-10,0.424379137064,16.496,0.2219254970550537,0.0,275.8636100292206,4.979789972305298,2.79594,0.00955169368535,0.0,16.378,0.00778179685585,2600.0,5.049013376235962,-0.00778179662302
54.0,0.21728253364562988,0.07869410514831543,0.977163,0.0913842817016,0.976443,24.90647840499878,229.965214761,400,353.25,2.78929,-1.44354963538e-08,1700.0,400,8.321654081344604,764.519089036,5.046127796173096,5.82076609135e-10,0.410185309685,16.2695,0.20846915245056152,0.0,301.6323068141937,4.791423320770264,2.79057,0.00781280919909,0.0,16.2903,0.00757903850172,2800.0,5.0156779289245605,-0.00757903791964
