MeanKL,MaxKL,StdReturn,ItrTime,Entropy,MinReturn,NumTrajs,AverageReturn,MaxReturn,Perplexity,ExplainedVariance,Time,AveragePolicyStd,LossBefore,LossAfter
0.0,0.0,0.0,16.22728395462036,2.83788,0.0,200,0.0,0.0,17.0795,1,674.7696123123169,1.0,-0.0,-0.0
0.0,0.0,0.0,16.132570505142212,2.83788,0.0,200,0.0,0.0,17.0795,1,691.0879473686218,1.0,-0.0,-0.0
0.00013688,0.000405573,14.1067359797,16.453153133392334,2.83788,0.0,200,1.0,200.0,17.0795,0.112494037916,707.7399668693542,1.0,0.0213397,0.0205114
0.0,0.0,0.0,16.265231132507324,2.84855,0.0,200,0.0,0.0,17.2627,1,724.1985018253326,1.00535,-0.0,-0.0
0.0,0.0,0.0,16.123875379562378,2.84855,0.0,200,0.0,0.0,17.2627,1,740.5264537334442,1.00535,-0.0,-0.0
0.0,0.0,0.0,16.583625555038452,2.84855,0.0,200,0.0,0.0,17.2627,1,757.4196176528931,1.00535,-0.0,-0.0
0.0,0.0,0.0,16.63753032684326,2.84855,0.0,200,0.0,0.0,17.2627,1,774.2457830905914,1.00535,-0.0,-0.0
0.0,0.0,0.0,17.054866075515747,2.84855,0.0,200,0.0,0.0,17.2627,1,791.5130214691162,1.00535,-0.0,-0.0
0.0,0.0,0.0,16.926287174224854,2.84855,0.0,200,0.0,0.0,17.2627,1,808.6454403400421,1.00535,-0.0,-0.0
0.0,0.0,0.0,16.436216831207275,2.84855,0.0,200,0.0,0.0,17.2627,1,825.2869637012482,1.00535,-0.0,-0.0
0.0,0.0,0.0,16.44019889831543,2.84855,0.0,200,0.0,0.0,17.2627,1,841.9159905910492,1.00535,-0.0,-0.0
