0MaxReturn,MeanKL,1MinReturn,ItrTime,dLoss,LossBefore,0Perplexity,1ExplainedVariance,0AverageReturn,ComputeUpdatedDistTime,1AverageReturn,0MinReturn,1Entropy,0AveragePolicyStd,0NumTrajs,1Perplexity,1AveragePolicyStd,0ExplainedVariance,LossAfter,0StdReturn,1StdReturn,1NumTrajs,1PolicyExecTime,Time,1ProcessExecTime,1MaxReturn,0EnvExecTime,0PolicyExecTime,MeanKLBefore,0Entropy,1EnvExecTime,0ProcessExecTime
17300.0,0.00655965181068,0.0,758.392539024353,0.00141166086541,-1.45519152284e-09,17.0794,0.0597713122202,213.9,1.0287699699401855,255.85,0.0,2.83707,1.0,2000,17.0657,0.999599,0.0595568999441,-0.00141166232061,1149.53764184,1364.89771686,2000,219.50819849967957,758.3925404548645,5.93988037109375,17700.0,175.33858394622803,177.97909998893738,-2.47378895146e-10,2.83788,147.64977145195007,7.228222131729126
19200.0,0.00859808921814,0.0,718.6917526721954,0.00166473063291,-6.69388100505e-10,17.0685,0.0847373719012,305.45,0.2629969120025635,345.5,0.0,2.83666,0.999681,2000,17.0586,0.999391,0.0708592804567,-0.0016647313023,1589.67144325,1734.36436483,2000,226.42350339889526,1481.5192711353302,5.778639793395996,19200.0,149.41609835624695,160.85635495185852,9.60424961782e-10,2.83724,146.65917348861694,6.118527412414551
19900.0,0.00869535189122,0.0,864.4646260738373,0.00160059534392,1.20053300634e-09,17.2237,0.0929992111934,715.3,0.24498939514160156,676.6,0.0,2.84634,1.00422,2000,17.2247,1.00425,0.0908317822559,-0.00160059414338,2701.46180984,2543.50790052,2000,304.2997176647186,2350.5012028217316,6.4899280071258545,20600.0,155.0368733406067,201.2565770149231,-1.92085169992e-09,2.84629,166.56736850738525,6.17190408706665
20300.0,0.00674865162,0.0,905.9744622707367,0.00141092771082,1.13504938781e-09,17.236,0.088828236312,984.0,0.24861621856689453,1080.15,0.0,2.84789,1.00459,2000,17.2514,1.00504,0.0746652181387,-0.00141092657577,3077.79693937,3360.13704743,2000,301.15095686912537,3261.629570245743,6.573723554611206,19800.0,163.7959852218628,237.03702807426453,-1.39698086432e-09,2.847,165.7572431564331,6.639724969863892
21000.0,0.0065164132975,0.0,912.4403562545776,0.00141652041202,-5.02041075379e-10,16.961,0.0886466859494,1587.8,0.2500729560852051,1616.3,0.0,2.83065,0.99655,2000,16.9565,0.996415,0.0842177338738,-0.00141652091406,4057.75568018,4178.60913582,2000,305.3783233165741,4179.233634233475,6.587523698806763,21100.0,164.3731927871704,237.6617248058319,-3.49246187525e-09,2.83092,166.82312059402466,6.754781723022461
21500.0,0.00789420120418,0.0,904.3644652366638,0.00152352974146,3.29237082042e-10,17.0735,0.11109655734,1861.95,0.25264763832092285,2226.25,0.0,2.83514,0.999861,2000,17.0327,0.998659,0.0776073148281,-0.00152352941222,4387.42375404,5404.00739614,2000,301.3978033065796,5088.498111248016,6.639363765716553,23100.0,163.15456223487854,235.71743202209473,1.16415044271e-10,2.83752,166.02187204360962,6.661178827285767
22300.0,0.00689785508439,0.0,904.0235505104065,0.00142295306796,-2.58296495304e-10,17.0591,0.11170225104,2002.9,0.26354479789733887,2884.25,0.0,2.83385,0.999437,2000,17.0108,0.998024,0.0612721277572,-0.00142295332626,4605.8117189,6223.77272541,2000,302.7101354598999,5997.486871957779,6.615081787109375,22900.0,163.5413942337036,233.42268204689026,-1.39698153045e-09,2.83669,166.44694638252258,6.690609455108643
21300.0,0.00724291522056,0.0,903.4567403793335,0.00128871598281,4.65661287308e-10,16.8199,0.130018586259,2061.05,0.2678804397583008,2949.9,0.0,2.81977,0.992381,2000,16.773,0.990997,0.0600962680762,-0.00128871551715,4686.23920618,6508.90159628,2000,301.35536003112793,6905.918341398239,6.6057679653167725,23500.0,164.18260788917542,233.4490692615509,4.65660954241e-10,2.82256,166.47006845474243,6.6987621784210205
22600.0,0.00754945538938,0.0,903.3531625270844,0.00144596765313,4.14729584008e-10,16.8161,0.156109218946,1991.35,0.2452411651611328,3660.5,0.0,2.8229,0.99227,2000,16.8255,0.992556,0.0688525896011,-0.0014459672384,4604.56297356,7150.58807022,2000,300.4742474555969,7814.500904798508,6.664709568023682,23000.0,163.73933458328247,234.16584062576294,-1.28056820703e-09,2.82234,166.7847180366516,6.710325241088867
22200.0,0.00926143024117,0.0,898.1525869369507,0.00145779515151,5.82076609135e-10,16.7165,0.177537491996,2344.35,0.2668571472167969,4528.2,0.0,2.81432,0.989317,2000,16.6818,0.988289,0.0669634309383,-0.00145779456943,5158.97839475,7906.62979783,2000,298.8644309043884,8718.026534557343,6.547872066497803,23600.0,163.69708609580994,232.0569133758545,-1.86265225466e-09,2.81639,165.66104674339294,6.666466236114502
