ItrTime,dLoss,0ProcessExecTime,0Entropy,1Entropy,0StdReturn,1PolicyExecTime,Time,1AverageReturn,1NumTrajs,MeanKL,1EnvExecTime,1MinReturn,LossBefore,0MaxReturn,0NumTrajs,0AveragePolicyStd,0ExplainedVariance,1ExplainedVariance,ComputeUpdatedDistTime,0EnvExecTime,0MinReturn,1MaxReturn,1StdReturn,1ProcessExecTime,0AverageReturn,LossAfter,1AveragePolicyStd,MeanKLBefore,1Perplexity,0PolicyExecTime,0Perplexity
194.11774826049805,0.00190842437223,1.9180388450622559,2.83788,2.83993,1477.25249619,47.67743945121765,194.11774373054504,259.5,400,0.00745365396142,52.75049185752869,0.0,-1.70985031689e-10,14000.0,400,1.0,0.0753209040464,0.08639293898,4.99251914024353,55.13730072975159,0.0,17700.0,1267.14630173,1.650665521621704,312.25,-0.00190842454322,1.00105,-4.22878665418e-09,17.1147,14.540452718734741,17.0795
187.94067907333374,0.00256891481113,1.8039767742156982,2.8377,2.83895,794.912534497,48.726898193359375,382.97283148765564,379.25,400,0.00782434735447,53.42312502861023,0.0,-4.42378245147e-10,10800.0,400,0.999916,0.0342616465505,0.0645881741355,0.3701765537261963,57.5434889793396,0.0,16700.0,1373.33333081,1.6077759265899658,153.75,-0.00256891525351,1.00055,-6.22822293739e-10,17.0978,13.80176830291748,17.0765
186.44579911231995,0.00176914256699,1.7449755668640137,2.84228,2.84423,1948.92944972,50.00179386138916,570.4572138786316,682.25,400,0.00849698763341,53.964887380599976,0.0,5.74436831435e-10,21100.0,400,1.00224,0.0344312562425,0.0345563118322,0.4167518615722656,56.21961236000061,0.0,28700.0,2574.82231183,1.6749351024627686,482.0,-0.00176914199255,1.00323,6.54840626169e-11,17.1883,13.012868642807007,17.1549
185.26707816123962,0.00159833708312,1.7683134078979492,2.84834,2.85015,1357.17608935,49.268110036849976,756.7129406929016,601.25,400,0.00728073483333,53.430256843566895,0.0,1.16415349583e-10,9900.0,400,1.00533,0.0503457119992,0.0688930604559,0.37639474868774414,55.91593408584595,0.0,13600.0,1651.05222131,1.65907883644104,415.75,-0.00159833696671,1.00627,5.35511190947e-10,17.2904,13.30675983428955,17.2592
185.5496199131012,0.00263994052366,1.7248985767364502,2.84842,2.84882,1206.20248611,49.11040210723877,943.2902269363403,465.25,400,0.00965241808444,53.242159366607666,0.0,4.94765201031e-11,10700.0,400,1.00537,0.056437492763,0.0671930789946,0.42575788497924805,55.81580138206482,0.0,10400.0,1303.38691013,1.6397359371185303,436.75,-0.00263994047418,1.00561,-4.37721769941e-09,17.2673,14.40725827217102,17.2605
184.60543727874756,0.00207870946906,1.7690792083740234,2.84497,2.84327,1654.91901237,47.96493911743164,1128.9983124732971,797.0,400,0.00833008345217,52.78017473220825,0.0,-1.89174911847e-10,10600.0,400,1.00377,0.065098589121,0.0743646738094,0.3543269634246826,56.32608652114868,0.0,14300.0,2045.17505363,1.5664396286010742,691.75,-0.00207870965824,1.00287,-5.58793233907e-09,17.1718,14.562340497970581,17.201
189.58232522010803,0.00175158515958,1.930626630783081,2.84053,2.83956,1982.12234738,49.71286988258362,1320.0811319351196,1199.25,400,0.00872920174152,53.24626970291138,0.0,3.4378899727e-10,16000.0,400,1.00161,0.0581048971103,0.0680523893317,0.4246101379394531,58.616783142089844,0.0,19900.0,2592.15632968,1.7368693351745605,879.0,-0.00175158481579,1.00114,-1.59721835757e-08,17.1083,14.894728660583496,17.1248
184.60463881492615,0.00206442357157,1.793774127960205,2.82842,2.831,2090.25355818,49.16429901123047,1505.64777135849,950.5,400,0.00750359985977,53.10605192184448,0.0,4.0163289361e-10,18400.0,400,0.995701,0.03828711221,0.0371323928739,0.37845826148986816,56.274458169937134,0.0,24400.0,2664.06639369,1.718386173248291,769.75,-0.00206442316994,0.997065,-1.76951298059e-09,16.9625,13.457313299179077,16.9187
185.28923916816711,0.00207160339924,1.7878131866455078,2.81877,2.81757,2034.12817627,50.29922795295715,1692.1691198349,1104.75,400,0.00988776050508,53.96398997306824,0.0,-2.67755234651e-10,12100.0,400,0.990685,0.0527203913795,0.0580780793858,0.37899184226989746,55.038578748703,0.0,14400.0,2281.33786132,1.6705424785614014,945.25,-0.00207160366699,0.990137,5.68105740228e-09,16.7361,13.240428686141968,16.7563
183.93965911865234,0.00229132258391,1.6985023021697998,2.83784,2.83765,1691.61459485,49.0711395740509,1877.1974365711212,626.5,400,0.00856049079448,52.84403443336487,0.0,8.29459168017e-10,13400.0,400,1.0005,0.0471572086223,0.0425581560423,0.40374279022216797,55.93995904922485,0.0,14000.0,1501.84811149,1.6067986488342285,717.75,-0.00229132175446,1.00043,-2.2351718254e-09,17.0756,13.47996211051941,17.0788
185.90343189239502,0.00255757574814,1.8251926898956299,2.82635,2.83016,1622.26691315,48.02391982078552,2064.6092948913574,1299.5,400,0.00830954127014,53.03503203392029,0.0,-4.20186524464e-10,7800.0,400,0.994755,0.0589447596901,0.100074725841,0.3684408664703369,57.096983671188354,0.0,13500.0,2107.36796739,1.6172034740447998,950.25,-0.00255757616833,0.996678,-7.0780581396e-09,16.9481,14.592451810836792,16.8837
187.9267909526825,0.00238997299602,1.7783448696136475,2.83786,2.83965,1853.63905602,49.900933265686035,2253.6890921592712,1170.75,400,0.00679576722905,53.52194786071777,0.0,-9.6479202405e-10,8400.0,400,1.00075,0.0521854163072,0.0607993427187,0.36074113845825195,56.83112120628357,0.0,13800.0,1991.33609356,1.6792614459991455,1116.5,-0.00238997396082,1.0016,-6.89178003555e-09,17.1098,14.520902633666992,17.0792
