0ExplainedVariance,MeanKL,ComputeUpdatedDistTime,1MaxReturn,0MinReturn,0Entropy,LossAfter,1MinReturn,1ProcessExecTime,0AveragePolicyStd,ItrTime,Time,LossBefore,MeanKLBefore,1Entropy,dLoss,1StdReturn,0PolicyExecTime,0MaxReturn,0StdReturn,0ProcessExecTime,1NumTrajs,0NumTrajs,0EnvExecTime,0AverageReturn,0Perplexity,1PolicyExecTime,1AveragePolicyStd,1Perplexity,1ExplainedVariance,1AverageReturn,1EnvExecTime
0.0285611069779,0.00897432956845,1.1138017177581787,10900.0,0.0,2.83788,-0.00293311337009,0.0,6.299578666687012,1.0,799.109546661377,799.1095416545868,5.82076609135e-10,4.55656762322e-10,2.83811,0.00293311395217,568.365234686,195.23580765724182,5900.0,353.230714265,6.294078350067139,2000,2000,143.73306274414062,45.75,17.0794,270.0075969696045,1.00012,17.0834,0.0450687371808,93.6,152.14287662506104
0.0835376055883,0.00579036818817,0.24611878395080566,19200.0,0.0,2.84528,-0.00134312896989,0.0,6.563389778137207,1.00371,862.6644690036774,1667.2295367717743,9.16770659387e-10,-4.65660510152e-10,2.84549,0.00134312988666,2161.24538114,227.17661333084106,14400.0,1600.91845826,6.73008918762207,2000,2000,153.9796645641327,449.7,17.2063,289.15420937538147,1.00382,17.2101,0.118675880945,688.45,155.18681526184082
0.0858943074451,0.00833917781711,0.34068989753723145,19000.0,0.0,2.84677,-0.00189777207561,0.0,6.864756107330322,1.00446,869.9282128810883,2542.221905231476,-1.90630089492e-09,-1.12049824974e-09,2.84421,0.00189777016931,3413.81860641,217.2374517917633,15700.0,2294.00549204,6.696585416793823,2000,2000,152.6252682209015,801.95,17.2321,303.26509833335876,1.00318,17.1879,0.148594331942,1462.35,159.23554968833923
0.0710378598399,0.00795774906874,0.3952522277832031,22500.0,0.0,2.83752,-0.00237614708021,0.0,6.854621648788452,0.99993,900.0831928253174,3447.710461616516,-8.91304807737e-11,2.32830221769e-09,2.83556,0.00237614699108,5247.63378081,236.32944083213806,18500.0,2881.63269302,6.9236204624176025,2000,2000,157.9225959777832,1127.35,17.0734,307.3252444267273,0.998951,17.0399,0.148295501221,2257.05,160.54609870910645
0.0697956514463,0.00921554490924,0.3530566692352295,22400.0,0.0,2.82435,-0.00259154476225,0.0,6.821300506591797,0.993532,891.2880854606628,4344.071100950241,1.33877620101e-09,4.6565945544e-10,2.82077,0.00259154610103,7130.1335105,232.7099859714508,16600.0,3067.19488132,6.948230743408203,2000,2000,157.0466697216034,1333.4,16.8501,303.67084550857544,0.991769,16.7898,0.281110286051,4369.65,160.02040243148804
0.0735140097168,0.00825285632163,0.3685026168823242,22500.0,0.0,2.80484,-0.00308743608184,0.0,6.932719707489014,0.984129,893.7353181838989,5242.735540628433,1.54432200361e-09,6.98490210116e-10,2.80287,0.00308743762616,8350.04101412,231.6246998310089,19900.0,3534.72597948,6.981992959976196,2000,2000,157.2392373085022,1491.5,16.5244,306.4705390930176,0.983154,16.4919,0.364986746282,6260.25,160.3140470981598
0.0680925878872,0.00713361473754,0.2534298896789551,23100.0,0.0,2.78945,-0.00243733916432,0.0,6.8768579959869385,0.976821,894.8435726165771,6142.894794464111,1.45519152284e-11,4.65660954241e-10,2.78912,0.00243733917887,9041.37845906,238.1931357383728,19800.0,3918.28343506,6.959099531173706,2000,2000,156.89129424095154,1765.65,16.272,300.77126455307007,0.976642,16.2666,0.367138633153,7416.6,161.04804849624634
0.0669958413971,0.00635039340705,0.27548766136169434,23400.0,0.0,2.76629,-0.00235836091451,0.0,6.372936010360718,0.965234,886.9834299087524,7034.746821641922,6.62112142891e-10,3.05007716861e-08,2.76618,0.00235836157663,9840.33356637,238.901762008667,20100.0,3399.60794468,6.7885401248931885,2000,2000,157.26410698890686,1583.85,15.8996,294.76301312446594,0.965192,15.8978,0.377427640008,8513.05,158.94617891311646
0.0686370931444,0.0093830851838,0.25658297538757324,23500.0,0.0,2.74275,-0.00259896577336,0.0,6.413581609725952,0.953857,887.7721705436707,7927.573795557022,5.24778442923e-10,-9.31333232757e-10,2.74206,0.00259896629814,10231.1691452,238.88435339927673,21400.0,3799.19386153,6.535277843475342,2000,2000,156.154687166214,1747.55,15.5296,296.119343996048,0.953531,15.5189,0.382832484283,9224.35,160.00386095046997
0.0674465787646,0.00645982148126,0.38472962379455566,23800.0,0.0,2.72035,-0.00261166784912,0.0,6.379213571548462,0.9433,888.1621177196503,8820.794793128967,-8.73114913702e-10,-3.72529118664e-09,2.72027,0.00261166697601,10639.3342027,237.8655641078949,19700.0,3536.1678679,6.568962097167969,2000,2000,156.00666546821594,1754.1,15.1856,297.4210743904114,0.943265,15.1844,0.436684957122,10260.85,160.02767395973206
0.0528144328669,0.00923771969974,0.510671854019165,23700.0,0.0,2.70824,-0.00272675277665,0.0,6.4079530239105225,0.937668,885.3935968875885,9711.193588018417,-8.73114913702e-10,1.95577776196e-08,2.70462,0.00272675190354,10960.4750078,221.21567249298096,20200.0,3356.13515669,6.5718958377838135,2000,2000,156.50501561164856,1604.1,15.0028,310.9573640823364,0.935972,14.9486,0.473955966423,10896.45,159.77108120918274
0.0561603492254,0.00656058872119,0.25281739234924316,23800.0,0.0,2.68822,-0.00248265988193,0.0,6.455245494842529,0.928711,886.9216854572296,10602.971531391144,-1.45519152284e-11,3.25962412617e-09,2.6871,0.00248265986738,11100.9214861,218.93166542053223,20500.0,3097.67697477,6.515895128250122,2000,2000,157.68796730041504,1385.6,14.7054,313.45136070251465,0.928212,14.689,0.4848745887,10940.4,160.18559789657593
