1MaxReturn,1StdReturn,1MinReturn,0MaxReturn,1PolicyExecTime,LossBefore,0Perplexity,1ExplainedVariance,1AverageReturn,1EnvExecTime,0StdReturn,ComputeUpdatedDistTime,1NumTrajs,1Perplexity,MeanKLBefore,1ProcessExecTime,0EnvExecTime,0AverageReturn,0MinReturn,0ProcessExecTime,Time,1AveragePolicyStd,dLoss,0AveragePolicyStd,LossAfter,ItrTime,MeanKL,0Entropy,0NumTrajs,0ExplainedVariance,1Entropy,0PolicyExecTime
7300.0,738.400975081,0.0,7400.0,104.09506678581238,-2.93221141812e-10,17.0795,0.0766631327031,208.0,78.3205406665802,718.712564242,7.990231037139893,400,17.0587,4.88162132939e-09,3.080897331237793,71.52541089057922,173.5,0.0,2.9043126106262207,323.4918143749237,0.999421,0.00181018089424,1.0,-0.00181018118747,323.491818189621,0.00699709123001,2.83788,400,0.0536127811228,2.83666,31.431679248809814
5900.0,781.660052389,0.0,6300.0,102.46765995025635,-3.72529035397e-10,17.4006,0.0939133378617,284.75,77.92339611053467,893.782831565,0.494365930557251,400,17.4102,9.89529458373e-10,2.895864248275757,72.31352686882019,323.5,0.0,2.8385226726531982,634.1367917060852,1.00966,0.00122742003296,1.00937,-0.00122742040548,309.04394245147705,0.00737092643976,2.85651,400,0.096353793141,2.85706,31.086791038513184
7900.0,887.43788515,0.0,6400.0,97.320232629776,6.37373931411e-10,17.3756,0.108316862827,252.0,74.30911302566528,710.382995292,0.5395989418029785,400,17.4129,3.04427216768e-09,2.8992409706115723,67.5244836807251,184.0,0.0,2.634871006011963,929.6666948795319,1.0098,0.00141759885882,1.00869,-0.00141759822145,294.23026728630066,0.0078988391906,2.85507,400,0.0701087180828,2.85721,35.10683798789978
10000.0,1098.00270378,0.0,9600.0,100.1012315750122,-3.60887542072e-10,16.9106,0.14965629385,282.25,76.27020525932312,1093.37296359,0.47521305084228516,400,16.9161,1.05937987271e-08,2.9249367713928223,72.46278071403503,240.75,0.0,2.90875244140625,1233.746197938919,0.995454,0.0030429178034,0.995278,-0.00304291816428,302.4438569545746,0.00972623936832,2.82794,400,0.123718318873,2.82827,32.43773007392883
13500.0,2017.82550038,0.0,11100.0,101.079509973526,-1.21071930259e-09,16.6441,0.098047567693,1105.5,75.05830526351929,1609.98398672,0.5261921882629395,400,16.7018,4.54021709118e-10,2.775007963180542,75.76356434822083,688.75,0.0,2.8783774375915527,1543.4845080375671,0.989056,0.00236151712015,0.987339,-0.00236151833087,308.1978132724762,0.00714107090607,2.81206,400,0.0743244326973,2.81552,33.796725034713745
14000.0,2111.53958938,0.0,9700.0,104.57810711860657,1.03027564258e-09,16.5696,0.092321555846,950.75,81.01312470436096,1554.7109056,0.4954979419708252,400,16.5468,2.4912873986e-09,3.0736312866210938,72.66601872444153,618.0,0.0,2.816854953765869,1856.9824464321136,0.984323,0.00254368582391,0.984988,-0.00254368479364,311.8659121990204,0.00757991056889,2.80757,400,0.0989709054845,2.80619,33.63662052154541
18100.0,3638.08224721,0.0,20800.0,101.2549741268158,-1.01426844701e-09,16.5385,0.112553036166,2184.75,79.08086228370667,2772.73095296,0.6890201568603516,400,16.5593,7.82310838332e-09,3.004328489303589,73.28075957298279,1124.25,0.0,2.8961422443389893,2165.5015828609467,0.984685,0.00266707843257,0.984036,-0.00266707944684,306.78830671310425,0.00899716559798,2.80569,400,0.0876032896653,2.80695,31.862369537353516
24400.0,4166.0706232,0.0,13500.0,118.83242535591125,-1.0186358701e-11,16.247,0.269505467121,2416.75,86.87124395370483,1853.76695879,0.4919440746307373,400,16.2581,3.35275718299e-09,3.334859609603882,75.57038688659668,678.25,0.0,2.8634557723999023,2502.071759700775,0.975685,0.00307976639742,0.975342,-0.00307976640761,335.15622758865356,0.00902805291116,2.78791,400,0.0688082493739,2.78859,32.5610556602478
18800.0,3828.48023862,0.0,12000.0,99.04848194122314,-2.44472164734e-10,16.5126,0.135517801549,2143.75,75.13509511947632,2195.78681798,0.5114157199859619,400,16.5503,9.31331678444e-11,2.779768943786621,74.54786157608032,1070.5,0.0,2.9439680576324463,2806.076113462448,0.984467,0.00254361330299,0.98333,-0.00254361354746,302.4467885494232,0.0092617245391,2.80413,400,0.0679800127323,2.8064,31.741031408309937
38800.0,6947.54254665,0.0,21400.0,103.34790921211243,-7.50878803579e-10,16.3619,0.244222595649,3505.25,78.41646933555603,3101.96380338,0.5075888633728027,400,16.3716,-8.14905032342e-10,2.787564277648926,75.94754076004028,1406.75,0.0,2.892455816268921,3118.9582328796387,0.979234,0.00362808252103,0.978878,-0.00362808327191,311.2613842487335,0.00991224590689,2.79495,400,0.067638277327,2.79555,31.925788640975952
