StdReturn,MinReturn,ExplainedVariance,Entropy,Perplexity,TotalExecTime,AveragePolicyStd,ItrTime,Time,MaxKL,AverageReturn,MaxReturn,NumTrajs,LossAfter,MeanKL,LossBefore
1106.55998482,0.0,0.466298345397,2.64941,14.1457,10.043088912963867,0.917354,10.164822578430176,10.164815664291382,0.671956,1845.0,4700.0,20,-0.0554268,0.24838,0.00636243
893.23848999,18600.0,0.959725107305,2.65578,14.236,9.53999924659729,0.918734,9.61338496208191,19.78301978111267,0.461191,20525.0,21900.0,20,-0.061905,0.131756,-0.0253773
639.21827258,19300.0,0.983189605788,2.64309,14.0565,9.582845687866211,0.913402,9.64803147315979,29.43720054626465,0.0731438,20780.0,21600.0,20,-0.0281456,0.0130519,-0.0208254
484.355241532,19600.0,0.988004422966,2.63268,13.9109,10.071601152420044,0.908064,10.106796026229858,39.55113077163696,0.0908084,21080.0,21900.0,20,-0.0198202,0.0100848,-0.0153328
512.249938995,20100.0,0.98838038615,2.62501,13.8047,9.847334623336792,0.904971,9.89818286895752,49.45472192764282,0.114014,21260.0,22100.0,20,-0.0172835,0.0250498,-0.00908407
235.531314266,21300.0,0.992211050111,2.62047,13.7421,9.922701835632324,0.902826,9.976906299591064,59.43595743179321,0.0387428,21705.0,22100.0,20,-0.0250973,0.00380417,-0.0207421
476.025209416,20400.0,0.988372417132,2.6101,13.6004,9.851651668548584,0.898622,9.885321140289307,69.3288938999176,0.571699,21320.0,22000.0,20,-0.0145041,0.0501157,0.00131856
