MinReturn,ItrTime,MaxKL,LossAfter,MaxReturn,Time,LossBefore,Entropy,AverageReturn,ExplainedVariance,NumTrajs,TotalExecTime,StdReturn,MeanKL,Perplexity,AveragePolicyStd
100.0,7.744341611862183,56.8428,-0.113173,2100.0,7.744336843490601,-0.0106172,2.79458,505.0,0.201460300944,40,7.631993293762207,472.731424807,0.506379,16.3558,0.982009
100.0,7.287977695465088,8.12049,-0.0709607,3000.0,15.03717851638794,0.00769141,2.78397,1255.0,0.385753993507,40,7.123227119445801,694.964027846,0.329146,16.1831,0.977751
1600.0,7.796789884567261,7.86227,-0.0615865,5900.0,22.838322639465332,-0.00244275,2.78781,3422.5,0.652965515118,40,7.690911531448364,1047.0165949,0.271442,16.2454,0.979498
800.0,7.3582751750946045,17.3227,-0.0647123,6200.0,30.199740171432495,-0.00196493,2.78659,3365.0,0.557881650226,40,7.281490325927734,1268.9661146,0.220911,16.2256,0.978438
1800.0,7.492479085922241,16.397,-0.0832899,4900.0,37.70453476905823,-0.0162471,2.78561,3482.5,0.658175420382,40,7.4273107051849365,841.987974974,0.303952,16.2097,0.97774
1400.0,7.19328498840332,9.24378,-0.104992,5400.0,44.91103768348694,-0.0338471,2.77748,3827.5,0.635202857202,40,7.119807720184326,953.149384934,0.326768,16.0785,0.973144
1000.0,7.478886842727661,7.96723,-0.0714308,6800.0,52.393978118896484,0.00035651,2.76056,3697.5,0.55117580278,40,7.428202390670776,1119.48369796,0.332434,15.8087,0.965109
