MeanKL,ExplainedVariance,AveragePolicyStd,AverageReturn,LossAfter,MinReturn,Time,ItrTime,MaxReturn,NumTrajs,Perplexity,StdReturn,MaxKL,Entropy,LossBefore,TotalExecTime
0.0750795,0.344820099818,0.956152,580.0,-0.0288595,0.0,34.47261667251587,34.47261953353882,2100.0,20,15.613,770.45441137,0.483123,2.7481,-0.00852738,34.026241302490234
0.0068486,0.605694499186,0.952137,1180.0,-0.0155358,0.0,66.38335633277893,31.89342474937439,3000.0,20,15.4804,805.977667184,0.0599846,2.73958,-0.0116405,31.564600706100464
0.00134864,0.523439200356,0.949341,1600.0,0.00751624,0.0,96.64775919914246,30.237199544906616,6700.0,20,15.3906,1424.42971045,0.00968084,2.73376,0.00853358,29.839709043502808
0.0165762,0.431448189405,0.951359,1895.0,-0.00227187,0.0,129.305597782135,32.637341260910034,8700.0,20,15.4564,1948.96767546,0.0787496,2.73802,0.00128388,32.329933404922485
0.0231151,0.48198383403,0.951635,1105.0,0.00831642,0.0,160.79530668258667,31.472885608673096,4900.0,20,15.4663,1184.26137318,0.0891114,2.73866,0.0190132,31.360968828201294
0.0032845,0.342680174025,0.956148,1580.0,-0.00676664,0.0,190.06096386909485,29.24327039718628,6700.0,20,15.6141,1664.51194048,0.0129236,2.74817,-0.0033701,28.998030185699463
0.0074692,0.229742692061,0.955364,4160.0,-0.00219605,0.0,218.2837517261505,28.20245909690857,24700.0,20,15.5878,7395.02535493,0.0391917,2.74649,0.000755005,28.084426879882812
