MeanKL,TotalExecTime,Perplexity,MinReturn,ExplainedVariance,AveragePolicyStd,ItrTime,StdReturn,LossAfter,Time,NumTrajs,Entropy,MaxReturn,MaxKL,AverageReturn,LossBefore
0.0,13.555692195892334,5.30132,0.0,1,0.55714,13.65630555152893,0.0,-0.0,13.65630316734314,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.330114841461182,5.30132,0.0,1,0.55714,13.423181295394897,0.0,-0.0,27.082064151763916,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.225373029708862,5.30132,0.0,1,0.55714,13.275386333465576,0.0,-0.0,40.36010003089905,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.192882299423218,5.30132,0.0,1,0.55714,13.252281904220581,0.0,-0.0,53.61788821220398,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.244723796844482,5.30132,0.0,1,0.55714,13.307618141174316,0.0,-0.0,66.9372968673706,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.265003681182861,5.30132,0.0,1,0.55714,13.335819244384766,0.0,-0.0,80.27832889556885,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.301102638244629,5.30132,0.0,1,0.55714,13.38787031173706,0.0,-0.0,93.68304824829102,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.373668193817139,5.30132,0.0,1,0.55714,13.455500841140747,0.0,-0.0,107.14533519744873,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.336939573287964,5.30132,0.0,1,0.55714,13.393898963928223,0.0,-0.0,120.54445695877075,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.293106079101562,5.30132,0.0,1,0.55714,13.377856254577637,0.0,-0.0,133.9284143447876,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.263479948043823,5.30132,0.0,1,0.55714,13.335712194442749,0.0,-0.0,147.26796793937683,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.451707601547241,5.30132,0.0,1,0.55714,13.500488758087158,0.0,-0.0,160.77234506607056,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.217787265777588,5.30132,0.0,1,0.55714,13.283506393432617,0.0,-0.0,174.06243014335632,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.15720009803772,5.30132,0.0,1,0.55714,13.249823093414307,0.0,-0.0,187.32633924484253,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.379716873168945,5.30132,0.0,1,0.55714,13.45785641670227,0.0,-0.0,200.78705382347107,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.239137887954712,5.30132,0.0,1,0.55714,13.335164070129395,0.0,-0.0,214.1276171207428,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.262218236923218,5.30132,0.0,1,0.55714,13.318426609039307,0.0,-0.0,227.44909739494324,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.283674478530884,5.30132,0.0,1,0.55714,13.357205629348755,0.0,-0.0,240.8113820552826,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.387943029403687,5.30132,0.0,1,0.55714,13.443060159683228,0.0,-0.0,254.26097512245178,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.174228191375732,5.30132,0.0,1,0.55714,13.231852531433105,0.0,-0.0,267.4968695640564,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.458280801773071,5.30132,0.0,1,0.55714,13.54678988456726,0.0,-0.0,281.0504069328308,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.193897724151611,5.30132,0.0,1,0.55714,13.253207206726074,0.0,-0.0,294.30776047706604,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.413748264312744,5.30132,0.0,1,0.55714,13.472280979156494,0.0,-0.0,307.7860457897186,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.223893165588379,5.30132,0.0,1,0.55714,13.314454078674316,0.0,-0.0,321.1056044101715,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.29005742073059,5.30132,0.0,1,0.55714,13.364114046096802,0.0,-0.0,334.47469425201416,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.343340635299683,5.30132,0.0,1,0.55714,13.396003484725952,0.0,-0.0,347.8750536441803,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.261743545532227,5.30132,0.0,1,0.55714,13.311623334884644,0.0,-0.0,361.19735884666443,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.197165727615356,5.30132,0.0,1,0.55714,13.28777813911438,0.0,-0.0,374.49040246009827,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.221788167953491,5.30132,0.0,1,0.55714,13.305798292160034,0.0,-0.0,387.8066599369049,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.1826810836792,5.30132,0.0,1,0.55714,13.244890451431274,0.0,-0.0,401.05536460876465,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.395464897155762,5.30132,0.0,1,0.55714,13.492409229278564,0.0,-0.0,414.5514986515045,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.209489345550537,5.30132,0.0,1,0.55714,13.266301393508911,0.0,-0.0,427.82425928115845,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.363434791564941,5.30132,0.0,1,0.55714,13.416283369064331,0.0,-0.0,441.2466742992401,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.240417003631592,5.30132,0.0,1,0.55714,13.345518350601196,0.0,-0.0,454.61128520965576,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.321919202804565,5.30132,0.0,1,0.55714,13.398920774459839,0.0,-0.0,468.01403641700745,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.358430862426758,5.30132,0.0,1,0.55714,13.4510018825531,0.0,-0.0,481.47314500808716,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.28774881362915,5.30132,0.0,1,0.55714,13.366307020187378,0.0,-0.0,494.84288239479065,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.226496696472168,5.30132,0.0,1,0.55714,13.31238579750061,0.0,-0.0,508.15905380249023,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.407867908477783,5.30132,0.0,1,0.55714,13.495410680770874,0.0,-0.0,521.6581275463104,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.353447914123535,5.30132,0.0,1,0.55714,13.440609693527222,0.0,-0.0,535.1035149097443,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.308326005935669,5.30132,0.0,1,0.55714,13.373769521713257,0.0,-0.0,548.4843831062317,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.198278427124023,5.30132,0.0,1,0.55714,13.278467893600464,0.0,-0.0,561.7819440364838,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.4915931224823,5.30132,0.0,1,0.55714,13.562345027923584,0.0,-0.0,575.3590433597565,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.21460247039795,5.30132,0.0,1,0.55714,13.297409057617188,0.0,-0.0,588.6743910312653,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.38497257232666,5.30132,0.0,1,0.55714,13.442344903945923,0.0,-0.0,602.12264585495,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.212275505065918,5.30132,0.0,1,0.55714,13.263583183288574,0.0,-0.0,615.3944470882416,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.30730414390564,5.30132,0.0,1,0.55714,13.386027336120605,0.0,-0.0,628.7853932380676,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.348167181015015,5.30132,0.0,1,0.55714,13.449822187423706,0.0,-0.0,642.2388861179352,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.413836240768433,5.30132,0.0,1,0.55714,13.503993511199951,0.0,-0.0,655.7469913959503,200,1.66796,0.0,0.0,0.0,-0.0
0.0,13.420394897460938,5.30132,0.0,1,0.55714,13.50168776512146,0.0,-0.0,669.2535598278046,200,1.66796,0.0,0.0,0.0,-0.0
