TotalExecTime,ExplainedVariance,LossAfter,Entropy,AveragePolicyStd,MaxKL,LossBefore,MaxReturn,MeanKL,AverageReturn,ItrTime,Time,Perplexity,MinReturn,StdReturn,NumTrajs
36.80171036720276,0.993510425999,-0.0266475,2.4993,0.844273,1.73823,-0.0182734,2900.0,0.0504281,2668.0,37.15565299987793,1061.6798174381256,12.174,2100.0,126.791166885,200
33.69579720497131,0.994113519382,-0.0194277,2.49017,0.840439,0.143317,-0.0135083,3000.0,0.0206882,2675.0,34.01444697380066,1095.713722705841,12.0633,2300.0,124.398553046,200
36.684268951416016,0.995000564215,-0.0181609,2.48341,0.837601,1.15442,-0.0108084,3000.0,0.0424237,2680.0,37.00591969490051,1132.7357339859009,11.9821,2300.0,117.473401245,200
35.501619815826416,0.994035558475,0.00735527,2.47801,0.835344,0.090163,0.00986198,3000.0,0.00299818,2680.5,35.77110314369202,1168.5103070735931,11.9175,2300.0,116.059252109,200
35.84879446029663,0.994908342073,-0.027046,2.48294,0.837419,0.171816,-0.022419,2900.0,0.0112219,2672.5,36.12547063827515,1204.6514346599579,11.9764,2300.0,109.97158724,200
36.40642046928406,0.994355846281,-0.0127333,2.47173,0.83274,0.228404,-0.00836997,2900.0,0.00703711,2670.5,36.67653965950012,1241.3364162445068,11.8429,2200.0,124.818868766,200
36.31312966346741,0.995462700422,-0.0108427,2.46754,0.831022,0.404499,-0.00582269,2900.0,0.0146293,2672.0,36.63294696807861,1277.987465620041,11.7934,2400.0,111.874930168,200
35.38543891906738,0.994468972191,-0.0138364,2.46463,0.829814,0.737536,-0.00256801,2900.0,0.0601784,2659.5,35.70593452453613,1313.7037518024445,11.7591,2300.0,122.105487182,200
35.46940875053406,0.99471689318,-0.0156926,2.46335,0.829295,3.57911,-0.0022203,3000.0,0.0728437,2670.0,35.84587860107422,1349.5587515830994,11.7441,2300.0,122.474487139,200
34.23172330856323,0.994487786463,0.0250596,2.46224,0.828818,0.0958733,0.0291373,2900.0,0.00715311,2671.5,34.63249087333679,1384.2033848762512,11.731,2300.0,115.055421428,200
34.478352069854736,0.995252256021,-0.00882418,2.47681,0.834864,0.897216,-0.00389339,3000.0,0.0357593,2671.5,34.77157473564148,1418.9807546138763,11.9032,2300.0,110.171457284,200
36.023898124694824,0.995011008241,-0.00610171,2.47486,0.834043,0.462824,0.000682401,3000.0,0.025025,2670.0,36.292139530181885,1455.2893371582031,11.88,2400.0,114.455231423,200
35.62203931808472,0.994228839538,-0.0103621,2.4752,0.83421,0.628032,-0.00673347,2900.0,0.0145902,2676.0,35.95300817489624,1491.2570173740387,11.8841,2300.0,118.422970745,200
36.1691689491272,0.99490367063,-0.00762414,2.47183,0.83284,1.1327,-0.000544859,2900.0,0.0572313,2673.0,36.52114009857178,1527.8038358688354,11.8441,2300.0,114.764977236,200
33.43282628059387,0.994390974748,-0.0178182,2.47156,0.832682,0.181372,-0.0146241,3000.0,0.00714708,2667.5,33.70819067955017,1561.5258066654205,11.8409,2300.0,124.473892845,200
35.55691337585449,0.995095057353,-0.0122947,2.46425,0.829643,0.582968,-0.00501797,3000.0,0.04289,2681.0,35.80068111419678,1597.334576368332,11.7547,2300.0,119.327281038,200
35.02624702453613,0.994680642496,-0.00203749,2.46174,0.8286,0.7213,0.00487873,3100.0,0.0355369,2683.5,35.34943962097168,1632.7009346485138,11.7252,2300.0,119.070357352,200
34.16077780723572,0.994654180403,-0.0248659,2.46418,0.829586,1.40976,-0.0188709,3000.0,0.0461653,2667.5,34.50173211097717,1667.2161486148834,11.7538,2300.0,116.592238164,200
35.15424203872681,0.994641432933,-0.00499417,2.45474,0.8257,0.400948,0.000916433,2900.0,0.0289308,2680.5,35.344297647476196,1702.5645678043365,11.6435,2300.0,119.036759028,200
33.50848436355591,0.994739658818,-0.00936216,2.4552,0.825892,0.664483,-0.00564128,2900.0,0.0133368,2684.5,33.746814012527466,1736.326111793518,11.6488,2300.0,109.589004923,200
36.719146728515625,0.994813812992,0.00835132,2.45238,0.824707,0.519023,0.0143909,3000.0,0.021461,2675.5,37.05444073677063,1773.404084444046,11.616,2400.0,119.372316724,200
