ExplainedVariance,MaxReturn,StdReturn,MinReturn,AveragePolicyStd,MaxKL,LossBefore,NumTrajs,MeanKL,ItrTime,Entropy,AverageReturn,Time,Perplexity,LossAfter,TotalExecTime
0.878424578176,2500.0,452.657707324,0.0,0.893294,0.0338494,-0.0573121,200,0.0144373,24.36532950401306,2.61214,1801.0,757.9285643100739,13.6282,-0.0780395,24.17894673347473
0.918857574011,2600.0,375.757568121,200.0,0.880589,0.0336035,-0.0622298,200,0.0140074,37.100061893463135,2.58349,1967.5,795.0339138507843,13.2432,-0.0796882,36.92572236061096
0.957175250465,2700.0,278.107443266,1100.0,0.866997,0.0365641,-0.0457698,200,0.0133186,24.762780904769897,2.55237,2102.5,819.8099300861359,12.8375,-0.0603574,24.540172338485718
0.958617390273,2800.0,295.396343918,1300.0,0.857131,0.0809456,-0.0591141,200,0.0286108,24.211260080337524,2.52949,2179.0,844.0257461071014,12.5471,-0.08472,24.001439094543457
0.975737029591,3000.0,237.368384584,1600.0,0.844541,0.0489174,-0.0797641,200,0.0186973,25.420260667800903,2.49993,2322.5,869.4528803825378,12.1817,-0.0966696,25.169013261795044
0.980937043701,2900.0,216.527134558,1500.0,0.827864,0.0466451,-0.0544158,200,0.0173191,26.882654190063477,2.46005,2396.0,896.3404424190521,11.7054,-0.0682115,26.57886505126953
0.985764450542,2900.0,194.871752699,1700.0,0.816676,0.0434097,-0.0526357,200,0.0164631,25.507363080978394,2.43284,2445.0,921.8647239208221,11.3912,-0.0641581,25.2855007648468
0.986001408915,2900.0,182.290290471,1900.0,0.806008,0.0710896,-0.0653675,200,0.0234567,25.97108006477356,2.40652,2495.5,947.8495986461639,11.0953,-0.0798018,25.779557704925537
0.990311846172,2900.0,159.373774505,2000.0,0.792932,0.0736883,-0.0422021,200,0.0252798,25.172847032546997,2.37384,2540.0,973.0311024188995,10.7385,-0.0545851,25.055684328079224
0.991228370777,2900.0,158.779721627,2000.0,0.784611,0.0216075,-0.0364073,200,0.00790817,24.092605113983154,2.35274,2567.0,997.1284654140472,10.5143,-0.0411414,24.00176692008972
0.991177724935,2900.0,154.398834192,1900.0,0.777502,0.0154258,-0.0315551,200,0.00598015,24.778212785720825,2.33453,2581.0,1021.9109888076782,10.3246,-0.0350268,24.65280532836914
0.99223575026,3000.0,149.491638562,2100.0,0.771393,0.0597015,-0.0525832,200,0.0196721,25.28500008583069,2.31876,2601.5,1047.2028663158417,10.163,-0.0616905,25.070568561553955
0.991211884667,2900.0,144.040792833,2100.0,0.761317,0.00380537,-0.0549607,200,0.00228991,25.140979766845703,2.29247,2601.5,1072.3638684749603,9.89931,-0.0579661,24.992401123046875
0.993161283294,2900.0,135.790279475,2200.0,0.750928,0.0509856,-0.0343363,200,0.0161776,25.311474800109863,2.26498,2619.0,1097.704485654831,9.63098,-0.0403254,25.22169542312622
0.993291176344,2900.0,139.283882772,2200.0,0.744509,0.00936598,-0.0243731,200,0.00279395,25.119465112686157,2.24782,2640.0,1122.8441441059113,9.46704,-0.0269088,24.955220699310303
0.993526824458,2900.0,129.397642946,2200.0,0.739992,0.074418,-0.0313741,200,0.0211897,24.834260940551758,2.23563,2637.5,1147.6823573112488,9.35237,-0.0378587,24.690228939056396
0.994541740613,2900.0,125.617474899,2300.0,0.734205,0.0128919,-0.0339863,200,0.00372328,24.05723547935486,2.21994,2654.5,1171.749785900116,9.20681,-0.0362535,23.968814611434937
0.994364428451,2900.0,122.448968963,2200.0,0.728,0.0268762,-0.000452947,200,0.00822775,22.59780192375183,2.20295,2652.5,1194.358541727066,9.05167,-0.00274057,22.50626015663147
0.994680476096,3000.0,121.810303341,2300.0,0.727916,0.00874132,-0.014404,200,0.00199917,22.311638116836548,2.20272,2671.5,1216.6731894016266,9.04963,-0.0153202,22.224141120910645
0.993733736392,3000.0,139.956243162,2200.0,0.725297,0.0229896,-0.0236878,200,0.00655708,22.46441102027893,2.19552,2653.5,1239.1452684402466,8.98469,-0.0267007,22.365575075149536
0.994864641774,3000.0,122.350929706,2300.0,0.721012,0.0156573,-0.0142168,200,0.00397862,22.443584442138672,2.18368,2680.5,1261.5911753177643,8.8789,-0.0158803,22.35016894340515
