LossAfter,1MinReturn,dLoss,1ExplainedVariance,0Perplexity,1PolicyExecTime,Time,ComputeUpdatedDistTime,1Entropy,1ProcessExecTime,0AverageReturn,1AverageReturn,0Entropy,1Perplexity,1NumTrajs,MeanKL,LossBefore,0EnvExecTime,0PolicyExecTime,MeanKLBefore,0MinReturn,1MaxReturn,ItrTime,0ProcessExecTime,0NumTrajs,1EnvExecTime,1StdReturn,1AveragePolicyStd,0ExplainedVariance,0StdReturn,0MaxReturn,0AveragePolicyStd
-0.00301333284006,0.0,0.00301333306415,0.170084268393,17.0795,47.44020128250122,184.4319953918457,5.725006341934204,2.83863,1.6746869087219238,53.75,164.25,2.83788,17.0923,400,0.00906756334007,2.24099488966e-10,50.50103735923767,14.796244144439697,-1.72585734592e-09,0.0,18000.0,184.43199849128723,1.8139863014221191,400,48.810577392578125,1313.61978422,1.00038,0.078702207943,462.802266092,6500.0,1.0
-0.00221047177911,0.0,0.00221047133673,0.0551486013816,16.966,47.920093059539795,362.0396058559418,0.3788108825683594,2.82973,1.681741714477539,85.25,136.5,2.83121,16.9409,400,0.00899628177285,-4.42378245147e-10,49.77863669395447,16.056187391281128,-4.1327421485e-09,0.0,15600.0,176.78370547294617,1.706737995147705,400,49.50269627571106,1164.88958704,0.995947,0.038217277722,769.550152687,13700.0,0.996674
-0.00285711931065,0.0,0.00285711822216,0.104681937581,16.8621,47.93384003639221,539.4185378551483,0.3793971538543701,2.82407,1.7159533500671387,216.0,231.75,2.82507,16.8453,400,0.00902412086725,-1.08848330349e-09,50.099236488342285,16.311153411865234,3.37604566525e-09,0.0,11700.0,176.43964886665344,1.6749887466430664,400,48.49890971183777,1091.79528186,0.99314,0.0500769618944,1586.58249076,24600.0,0.993617
-0.00305308261886,0.0,0.00305308248717,0.101881422193,16.9039,46.881508111953735,714.9277713298798,0.3694150447845459,2.82799,1.5718255043029785,108.0,235.5,2.82755,16.9114,400,0.00645117182285,-1.3169484947e-10,50.6049427986145,14.640717506408691,-9.25502396942e-10,0.0,12600.0,174.50478959083557,1.7361552715301514,400,48.38877058029175,1092.46956479,0.995083,0.0629448524831,592.693850145,6800.0,0.99485
-0.00392878474668,0.0,0.00392878563143,0.088737499177,17.0435,47.39973998069763,890.8975069522858,0.4518706798553467,2.83699,1.6174840927124023,426.0,348.0,2.83577,17.0643,400,0.00999862235039,8.84756490294e-10,49.98467302322388,14.625086545944214,1.28056523718e-10,0.0,10800.0,174.93360996246338,1.6696736812591553,400,48.858620166778564,1040.83908459,0.999582,0.0867584220352,1495.63498221,16600.0,0.998958
-0.00407294230536,0.0,0.00407294272445,0.0898034298774,16.7531,48.672961711883545,1072.1459980010986,0.3992924690246582,2.82023,1.730280876159668,305.0,563.5,2.81858,16.7807,400,0.00951599888504,4.19095147475e-10,50.023017168045044,16.345505952835083,-8.61473392622e-10,0.0,9800.0,180.2238314151764,1.820089340209961,400,49.7859673500061,1442.26133208,0.991234,0.0577997146667,878.42188042,9100.0,0.990403
-0.00328671536408,0.0,0.00328671535972,0.0903290249805,16.8835,46.560590982437134,1254.7738423347473,0.8232660293579102,2.82364,1.7631478309631348,599.5,688.75,2.82633,16.838,400,0.00639496231452,-4.3655357107e-12,51.52034521102905,18.295434951782227,-1.3271335142e-09,0.0,12700.0,181.5998833179474,1.7954277992248535,400,48.72446870803833,1670.91245656,0.993014,0.0731998802656,1391.70749441,8100.0,0.994328
-0.00373195018619,0.0,0.00373194902058,0.0566301745468,16.7614,48.18319225311279,1434.388433456421,0.3590261936187744,2.81424,1.784952163696289,503.5,629.25,2.81908,16.6805,400,0.00943373516202,-1.16560838759e-09,51.02097725868225,15.988776922225952,-3.36440098003e-09,0.0,19700.0,178.49741172790527,1.8393216133117676,400,49.6179473400116,1680.08018782,0.988383,0.0681321746143,1382.29437892,14000.0,0.990761
-0.00352914608084,0.0,0.00352914568211,0.100535661633,16.5389,47.50498962402344,1612.8425796031952,0.4067413806915283,2.80564,1.601656198501587,519.25,652.0,2.80571,16.5376,400,0.0093548996374,-3.98722527217e-10,51.775012493133545,16.73682737350464,2.65427013701e-09,0.0,11100.0,177.34429335594177,1.901930332183838,400,48.27532362937927,1487.2948598,0.984229,0.0486387124731,1521.07016193,19700.0,0.984279
-0.00379955559038,0.0,0.00379955595708,0.088516179474,16.5156,46.169289350509644,1786.2069761753082,0.39919209480285645,2.8036,1.5921173095703125,736.0,964.75,2.80431,16.5039,400,0.0095884827897,3.66708274857e-10,50.73614954948425,14.426868915557861,-2.17696416449e-09,0.0,17500.0,172.25930976867676,1.6304125785827637,400,47.60229015350342,1962.69774481,0.983155,0.0874330025801,1397.06979067,8000.0,0.98351
-0.00393976643682,0.0,0.00393976637861,0.0560915737179,16.6854,46.92168307304382,1961.853221654892,0.4513111114501953,2.81852,1.6557538509368896,545.75,691.75,2.81453,16.7521,400,0.00930818822235,-5.82076331579e-11,50.27446627616882,14.422978401184082,2.53785370496e-09,0.0,14500.0,174.08058619499207,1.7918314933776855,400,48.5597038269043,1689.92808649,0.990552,0.0504001707381,1071.2058334,9300.0,0.98861
-0.0038329474628,0.0,0.00383294694475,0.104870219177,16.7504,46.15274238586426,2136.426954984665,0.3390960693359375,2.81876,1.6267809867858887,691.25,1084.0,2.81842,16.756,400,0.00924013461918,-5.18048159925e-10,49.92426252365112,15.646230220794678,-7.8463875397e-09,0.0,11800.0,173.4261496067047,1.6615161895751953,400,48.01305675506592,1815.03278207,0.990771,0.0580017361148,1311.12487487,8400.0,0.990559
