1MaxReturn,Time,1AveragePolicyStd,0AveragePolicyStd,MeanKLBefore,0AverageReturn,0Perplexity,ComputeUpdatedDistTime,0ExplainedVariance,1ExplainedVariance,dLoss,1ProcessExecTime,LossBefore,0StdReturn,1EnvExecTime,0PolicyExecTime,1PolicyExecTime,0EnvExecTime,1AverageReturn,LossAfter,1StdReturn,1MinReturn,0MaxReturn,1NumTrajs,0Entropy,0NumTrajs,1Perplexity,0ProcessExecTime,ItrTime,MeanKL,1Entropy,0MinReturn
0.0,57.39682364463806,1.0,1.0,0.0,0.0,17.0795,6.143415927886963,1,1,0.0,0.3948333263397217,0.0,0.0,10.265285730361938,4.944977521896362,15.203779458999634,10.423478841781616,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.43097710609436035,57.396827697753906,0.0,2.83788,0.0
0.0,104.4714617729187,1.0,1.0,0.0,0.0,17.0795,0.4224097728729248,1,1,0.0,0.3835325241088867,0.0,0.0,10.872395753860474,3.737342596054077,15.867409944534302,9.927217483520508,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.3571794033050537,45.943915128707886,0.0,2.83788,0.0
0.0,152.6416835784912,1.0,1.0,0.0,0.0,17.0795,0.4220151901245117,1,1,0.0,0.37703633308410645,0.0,0.0,10.691645622253418,4.265857696533203,15.604305505752563,10.510246753692627,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.39205121994018555,48.15910792350769,0.0,2.83788,0.0
0.0,200.0254147052765,1.0,1.0,0.0,0.0,17.0795,0.45955848693847656,1,1,0.0,0.3790898323059082,0.0,0.0,10.47672700881958,4.4594550132751465,14.803220272064209,10.031096458435059,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.37998104095458984,46.18078136444092,0.0,2.83788,0.0
0.0,245.62748503684998,1.0,1.0,0.0,0.0,17.0795,0.3847486972808838,1,1,0.0,0.378002405166626,0.0,0.0,10.321218490600586,4.356816530227661,14.955270290374756,10.045251607894897,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.38103818893432617,45.597853899002075,0.0,2.83788,0.0
0.0,292.02236580848694,1.0,1.0,0.0,0.0,17.0795,0.39678120613098145,1,1,0.0,0.37076854705810547,0.0,0.0,10.327803373336792,3.7645699977874756,15.46504807472229,9.896923780441284,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.3556079864501953,45.338571548461914,0.0,2.83788,0.0
0.0,337.61046838760376,1.0,1.0,0.0,0.0,17.0795,0.36356472969055176,1,1,0.0,0.3452272415161133,0.0,0.0,10.323853254318237,4.090065002441406,14.716269969940186,10.198200464248657,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.3913767337799072,45.579163551330566,0.0,2.83788,0.0
0.0,384.37606024742126,1.0,1.0,0.0,0.0,17.0795,0.40225720405578613,1,1,0.0,0.37624168395996094,0.0,0.0,10.494422674179077,3.970459461212158,15.21909499168396,9.977498531341553,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.37689638137817383,45.68394470214844,0.0,2.83788,0.0
0.0,434.4193651676178,1.0,1.0,0.0,0.0,17.0795,0.3606255054473877,1,1,0.0,0.47841334342956543,0.0,0.0,11.404999256134033,4.09425687789917,16.8483145236969,10.135066509246826,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.3803246021270752,50.014453411102295,0.0,2.83788,0.0
0.0,485.0098671913147,1.0,1.0,0.0,0.0,17.0795,0.5029282569885254,1,1,0.0,0.43660664558410645,0.0,0.0,11.320247650146484,4.021242618560791,17.092068672180176,10.829147815704346,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.41280245780944824,49.487720251083374,0.0,2.83788,0.0
