AveragePolicyStd,ItrTime,MinReturn,StdReturn,TotalExecTime,ExplainedVariance,Time,Entropy,Perplexity,LossBefore,MaxKL,MaxReturn,LossAfter,MeanKL,AverageReturn,NumTrajs
0.930467,12.290667057037354,0.0,2016.68044072,12.108837842941284,0.138723378183,12.290658950805664,2.69307,14.777,0.0204699,4.33709,7900.0,-0.13781,1.16959,2600.0,20
0.939914,11.985695838928223,17300.0,1147.7260126,11.721726655960083,0.969492061032,24.284571170806885,2.71354,15.0826,0.00175891,0.466109,21500.0,-0.0116529,0.0290317,19965.0,20
0.940378,12.51694369316101,18700.0,810.108017489,12.416138648986816,0.978248067199,36.809483766555786,2.71442,15.0959,-0.012967,0.450064,21500.0,-0.0233519,0.0239779,20435.0,20
0.937246,12.4878830909729,18800.0,783.262408137,12.345954179763794,0.982472529555,49.30074334144592,2.70794,14.9983,-0.020829,0.545073,21900.0,-0.0337914,0.0303057,20850.0,20
0.932335,11.830306768417358,18400.0,789.556837726,11.750468015670776,0.983330974012,61.13889718055725,2.69753,14.8429,-0.0172153,0.157904,21800.0,-0.0221755,0.0112489,21040.0,20
0.928323,11.611704587936401,19400.0,637.867541109,11.534072875976562,0.984161171144,72.75735664367676,2.68892,14.7157,-8.70228e-06,0.144082,22000.0,-0.00741761,0.00968706,21225.0,20
0.928397,11.756069660186768,18200.0,836.226643919,11.673239946365356,0.981476684437,84.52026987075806,2.68891,14.7157,0.00733876,0.949004,21900.0,-0.0084624,0.0401093,21285.0,20
