StdReturn,LossBefore,Time,Entropy,NumTrajs,LossAfter,AveragePolicyStd,Perplexity,MaxReturn,ItrTime,TotalExecTime,MinReturn,AverageReturn,MeanKL,MaxKL,ExplainedVariance
366.708330966,-0.00667747,12.130555868148804,2.69307,20,-0.0725657,0.930467,14.777,1400.0,12.130561113357544,12.040677070617676,0.0,195.0,0.226092,2.77943,0.161755444836
212.367605816,0.000105843,24.038780450820923,2.6864,20,-0.0167928,0.927315,14.6787,2000.0,11.903741836547852,11.724767684936523,900.0,1330.0,0.0401619,0.655957,0.870465736208
255.880831638,-0.00172704,35.17901635169983,2.68645,20,-0.00984035,0.92758,14.6795,1900.0,11.127506732940674,11.043786525726318,800.0,1395.0,0.0117481,0.423258,0.864011213874
607.782855961,0.0192425,46.59462857246399,2.68559,20,0.00190594,0.92713,14.6668,3000.0,11.412213802337646,11.378805875778198,0.0,1540.0,0.0333125,1.48509,0.737275234274
574.86955042,0.00245898,58.20616960525513,2.69521,20,-0.00588543,0.931695,14.8086,2300.0,11.606395721435547,11.498433589935303,0.0,1355.0,0.0131469,0.164584,0.715790916086
563.27169288,0.000559103,69.80073642730713,2.69644,20,-0.00521559,0.932198,14.8268,2700.0,11.589651346206665,11.548322439193726,0.0,1665.0,0.0149946,0.0772735,0.782899648084
415.78239501,0.00353646,81.11741662025452,2.69672,20,-0.0128368,0.932314,14.8309,2800.0,11.310464859008789,11.250205039978027,1100.0,1975.0,0.0446965,0.461078,0.79355143518
