AveragePolicyStd,ItrTime,TotalExecTime,LossAfter,MaxKL,Time,ExplainedVariance,Perplexity,MaxReturn,Entropy,MinReturn,StdReturn,NumTrajs,AverageReturn,MeanKL,LossBefore
1.0,15.907982110977173,15.604280948638916,-0.0,0.0,15.907975196838379,1,17.0795,0.0,2.83788,0.0,0.0,20,0.0,0.0,-0.0
1.0,16.425419569015503,16.226030826568604,0.381817,277.525,32.36000347137451,0.0999972199001,17.0795,800.0,2.83788,0.0,174.355957742,20,40.0,3.62917,-0.0177297
0.995578,17.330286741256714,17.109142780303955,-0.0,0.0,49.708536863327026,1,16.9287,0.0,2.82901,0.0,0.0,20,0.0,0.0,-0.0
0.995578,17.270014762878418,17.09860110282898,1.35307,1240.86,66.99956488609314,0.0930816800658,16.9287,400.0,2.82901,0.0,87.1779788708,20,20.0,12.7671,-0.00104175
0.995319,17.130844354629517,17.008540868759155,0.688668,253.582,84.14448475837708,0.0563239107426,16.9199,1300.0,2.82849,0.0,348.245602987,20,115.0,2.17546,-0.0124105
0.992236,17.464980602264404,17.19155240058899,13.772,2665.78,101.6672089099884,0.285457112311,16.8153,1800.0,2.82229,0.0,432.983833416,20,195.0,30.0541,0.0164539
0.996325,17.912488222122192,17.762391090393066,0.0119202,0.00403585,119.60600543022156,0.14013709446,16.9542,400.0,2.83051,0.0,120.0,20,40.0,0.00061505,0.0138808
