1EnvExecTime,0MaxReturn,0Perplexity,MeanKLBefore,Time,0NumTrajs,1ExplainedVariance,0AverageReturn,0MinReturn,0PolicyExecTime,0ExplainedVariance,0Entropy,1StdReturn,1Entropy,1MaxReturn,1AveragePolicyStd,0AveragePolicyStd,0StdReturn,1MinReturn,MeanKL,ItrTime,LossBefore,0ProcessExecTime,dLoss,1NumTrajs,1PolicyExecTime,1Perplexity,1ProcessExecTime,LossAfter,ComputeUpdatedDistTime,1AverageReturn,0EnvExecTime
45.491602659225464,1800.0,17.0795,4.82032502802e-09,314.23419666290283,1200,0.00397769519622,6.0,0.0,82.99959921836853,0.0051290426634,2.83788,94.2579203863,2.83926,1900.0,1.0007,1.0,86.2979335403,0.0,0.00678180716932,314.2341983318329,0.0,1.7725400924682617,0.00226950552315,1200,125.24517273902893,17.1031,1.8468353748321533,-0.00226950552315,1.1370525360107422,5.66666666667,43.96545124053955
48.124136209487915,2100.0,17.1033,2.38651320927e-09,602.3147866725922,1200,0.00600101183857,8.16666666667,0.0,67.0235800743103,0.00995582465586,2.83927,82.5589015323,2.83839,1900.0,1.00026,1.0007,105.908634629,0.0,0.00765922386199,285.5123281478882,2.32830643654e-10,1.9415152072906494,0.00279429717921,1200,111.37832713127136,17.0883,1.8989458084106445,-0.00279429694638,0.1457958221435547,5.83333333333,46.91525912284851
51.00224995613098,3400.0,17.3112,-5.82077164246e-10,916.1875224113464,1200,0.00648672443839,21.6666666667,0.0,76.27945685386658,0.00907571356517,2.85135,221.336282611,2.85289,2600.0,1.00755,1.00678,191.521684296,0.0,0.00482244370505,310.3612916469574,-2.32830643654e-10,2.075137138366699,0.000986367929727,1200,120.16902089118958,17.3377,2.0980875492095947,-0.000986368162557,0.20742487907409668,35.5,50.196359157562256
49.27334976196289,2800.0,17.2569,1.16415455054e-09,1236.6988809108734,1200,0.00548621064865,26.9166666667,0.0,77.44187593460083,0.00546747725965,2.84821,314.080624822,2.84953,4400.0,1.00611,1.00542,192.874293403,0.0,0.00981027632952,317.2033655643463,-6.98491930962e-10,2.1283133029937744,0.00319772982039,1200,128.46953964233398,17.2797,2.0368964672088623,-0.00319773051888,0.19037222862243652,48.1666666667,49.4986629486084
49.140703439712524,3500.0,17.2844,3.72529429526e-09,1546.0663256645203,1200,0.00749693251945,45.25,0.0,79.67995977401733,0.00666526358394,2.8498,297.675613434,2.85181,4800.0,1.00725,1.00624,275.942211643,0.0,0.00631178636104,306.0287985801697,-8.14907252789e-10,2.1713576316833496,0.00138889020309,1200,113.96992039680481,17.3192,1.9639506340026855,-0.001388891018,0.15880703926086426,54.75,49.76923394203186
52.359888792037964,5800.0,17.1513,1.86264692559e-09,1869.025472164154,1200,0.00882991900941,65.0,0.0,72.9393208026886,0.0057838090366,2.84207,386.823782734,2.84074,3700.0,1.00197,1.00258,344.323007267,0.0,0.00642741285264,319.5708408355713,1.01863406599e-09,2.083621025085449,0.00154986555572,1200,132.18770956993103,17.1284,2.298552989959717,-0.00154986453708,0.16800904273986816,84.1666666667,49.042689085006714
52.528032064437866,4200.0,17.1155,-2.32830843494e-09,2191.416359424591,1200,0.0159794989419,72.0833333333,0.0,84.30354762077332,0.0105290561198,2.83999,421.283744115,2.83834,3300.0,1.00067,1.00146,357.741517098,0.0,0.00650697527453,318.8089849948883,3.67435859516e-10,2.000758171081543,6.44872852718e-06,1200,121.31206560134888,17.0874,2.262913703918457,-6.44836109132e-06,0.14614439010620117,103.416666667,47.31211829185486
54.638426542282104,4600.0,16.9207,-2.79396825675e-08,2512.362864971161,1200,0.00962540014701,79.3333333333,0.0,74.56634092330933,0.0099174260677,2.82854,445.966296372,2.8276,5100.0,0.995355,0.995842,391.543384853,0.0,0.00109134486411,317.31082797050476,6.40284270048e-10,2.189678907394409,8.10822093626e-05,1200,124.15947556495667,16.9048,2.2104275226593018,-8.10815690784e-05,0.14567971229553223,106.25,50.159485816955566
51.20234775543213,3100.0,16.8864,-2.70083759801e-08,2833.977701187134,1200,0.00692622100996,50.0,0.0,80.41503357887268,0.00660610260881,2.82651,399.130295838,2.82686,5100.0,0.995025,0.994871,275.166616192,0.0,0.00860373862088,318.073367357254,-6.98491930962e-10,2.0791265964508057,0.000749633007217,1200,119.67139887809753,16.8923,2.0948288440704346,-0.000749633705709,0.18797922134399414,82.5833333333,52.099360942840576
51.51888108253479,3800.0,16.0395,9.31321852971e-10,3154.0805373191833,1200,0.0108572378408,83.25,0.0,75.00374484062195,0.00909179649268,2.77505,456.358290041,2.77386,4400.0,0.968773,0.969329,374.647973659,0.0,0.000490374863148,316.02055048942566,-1.16415321827e-10,2.301201581954956,1.11887929961e-05,1200,121.39827060699463,16.0204,2.148416757583618,-1.11889094114e-05,0.2470710277557373,107.333333333,53.87093925476074
51.935084104537964,3300.0,16.013,4.4237791208e-09,3463.570102930069,1200,0.0113365839855,71.1666666667,0.0,75.07944226264954,0.00830256072994,2.7734,509.934527388,2.77234,5200.0,0.968117,0.968586,341.519114481,0.0,0.00689524970949,305.6016743183136,0.0,2.074509382247925,0.00101969251409,1200,115.07019376754761,15.9961,2.0989863872528076,-0.00101969251409,0.19258809089660645,133.666666667,49.999197483062744
