Time,LossBefore,LossAfter,Perplexity,ExplainedVariance,MeanKL,AveragePolicyStd,NumTrajs,StdReturn,MaxReturn,Entropy,TotalExecTime,MaxKL,ItrTime,AverageReturn,MinReturn
479.5764455795288,-0.0189904,-0.0248023,14.4188,0.806106861383,0.00510377,0.918834,200,884.747280301,2800.0,2.66853,15.779999256134033,0.0407821,15.859703779220581,1516.5,0.0
495.76576828956604,-0.0188455,-0.0305914,14.2825,0.817981418549,0.0127947,0.914495,200,800.964418685,2800.0,2.65904,16.087504863739014,0.0475572,16.179171800613403,1634.0,0.0
513.3774778842926,-0.0361979,-0.0473724,14.1486,0.828134564091,0.0128512,0.910193,200,659.271567717,2900.0,2.64961,17.546862363815308,0.0589708,17.60660982131958,1819.0,0.0
529.2925472259521,-0.0620206,-0.0737933,13.8948,0.863406402507,0.0121787,0.901983,200,625.979033195,3000.0,2.63152,15.828596830368042,0.043795,15.900381088256836,1900.5,0.0
545.2844908237457,-0.0619336,-0.0746964,13.4705,0.897576033137,0.00935725,0.888118,200,572.878477515,2900.0,2.60051,15.922329425811768,0.0432883,15.976292371749878,2060.5,0.0
562.0032358169556,-0.0437124,-0.058188,13.0598,0.910583474611,0.0199393,0.874496,200,462.302930988,2900.0,2.56954,16.645649671554565,0.0753363,16.704411268234253,2126.0,500.0
578.3583629131317,-0.0298514,-0.0385025,12.7775,0.946370066654,0.0106949,0.865028,200,368.694995898,2900.0,2.54768,16.262094497680664,0.0472014,16.347956895828247,2258.0,1100.0
594.9956438541412,-0.0459793,-0.0559063,12.5882,0.944479914519,0.0133014,0.858602,200,384.499349804,2900.0,2.53276,16.55051064491272,0.0646009,16.621123790740967,2289.5,900.0
610.918897151947,-0.0513815,-0.0589664,12.3021,0.956445371576,0.00836758,0.848852,200,386.051809994,2900.0,2.50977,15.828050374984741,0.0537818,15.908882856369019,2342.0,600.0
626.9998745918274,-0.0213051,-0.0300009,11.99,0.972772649451,0.0147021,0.838108,200,267.756885999,3000.0,2.48408,15.987121105194092,0.0594721,16.074044942855835,2427.5,1600.0
642.8580586910248,-0.033507,-0.0408612,11.863,0.974255707504,0.0131777,0.833709,200,274.109467184,2900.0,2.47342,15.77560043334961,0.0546935,15.845141649246216,2458.0,1300.0
659.0091478824615,-0.0477356,-0.0551656,11.6659,0.981201576665,0.0119474,0.826728,200,225.856148909,2900.0,2.45667,16.02110195159912,0.0612374,16.119990825653076,2483.0,1800.0
