1Perplexity,0ExplainedVariance,ComputeUpdatedDistTime,dLoss,1ExplainedVariance,0Perplexity,LossBefore,LossAfter,1MinReturn,1PolicyExecTime,0StdReturn,0ProcessExecTime,0EnvExecTime,ItrTime,1StdReturn,0AveragePolicyStd,Time,0MinReturn,0PolicyExecTime,1MaxReturn,1Entropy,1ProcessExecTime,0MaxReturn,1AverageReturn,0AverageReturn,1AveragePolicyStd,MeanKL,1EnvExecTime,MeanKLBefore,0NumTrajs,1NumTrajs,0Entropy
17.1208,0.0552903091939,0.6938052177429199,0.00505062003504,0.187297235593,17.0795,9.02218744159e-10,-0.00505061913282,0.0,48.138641595840454,117.033725298,0.783674955368042,18.25524091720581,126.63131213188171,216.072443917,1.0,126.63131070137024,0.0,20.507144689559937,2200.0,2.84029,1.3389947414398193,1600.0,41.6428571429,14.5,1.00122,0.0093006901443,32.06322407722473,6.83941570045e-10,1400,1400,2.83788
17.209,0.0507982938721,0.08779072761535645,0.00489799355273,0.140359566753,17.2481,-1.83354131877e-09,-0.00489799538627,0.0,48.247020959854126,101.308178045,0.8404061794281006,19.50913667678833,127.75944662094116,191.661691743,1.00497,256.3559248447418,0.0,21.654526948928833,2000.0,2.84543,1.3522300720214844,1300.0,38.2857142857,12.2857142857,1.00388,0.00769591191784,32.1949028968811,-1.16415321827e-09,1400,1400,2.8477
16.9743,0.0543021875127,0.10493874549865723,0.00607358105481,0.201380141822,16.9763,-1.86264514923e-09,-0.00607358291745,0.0,48.26578187942505,122.564414551,0.678800106048584,15.763052463531494,120.75849103927612,275.543609275,0.996976,379.13683223724365,0.0,18.61807870864868,1900.0,2.8317,1.3511943817138672,1500.0,80.0714285714,18.5,0.996932,0.00857550650835,32.10826396942139,1.6589176699e-09,1400,1400,2.83182
16.863,0.0431959690141,0.09276008605957031,0.00840931250423,0.238880392283,16.7724,5.09317032993e-10,-0.00840931199491,0.0,47.291465759277344,122.717507857,0.7223386764526367,16.7209575176239,120.6956090927124,338.428872942,0.990983,502.09333181381226,0.0,19.215652227401733,1900.0,2.82512,1.3399159908294678,1400.0,117.571428571,18.6428571429,0.99368,0.00776565168053,31.476155996322632,-1.74622316607e-10,1400,1400,2.81974
16.4094,0.0748955028874,0.08263134956359863,0.0088309874991,0.291393446383,16.5123,5.82076609135e-10,-0.00883098691702,0.0,48.15002512931824,174.588437329,0.8200483322143555,18.90791964530945,126.36306715011597,402.046194929,0.983262,630.6711978912354,0.0,21.014983654022217,2300.0,2.79785,1.3493103981018066,1700.0,154.0,32.1428571429,0.980207,0.00835789367557,32.114296674728394,-1.30385267028e-08,1400,1400,2.80411
16.2912,0.0633244886288,0.08562731742858887,0.00704169092933,0.395910625263,16.2974,-8.73114913702e-10,-0.00704169180244,0.0,47.77816653251648,187.794883762,0.7260558605194092,16.79196262359619,121.88621640205383,664.770172806,0.976841,754.7469086647034,0.0,19.40234136581421,2600.0,2.79063,1.3457400798797607,1700.0,357.214285714,37.2857142857,0.976659,0.00850393343717,31.91669249534607,2.79396838998e-09,1400,1400,2.79101
15.8852,0.0543728869731,0.11331844329833984,0.00609500368591,0.466417703362,15.9552,-1.04773789644e-09,-0.00609500473365,0.0,48.48661708831787,151.501060817,0.8434484004974365,19.52061676979065,128.3113293647766,722.0115007,0.966533,885.0902934074402,0.0,21.532920598983765,2700.0,2.76539,1.36619234085083,2000.0,431.5,26.0,0.964431,0.00658874353394,32.469945669174194,-4.65662119975e-10,1400,1400,2.76979
15.9367,0.0791290435851,0.07712984085083008,0.00699129211716,0.479002850985,15.9247,6.98491930962e-10,-0.00699129141867,0.0,48.39393186569214,203.932711992,0.7710905075073242,17.911276817321777,125.07671427726746,727.42873976,0.965604,1012.3868441581726,0.0,20.23739457130432,2800.0,2.76863,1.366107702255249,1900.0,476.0,40.1428571429,0.965976,0.00735551957041,32.432713747024536,-1.86264603741e-09,1400,1400,2.76787
15.7275,0.0766109029426,0.1006615161895752,0.00748802442104,0.404734703455,15.7179,-1.39698386192e-09,-0.00748802581802,0.0,48.09537887573242,200.336133352,0.8430995941162109,19.280666828155518,126.88325667381287,722.976430022,0.959312,1141.6517627239227,0.0,21.337390184402466,2900.0,2.75541,1.3458442687988281,2000.0,415.285714286,36.0714285714,0.959626,0.00987433455884,31.960528135299683,-9.31322907682e-10,1400,1400,2.7548
15.4071,0.0512805094712,0.08389925956726074,0.0073809340829,0.409937312276,15.3729,-8.14907252789e-10,-0.00738093489781,0.0,43.99819231033325,169.910525674,0.8183302879333496,18.63047504425049,117.92144322395325,701.500941859,0.948728,1261.7882466316223,0.0,20.33821964263916,2700.0,2.73483,1.2386739253997803,1700.0,375.0,26.3571428571,0.949791,0.00964266434312,29.043510675430298,-3.72528696779e-09,1400,1400,2.73261
