0MinReturn,1AveragePolicyStd,1Entropy,0EnvExecTime,1EnvExecTime,1NumTrajs,LossAfter,0StdReturn,0AveragePolicyStd,1AverageReturn,0PolicyExecTime,0Perplexity,1ProcessExecTime,0Entropy,LossBefore,0AverageReturn,0ExplainedVariance,ItrTime,1Perplexity,MeanKL,Time,1StdReturn,0MaxReturn,dLoss,0NumTrajs,MeanKLBefore,0ProcessExecTime,1ExplainedVariance,1MaxReturn,ComputeUpdatedDistTime,1MinReturn,1PolicyExecTime
0.0,1.00257,2.84278,22.395360231399536,20.873005151748657,400,-0.0101248659194,161.012421881,1.0,100.0,2.5296926498413086,17.0795,0.3106400966644287,2.83788,-3.07336467387e-09,55.0,0.0536040157055,67.58647108078003,17.1634,0.00657716626301,67.58646821975708,192.093727123,1600.0,0.010124862846,400,4.56056969966e-09,0.36209750175476074,0.0733968825221,1200.0,5.010695219039917,0.0,8.924518823623657
0.0,1.00159,2.84083,21.51104712486267,21.047255039215088,400,-0.0118471607566,177.653982505,1.0021,183.5,1.8460397720336914,17.1514,0.2843444347381592,2.84208,5.35510524813e-10,96.25,0.0838055606947,57.2770881652832,17.13,0.00995123945177,125.67272877693176,300.379343498,1300.0,0.0118471612921,400,4.41941683249e-09,0.31754159927368164,0.104533690349,1700.0,0.29797840118408203,0.0,9.218496561050415
0.0,0.998594,2.8348,22.12841272354126,21.91126275062561,400,-0.00993788056076,238.406690342,0.999594,243.0,1.7820966243743896,17.0652,0.3080308437347412,2.83704,-3.43425232696e-10,178.5,0.0953948046042,59.38436412811279,17.027,0.00952700991184,185.06602382659912,308.62760732,1500.0,0.00993788021733,400,6.98490015827e-11,0.3329775333404541,0.112455035643,2100.0,0.31444764137268066,0.0,9.808093547821045
0.0,0.999443,2.83634,22.118675708770752,22.676032304763794,400,-0.00920160580426,267.689652396,0.995322,325.25,2.2982959747314453,16.9181,0.30843210220336914,2.82838,-8.84756379271e-10,193.5,0.0835164076526,60.934542655944824,17.0532,0.00669931806624,246.7061207294464,488.095725755,2200.0,0.00920160491951,400,4.42378089716e-09,0.34072017669677734,0.0929086188641,3900.0,0.3354153633117676,0.0,9.85647988319397
0.0,0.999489,2.83646,22.01722526550293,22.54708456993103,400,-0.00898026581854,314.750297855,1.00244,351.0,2.222555160522461,17.1606,0.32283568382263184,2.84262,-4.19095202986e-10,263.5,0.10705091591,60.85353112220764,17.0552,0.00714201852679,307.5680148601532,405.95443094,1900.0,0.00898026539944,400,4.49363124488e-09,0.34798407554626465,0.130336719584,2700.0,0.40737366676330566,0.0,9.879964113235474
0.0,0.998207,2.83379,23.12687873840332,23.384103059768677,400,-0.0104905869812,260.666333653,0.999802,378.75,2.970151662826538,17.0645,0.3184199333190918,2.837,-1.7462298274e-10,248.25,0.115648176221,64.58842706680298,17.0098,0.00983987655491,372.9445779323578,381.344250645,1700.0,0.0104905868066,400,-5.58793677996e-10,0.3545701503753662,0.124150679787,2400.0,0.33426976203918457,0.0,10.934225082397461
0.0,1.00929,2.85532,22.688661336898804,23.219914436340332,400,-0.00857525318861,384.954218057,1.00776,543.75,2.7972617149353027,17.3341,0.3172633647918701,2.85268,-8.20728041084e-10,314.5,0.105993902792,63.8892982006073,17.3799,0.00665849354118,436.839209318161,725.817427112,2600.0,0.00857525236788,400,2.56113641406e-09,0.35859251022338867,0.138577413336,5500.0,0.35740184783935547,0.0,10.926746606826782
0.0,1.00028,2.83778,22.716776847839355,23.410654544830322,400,-0.0107922907919,318.445835269,1.00315,402.25,3.1654880046844482,17.1795,0.3114504814147949,2.84372,-7.45058126306e-10,331.5,0.12496978381,64.40408730506897,17.0778,0.00960487127304,502.1584393978119,369.147582276,2000.0,0.0107922900468,400,-5.35510125133e-09,0.3532898426055908,0.137717413622,1600.0,0.3344767093658447,0.0,11.054918766021729
0.0,0.997893,2.83298,22.477590084075928,23.395416021347046,400,-0.00873248744756,347.277896648,1.00463,659.75,2.9035322666168213,17.2309,0.30796003341674805,2.84671,-1.01281338871e-09,421.75,0.154471409607,64.84959697723389,16.996,0.00665910309181,567.0179014205933,736.719035657,1800.0,0.00873248643475,400,1.58324786614e-09,0.3556334972381592,0.134673650615,4600.0,0.8399620056152344,0.0,11.344970941543579
0.0,0.993852,2.82447,23.09535050392151,23.710829496383667,400,-0.0104369986802,359.120801403,0.999216,711.75,3.476248025894165,17.0408,0.3517746925354004,2.83561,-1.58324842126e-09,388.5,0.13821499047,66.24299955368042,16.852,0.00983162410557,634.1459934711456,757.124122915,2300.0,0.010436997097,400,-1.76951342468e-09,0.3481738567352295,0.137025386164,3900.0,0.34154200553894043,0.0,11.709654092788696
