ExplainedVariance,TotalExecTime,NumTrajs,MeanKL,Entropy,LossBefore,LossAfter,StdReturn,MaxKL,Time,MaxReturn,MinReturn,ItrTime,AveragePolicyStd,AverageReturn,Perplexity
0.994577768614,26.157182931900024,200,0.00364914,2.47744,-0.0272323,-0.0291649,124.473892845,0.0370079,742.901463508606,2900.0,2200.0,26.38318181037903,0.835214,2672.5,11.9107
0.994634089376,24.99376893043518,200,0.00179108,2.46383,-0.0231862,-0.0246636,121.217779224,0.00809751,768.1258931159973,3000.0,2300.0,25.216474056243896,0.8295,2667.5,11.7497
0.994246267896,26.32010793685913,200,0.00630279,2.45223,-0.0166939,-0.0188555,127.584285866,0.0539292,794.632321357727,3000.0,2300.0,26.48973321914673,0.824737,2683.5,11.6142
0.994044439199,26.784945487976074,200,0.0028103,2.44389,-0.00905601,-0.0101237,133.532767514,0.02553,821.5776524543762,3000.0,2300.0,26.93895173072815,0.821338,2663.0,11.5177
0.994504925859,25.48099660873413,200,0.0368966,2.43936,-0.00961268,-0.0177546,118.015888761,0.340745,847.3055067062378,2900.0,2200.0,25.70937490463257,0.819538,2666.5,11.4657
0.994188518021,25.437708854675293,200,0.0116609,2.43455,-0.00288041,-0.00615856,124.168232652,0.129487,872.9300584793091,2900.0,2300.0,25.61325192451477,0.817629,2663.5,11.4107
0.994387725177,25.179641723632812,200,0.0526455,2.43311,-0.0088183,-0.0194036,118.015888761,0.567467,898.2904050350189,2900.0,2300.0,25.34915804862976,0.816964,2666.5,11.3943
0.993910358152,26.161550045013428,200,0.00363015,2.4287,-0.00157562,-0.00329658,125.258732231,0.0495779,924.6817626953125,3000.0,2400.0,26.370316743850708,0.815213,2660.5,11.3441
0.995260959295,24.707361698150635,200,0.014038,2.42791,-0.00857412,-0.0114077,109.085975267,0.0767391,949.5586848258972,3000.0,2400.0,24.863659620285034,0.814833,2674.5,11.3352
0.993396131232,24.042831897735596,200,0.0233612,2.42363,0.00251325,-0.00119671,132.279061079,0.148705,973.8126840591431,2900.0,2300.0,24.251561403274536,0.813057,2648.5,11.2867
0.995166048728,24.476585626602173,200,0.00677254,2.42488,-0.0135827,-0.0151108,117.128134963,0.0501582,998.4996049404144,3000.0,2400.0,24.67244577407837,0.813584,2691.0,11.3009
0.994275181341,26.322888135910034,200,0.0172361,2.41809,-0.00310258,-0.00711744,116.660833187,0.16151,1025.0260646343231,3000.0,2400.0,26.491570949554443,0.810835,2684.5,11.2244
