ExplainedVariance,LossBefore,NumTrajs,MaxKL,LossAfter,MaxReturn,Time,TotalExecTime,AverageReturn,MinReturn,ItrTime,Entropy,StdReturn,MeanKL,AveragePolicyStd,Perplexity
0.994102126529,-0.0172555,200,0.0499607,-0.0202091,2900.0,1018.8756980895996,31.0719313621521,2669.5,2300.0,31.37018895149231,2.52342,118.405025231,0.00176236,0.85459,12.4712
0.993064073556,-0.0205801,200,2.06472,-0.0290614,2900.0,1051.267510175705,32.089266300201416,2663.5,2200.0,32.37754535675049,2.5148,138.628099605,0.0495893,0.85092,12.3641
0.994538410427,-0.0245315,200,1.31507,-0.0287865,3000.0,1085.9338409900665,34.257657289505005,2672.5,2300.0,34.65777373313904,2.50451,128.42799539,0.0277333,0.846514,12.2375
0.995168460288,0.00705744,200,0.677542,-0.00198816,3000.0,1120.36745429039,34.12016701698303,2668.0,2400.0,34.413450717926025,2.49224,117.796434581,0.0270314,0.841329,12.0883
0.993708271859,-0.0071317,200,0.373872,-0.0176416,2900.0,1156.0503332614899,35.392515659332275,2663.0,2200.0,35.66507172584534,2.49577,129.348366824,0.0374041,0.842803,12.1311
0.993857652335,-0.0177183,200,0.792202,-0.022572,2900.0,1192.6418073177338,36.26785087585449,2665.5,2100.0,36.5782949924469,2.4922,129.459453112,0.016354,0.841291,12.0879
0.994312431494,-0.0169039,200,0.599466,-0.0249125,3000.0,1228.378368139267,35.388590574264526,2669.5,2300.0,35.723679304122925,2.48334,126.963577454,0.0297589,0.837589,11.9813
0.994683645113,-0.00728684,200,0.0274554,-0.00999201,3000.0,1262.452130317688,33.722442865371704,2685.0,2200.0,34.05883502960205,2.47489,119.058808998,0.00372313,0.834048,11.8804
0.994826519973,-0.0176853,200,1.56829,-0.0285894,2900.0,1298.2526216506958,35.50688195228577,2682.0,2000.0,35.78799796104431,2.47125,121.967208708,0.051512,0.832533,11.8372
0.994099650911,-0.0143029,200,2.31207,-0.019397,2900.0,1335.0027015209198,36.42352247238159,2665.5,2300.0,36.72501873970032,2.46241,123.124936548,0.0378976,0.828861,11.733
0.994525506935,-0.00525541,200,0.244531,-0.00854183,3000.0,1370.704104423523,35.34053039550781,2672.5,2300.0,35.68669843673706,2.45525,124.874937437,0.00904619,0.825906,11.6494
0.994555663036,-0.00624201,200,2.03076,-0.0215739,3000.0,1405.4956457614899,34.518407583236694,2673.0,2300.0,34.774882793426514,2.45263,121.946709673,0.0971602,0.824822,11.6188
0.994664489516,0.0153594,200,0.721635,0.00911595,3000.0,1441.331978559494,35.55791902542114,2681.0,2300.0,35.823097467422485,2.44951,114.188440746,0.032383,0.823536,11.5826
0.994980963852,0.00855565,200,0.177656,0.0035707,2900.0,1474.9468457698822,33.24063515663147,2681.0,2400.0,33.60970067977905,2.45719,113.30931118,0.016412,0.8267,11.6719
0.994859654603,0.00475918,200,0.0432162,0.00243954,3000.0,1511.673484802246,36.42178463935852,2678.5,2300.0,36.6837055683136,2.46146,117.421250206,0.00283291,0.828453,11.722
0.993970107025,0.00282609,200,1152.29,-1.70387,3000.0,1545.005986213684,32.99516940116882,2677.5,2200.0,33.31639814376831,2.46384,129.783473524,10.2704,0.829436,11.7499
0.994489737519,-0.00832375,200,0.312194,-0.0123673,3000.0,1579.7094826698303,34.42724347114563,2682.0,2300.0,34.6890389919281,2.46526,126.0,0.0190714,0.830017,11.7665
0.995034922953,0.0090049,200,0.21667,0.00454384,3000.0,1616.388910293579,36.339895486831665,2693.0,2300.0,36.66813826560974,2.46109,121.45369488,0.0101027,0.828291,11.7176
0.994943489241,-0.0011294,200,1.17284,-0.00888096,3000.0,1652.3951585292816,35.6131911277771,2691.5,2300.0,35.9860622882843,2.4656,122.383618185,0.062553,0.830161,11.7705
0.99560793715,0.00814277,200,1.52328,-0.00256075,3000.0,1687.076842546463,34.32059955596924,2695.0,2400.0,34.665961503982544,2.46503,114.782402832,0.0571318,0.829924,11.7638
0.994988686857,-0.00425783,200,0.137605,-0.00672379,2900.0,1720.4965455532074,33.12754273414612,2684.0,2200.0,33.40941905975342,2.4691,116.807534004,0.00529833,0.831614,11.8118
0.99481036932,-0.00521562,200,0.415474,-0.0111129,2900.0,1757.5096712112427,36.74310803413391,2682.5,2300.0,36.99864912033081,2.46697,121.423844446,0.0193135,0.83073,11.7867
