MaxKL,StdReturn,MaxReturn,NumTrajs,ExplainedVariance,Perplexity,AverageReturn,TotalExecTime,Entropy,LossAfter,Time,AveragePolicyStd,MeanKL,MinReturn,ItrTime,LossBefore
0.892566,86.0232526704,400.0,20,0.829776015623,15.2117,260.0,4.942019939422607,2.72206,-0.0241667,5.003256559371948,0.947542,0.106125,0.0,5.003258466720581,-0.00332449
0.0636733,66.3324958071,300.0,20,0.846787581205,15.1612,240.0,4.6485371589660645,2.71874,-0.0234252,9.720267057418823,0.945516,0.00892456,100.0,4.714203357696533,-0.0159041
0.293507,47.6969600708,300.0,20,0.920714677084,15.0411,265.0,4.56630277633667,2.71078,-0.00813998,14.317363500595093,0.941949,0.0202968,200.0,4.591985464096069,0.00866156
1.23982,70.0,400.0,20,0.894041507638,15.1064,290.0,4.6290552616119385,2.71512,-0.0110962,18.982653617858887,0.944187,0.0382792,200.0,4.658713340759277,0.00612982
0.370421,58.9491306128,500.0,20,0.926753122632,15.1527,395.0,4.76270318031311,2.71818,0.00191427,23.781254291534424,0.945711,0.0238652,300.0,4.793445110321045,0.00982114
0.253233,76.8114574787,600.0,20,0.919443331764,15.2273,490.0,4.693773984909058,2.72309,-0.00822683,28.514244079589844,0.948487,0.0127705,300.0,4.729127883911133,0.000926353
0.267877,88.7411967465,800.0,20,0.924159438464,15.2344,575.0,4.710867166519165,2.72355,-0.00171519,33.26492166519165,0.94894,0.0284942,400.0,4.746265411376953,0.0118255
