LossBefore,Perplexity,AverageReturn,NumTrajs,MeanKL,Entropy,MaxReturn,MinReturn,TotalExecTime,MaxKL,Time,AveragePolicyStd,StdReturn,ExplainedVariance,LossAfter,ItrTime
-0.0166708,5.67789,4172.5,40,0.353253,1.73658,7900.0,500.0,6.228665351867676,1.47124,6.308399677276611,0.58088,2898.10174942,0.578153741813,-0.0776812,6.3084046840667725
-0.0236594,5.58402,7475.0,40,0.115872,1.71991,8100.0,4800.0,6.196852922439575,0.706346,12.578183889389038,0.576028,553.962995154,0.971665853462,-0.0539934,6.26357889175415
-0.0381774,5.51835,7460.0,40,0.0422453,1.70808,8100.0,6800.0,6.2377028465271,0.122688,18.853245496749878,0.572782,369.323706252,0.987474830943,-0.0570567,6.269230604171753
-0.0340061,5.41401,7627.5,40,0.0623165,1.68899,8300.0,6900.0,6.946677923202515,0.376886,25.873955011367798,0.566747,328.624025293,0.990609264357,-0.053529,7.0168609619140625
-0.0342007,5.32273,7617.5,40,0.164024,1.67199,8200.0,6700.0,5.990723371505737,0.245878,31.921236038208008,0.561923,308.129437088,0.989146541338,-0.0722381,6.0292580127716064
-0.0381567,5.23249,7907.5,40,0.216063,1.65489,8200.0,7300.0,6.196832895278931,0.714505,38.212382793426514,0.556552,240.195233092,0.995156814416,-0.092266,6.26703405380249
-0.0452207,5.13361,8000.0,40,0.00614946,1.63581,8300.0,7300.0,6.171684980392456,0.0845044,44.50474715232849,0.551438,232.379000772,0.99538489774,-0.0556131,6.282425403594971
