ItrTime,NumTrajs,ExplainedVariance,MaxReturn,MeanKL,LossBefore,Perplexity,AverageReturn,MaxKL,Entropy,TotalExecTime,StdReturn,LossAfter,MinReturn,Time,AveragePolicyStd
12.561415433883667,200,0.711431273118,2800.0,0.0103062,-0.0112513,16.0541,654.5,0.51046,2.77596,12.472324132919312,1022.78040165,-0.0199004,0.0,382.6491689682007,0.969647
12.691194772720337,200,0.759956155552,2800.0,0.00678442,0.00434648,15.964,672.5,0.114602,2.77034,12.614382266998291,1020.04595485,-0.000209913,0.0,395.34428787231445,0.966857
12.72452688217163,200,0.772752478978,2900.0,0.00421803,-0.0382724,15.9988,837.0,0.0313958,2.77251,12.665258169174194,1118.27143396,-0.0418286,0.0,408.083060503006,0.967905
12.680112361907959,200,0.701362708764,2800.0,0.00924065,-0.0169597,15.6955,568.5,0.497165,2.75337,12.572813510894775,947.236902786,-0.0225715,0.0,420.76886224746704,0.958694
12.53233551979065,200,0.748065041399,2900.0,0.0248249,-0.00499392,15.563,895.5,0.713406,2.7449,12.448960542678833,1105.13788732,-0.0222505,0.0,433.3047294616699,0.954596
12.423463344573975,200,0.74718241722,2900.0,0.000910356,-0.00198046,15.5242,830.0,0.037807,2.7424,12.36942458152771,1115.30264951,-0.00437096,0.0,445.7377772331238,0.953385
12.592118740081787,200,0.770599674555,2800.0,0.0028297,-0.0111632,15.5088,764.0,0.0243634,2.74141,12.493106603622437,1048.23852247,-0.0141193,0.0,458.3380901813507,0.95291
12.928302764892578,200,0.765573728096,2800.0,0.00660728,-0.00829147,15.4225,928.5,0.147934,2.73583,12.834413766860962,1131.21074518,-0.0134089,0.0,471.27027797698975,0.95026
12.7463219165802,200,0.75433081639,2900.0,0.0161091,-0.0240678,15.3587,946.5,1.26922,2.73168,12.692966222763062,1141.70388017,-0.0363741,0.0,484.0208389759064,0.948302
12.654346466064453,200,0.746747509841,2800.0,0.00856833,-0.00846476,15.175,860.5,0.290283,2.71965,12.55314564704895,1097.81134536,-0.0164259,0.0,496.6825211048126,0.942624
12.75359034538269,200,0.750243488186,2800.0,0.0246318,-0.0203812,15.1109,757.5,0.95302,2.71541,12.699473857879639,1103.78609794,-0.0317472,0.0,509.4400210380554,0.940645
13.404753923416138,200,0.712888817338,2800.0,0.0139937,-0.00724124,14.9577,875.0,0.73963,2.70522,13.33317255973816,1085.48376312,-0.0181359,0.0,522.8592755794525,0.935854
13.245699405670166,200,0.747389443322,2900.0,0.00636424,-0.00778099,14.9036,917.5,0.143745,2.7016,13.18327021598816,1151.3660365,-0.0127036,0.0,536.109715461731,0.934163
13.111907958984375,200,0.739022766563,2900.0,0.0396183,0.000741655,14.8457,907.0,1.01543,2.69771,12.99531888961792,1105.78071967,-0.0216856,0.0,549.2343649864197,0.932355
12.822609186172485,200,0.739679141171,2900.0,0.00713829,-0.00825171,14.8512,932.0,0.24544,2.69808,12.754366636276245,1132.59701571,-0.0130842,0.0,562.0604708194733,0.932543
12.832984447479248,200,0.744232593984,2800.0,0.0246163,-0.00376708,14.7901,1022.0,0.307497,2.69396,12.747302293777466,1165.72552516,-0.015409,0.0,574.9025707244873,0.930607
12.766532897949219,200,0.765972415884,2900.0,0.00950063,-0.00944113,14.7623,1088.5,0.186754,2.69207,12.707381010055542,1182.88534947,-0.0133842,0.0,587.6778111457825,0.929731
12.714837312698364,200,0.779246667343,2900.0,0.00239323,-0.0105344,14.6927,987.5,0.0416382,2.68735,12.651461124420166,1141.39990801,-0.0131355,0.0,600.3967797756195,0.927545
12.605054140090942,200,0.764777844809,3000.0,0.00396231,-0.0141504,14.6156,1036.5,0.0899554,2.68209,12.537264585494995,1183.26571403,-0.0183694,0.0,613.0056550502777,0.925117
12.591214895248413,200,0.747803488623,2900.0,0.0187437,0.00542624,14.5125,1024.0,0.71418,2.67501,12.535521030426025,1119.87677894,-0.00754121,0.0,625.6191909313202,0.921866
12.499860286712646,200,0.739241870467,2900.0,0.00470065,-0.011439,14.5519,998.0,0.0641875,2.67772,12.438151836395264,1124.67595333,-0.0149717,0.0,638.1338984966278,0.923124
