AverageReturn,Time,StdReturn,LossAfter,AveragePolicyStd,Perplexity,LossBefore,MaxKL,ItrTime,TotalExecTime,NumTrajs,MeanKL,ExplainedVariance,Entropy,MaxReturn,MinReturn
759.0,1033.5043897628784,992.581986538,0.0010216,0.972246,16.1446,0.0135946,0.655994,33.42906355857849,33.11764144897461,200,0.0109138,0.733165199222,2.78158,2800.0,0.0
912.0,1069.7086808681488,1035.35307987,-0.0221175,0.975558,16.2547,-0.0158872,0.232797,36.18516683578491,35.83929705619812,200,0.0107248,0.768494122369,2.78838,2800.0,0.0
825.5,1105.1125812530518,968.503871959,-0.0334738,0.971693,16.1261,-0.0209665,0.807694,35.38819766044617,35.139270305633545,200,0.0215632,0.736099135379,2.78044,2800.0,0.0
1072.5,1140.4690082073212,1069.71666809,-0.0333533,0.966615,15.9579,-0.0258622,0.084844,35.319904804229736,35.01785969734192,200,0.0108235,0.768727531481,2.76995,2900.0,0.0
1123.5,1172.9957180023193,1044.02957334,-0.0255999,0.960387,15.7529,-0.0172281,0.599318,32.51149892807007,32.25972938537598,200,0.0156009,0.717471937344,2.75702,2900.0,0.0
1244.5,1204.9129047393799,1017.825992,-0.0172475,0.956252,15.6178,-0.00617923,1.48844,31.89441180229187,31.600698709487915,200,0.0269716,0.74563508992,2.74841,2800.0,0.0
1386.5,1238.4980413913727,904.747340422,-0.0378887,0.954776,15.5696,-0.01514,0.734953,33.56886553764343,33.3223032951355,200,0.0473973,0.750542725797,2.74532,2900.0,0.0
1698.5,1272.1049797534943,864.724088944,-0.0360889,0.95117,15.4522,-0.0244556,0.972894,33.586042165756226,33.3648099899292,200,0.0237993,0.809492486875,2.73775,3000.0,0.0
1931.5,1305.37038230896,689.171785551,-0.0434269,0.945372,15.2644,-0.0272571,0.232659,33.228392601013184,32.98210144042969,200,0.0261969,0.827777961802,2.72552,3000.0,0.0
2047.5,1338.015529870987,647.142758593,-0.0554648,0.938952,15.0578,-0.0266312,1.11196,32.62616181373596,32.329699754714966,200,0.0594701,0.861415427862,2.71189,2800.0,0.0
2213.0,1372.7518067359924,515.87886175,-0.0625921,0.932737,14.8586,-0.0386804,0.738038,34.731805086135864,34.42098259925842,200,0.0565457,0.905037388574,2.69858,2900.0,100.0
2382.0,1405.8965425491333,324.308495109,-0.0447853,0.92379,14.574,-0.036945,0.426981,33.1319694519043,32.78159546852112,200,0.00726975,0.958048081553,2.67924,2900.0,1300.0
2431.0,1438.9603629112244,322.240593346,-0.0291435,0.915283,14.3072,-0.0165819,0.473455,33.042009115219116,32.71533799171448,200,0.029627,0.959909511935,2.66077,3000.0,800.0
2477.0,1472.5478420257568,242.633468425,-0.0476118,0.911517,14.1891,-0.0377299,0.293712,33.57563495635986,33.33019137382507,200,0.0297994,0.976310360085,2.65247,2900.0,1700.0
2493.5,1507.1880810260773,246.389427533,-0.0544591,0.90293,13.9239,-0.0393038,0.917762,34.62551975250244,34.25603747367859,200,0.0335029,0.974916749061,2.63361,2900.0,1100.0
2581.5,1541.237581729889,160.024216917,-0.0389161,0.894082,13.653,-0.0252698,0.791865,34.03854846954346,33.72483515739441,200,0.0461179,0.988983173807,2.61396,2900.0,2000.0
2579.5,1573.525664806366,177.566184844,-0.0413677,0.888454,13.4816,-0.0356383,0.307788,32.27048349380493,31.92495083808899,200,0.014782,0.987912203855,2.60132,2900.0,1900.0
2607.5,1606.5465891361237,156.504792259,-0.0341765,0.880572,13.2435,-0.0143632,4.45904,33.002689599990845,32.623199701309204,200,0.049016,0.990253925523,2.5835,2900.0,2000.0
2618.5,1639.0796656608582,157.821893285,-0.0400581,0.87742,13.1487,-0.030281,0.615513,32.5154914855957,32.16785168647766,200,0.0462012,0.991562530547,2.57632,3000.0,1900.0
2626.5,1672.5920631885529,152.472128601,-0.0336377,0.870805,12.9511,-0.0225079,1.46688,33.499507665634155,33.165348291397095,200,0.0601284,0.991180446122,2.56118,2900.0,2100.0
