Perplexity,StdReturn,LossBefore,ExplainedVariance,LossAfter,Time,TotalExecTime,MeanKL,ItrTime,MaxReturn,Entropy,MaxKL,AveragePolicyStd,NumTrajs,AverageReturn,MinReturn
4.99178,114.924975528,0.00117422,0.995239684076,-0.00765341,403.6096103191376,13.424850225448608,0.151385,13.544193029403687,2900.0,1.60779,2.09102,0.540644,200,2681.5,2400.0
4.99471,116.308856069,-0.0185012,0.994367730204,-0.0340201,417.16874289512634,13.493092060089111,0.197443,13.555792808532715,2900.0,1.60838,2.77563,0.540794,200,2666.5,2300.0
4.94872,121.941584375,-0.0147358,0.994824960599,-0.0228587,430.536278963089,13.312380313873291,0.122641,13.362383365631104,3000.0,1.59913,0.602081,0.538286,200,2680.5,2300.0
4.9124,126.845378315,0.00440415,0.994369804886,-0.0254978,444.09134697914124,13.471520185470581,0.373188,13.549410343170166,2900.0,1.59176,1.76365,0.536303,200,2660.5,2300.0
4.92322,132.932313604,0.00406955,0.994015234807,-0.0105864,457.5263845920563,13.355594635009766,0.171337,13.421016693115234,3000.0,1.59396,2.48921,0.536896,200,2673.0,2400.0
4.93325,113.824426201,-0.0237447,0.994515805517,-0.0361724,470.9170913696289,13.320610046386719,0.146073,13.385353088378906,3100.0,1.596,1.46101,0.537457,200,2688.0,2300.0
4.87503,113.788180406,-0.0151419,0.994731515543,-0.0385081,484.315381526947,13.32919430732727,0.195892,13.383275985717773,2900.0,1.58413,1.1973,0.534271,200,2673.5,2300.0
4.83826,117.897200985,-0.00590529,0.994847858945,-0.019032,497.84715247154236,13.433111429214478,0.204691,13.525131940841675,3000.0,1.57656,5.21033,0.532241,200,2674.5,2400.0
4.824,114.646194878,0.001355,0.995463879836,-0.00511278,511.39001727104187,13.48504900932312,0.0730806,13.539819240570068,3000.0,1.5736,0.820843,0.531456,200,2677.5,2400.0
4.82726,116.43775161,-0.00154621,0.994796646271,-0.0340892,524.8284411430359,13.376681327819824,0.440358,13.424480676651001,2900.0,1.57428,2.58831,0.531636,200,2668.5,2300.0
