AverageReturn,StdReturn,Time,LossAfter,MinReturn,MaxKL,MaxReturn,AveragePolicyStd,LossBefore,MeanKL,NumTrajs,Entropy,ItrTime,ExplainedVariance,Perplexity
1124.5,633.363836985,489.2816438674927,-0.0772868,0.0,0.0276239,2300.0,0.96272,-0.0579431,0.00942364,200,2.76182,12.008254528045654,0.726398708992,15.8286
1314.0,629.367936902,501.5331118106842,-0.0478972,0.0,0.0162392,2600.0,0.948879,-0.0350164,0.00666059,200,2.73285,12.061934232711792,0.752181587459,15.3766
1551.5,518.553517007,513.778299331665,-0.0580174,0.0,0.04121,2600.0,0.940582,-0.0355596,0.0142705,200,2.71534,12.0757155418396,0.810672486156,15.1097
1810.0,451.9955752,526.139251947403,-0.0472063,0.0,0.0225855,2800.0,0.932254,-0.0372312,0.00599367,200,2.69756,12.08927583694458,0.874272646306,14.8435
1884.0,394.77081959,538.2982914447784,-0.0541179,400.0,0.035653,2700.0,0.92361,-0.0372616,0.0131139,200,2.67894,11.972084045410156,0.887530229781,14.5697
2080.5,344.919918242,550.5462119579315,-0.0604367,700.0,0.0573272,2800.0,0.915045,-0.0412373,0.0169953,200,2.66031,12.059540748596191,0.938169638732,14.3008
2185.5,305.842688322,562.7241384983063,-0.0783932,800.0,0.0587199,2700.0,0.90566,-0.0593461,0.0180744,200,2.63969,11.979641437530518,0.947106465436,14.0089
2273.5,255.827578654,574.9183435440063,-0.0716962,1300.0,0.0504756,2800.0,0.892323,-0.0582663,0.0134192,200,2.61002,12.021974086761475,0.969853250459,13.5994
2350.5,228.90991678,587.1398754119873,-0.0661391,1400.0,0.0645828,2900.0,0.879419,-0.0501671,0.0192737,200,2.58089,12.029281616210938,0.975638338252,13.2089
2412.0,205.805733642,599.3611114025116,-0.072371,1700.0,0.0278073,2800.0,0.868458,-0.0637349,0.00893468,200,2.5558,12.032775640487671,0.981195527697,12.8817
2461.0,214.193837446,611.5378415584564,-0.0601615,1300.0,0.0283411,2900.0,0.854739,-0.0519446,0.00991846,200,2.52394,12.000345468521118,0.98113617259,12.4776
2501.0,175.211301005,622.9848973751068,-0.0820833,1900.0,0.0487999,3000.0,0.843729,-0.0705991,0.0151252,200,2.49797,11.24786639213562,0.985801845747,12.1577
2543.0,173.063572135,633.9522740840912,-0.0771966,2000.0,0.0734013,3000.0,0.828973,-0.0631229,0.0227512,200,2.46267,10.792158365249634,0.988900524704,11.7361
2564.0,157.175061635,644.9166679382324,-0.0438992,2000.0,0.0212138,2900.0,0.816012,-0.0387956,0.00793711,200,2.4311,10.792726993560791,0.989950916998,11.3714
2584.0,160.137440969,655.9025735855103,-0.0742698,2000.0,0.0710419,2900.0,0.808117,-0.0620332,0.0225672,200,2.41171,10.783686637878418,0.991182545304,11.153
2606.0,148.20256408,666.2557907104492,-0.0359362,2200.0,0.0164231,2900.0,0.795663,-0.0328928,0.00455015,200,2.38069,10.045385360717773,0.993203729081,10.8124
2626.5,140.170431975,675.9883992671967,-0.0504409,2100.0,0.0430243,2900.0,0.789144,-0.0436256,0.0132943,200,2.36424,9.567619323730469,0.992856860781,10.636
2642.0,132.423562858,685.7527730464935,-0.0171032,2200.0,0.00182883,2900.0,0.78059,-0.0160528,0.000400275,200,2.34243,9.56594467163086,0.993716865716,10.4065
