0AveragePolicyStd,0Entropy,0EnvExecTime,1NumTrajs,Time,MeanKLBefore,1Entropy,0PolicyExecTime,1AverageReturn,dLoss,0StdReturn,MeanKL,ComputeUpdatedDistTime,1ExplainedVariance,1EnvExecTime,1AveragePolicyStd,0Perplexity,0ExplainedVariance,1MaxReturn,0ProcessExecTime,ItrTime,1Perplexity,0MinReturn,LossAfter,0MaxReturn,1MinReturn,0AverageReturn,LossBefore,0NumTrajs,1ProcessExecTime,1PolicyExecTime,1StdReturn
1.0,2.83788,28.118147611618042,400,103.5333924293518,-2.6775517914e-10,2.83608,6.683788061141968,13.25,0.00242747875163,171.73817281,0.00977304391563,5.651365756988525,0.0413592122371,26.19040274620056,0.999111,17.0795,0.0387043453652,3200.0,0.9822163581848145,103.5333981513977,17.0488,0.0,-0.0024274783209,2900.0,0.0,16.0,4.30736696311e-10,400,0.8893253803253174,26.386653661727905,169.409083287
0.999603,2.83708,29.267306089401245,400,197.238507270813,-1.44936973534e-09,2.84071,6.766326904296875,244.0,0.00326865985116,638.444153783,0.00844765920192,0.3584592342376709,0.0823165383346,25.62241506576538,1.00147,17.0659,0.129780713647,14800.0,1.0035109519958496,92.98427367210388,17.1279,0.0,-0.00326866121031,6600.0,0.0,183.75,-1.35914890453e-09,400,0.8418347835540771,24.180707454681396,986.66813063
0.991959,2.82164,27.15019679069519,400,293.27728748321533,-3.25963284142e-10,2.82144,9.991052150726318,277.25,0.00398099987651,664.498118884,0.00877909362316,0.37005138397216797,0.13686150895,26.487886667251587,0.991921,16.8044,0.123768871809,4500.0,0.9116725921630859,96.0338032245636,16.801,0.0,-0.00398099981248,5800.0,0.0,243.5,6.40284283926e-11,400,0.845937967300415,25.433554649353027,611.029817194
0.997291,2.83243,26.17616319656372,400,387.18383288383484,2.50292520043e-09,2.82924,6.044604539871216,503.75,0.00333670806722,818.327410026,0.00717202248052,0.4116847515106201,0.0843188082383,25.482156991958618,0.995731,16.9867,0.0770944106537,6500.0,0.8840439319610596,93.09909176826477,16.9326,0.0,-0.0033367080614,6900.0,0.0,390.5,5.82078829581e-12,400,0.849524974822998,26.085963249206543,957.894011621
0.998253,2.83436,31.44719409942627,400,483.309472322464,-2.22353824242e-09,2.83461,6.900081634521484,762.5,0.00323058216418,1201.07324402,0.00623854296282,0.31328344345092773,0.103018766851,25.739739656448364,0.998424,17.0195,0.0833359167588,12500.0,1.0214250087738037,96.12038660049438,17.0237,0.0,-0.00323058199137,8700.0,0.0,715.75,1.72804048848e-10,400,0.8383500576019287,24.96412968635559,1238.84775094
0.998822,2.83549,26.59937596321106,400,578.4221239089966,5.65779600947e-09,2.83355,6.185333728790283,1149.75,0.00256116387463,1366.58113553,0.00901630707085,0.3734745979309082,0.13258731396,26.553528308868408,0.9979,17.0388,0.0989852564915,8200.0,0.8924226760864258,94.37705492973328,17.0057,0.0,-0.00256116385572,8700.0,0.0,984.0,1.89174509391e-11,400,0.8789846897125244,28.223196744918823,1401.78455459
0.989021,2.81578,30.427833795547485,400,673.8443496227264,-4.40050262895e-09,2.81431,6.955373525619507,1234.5,0.00292139661615,1197.27565748,0.00820604804903,0.8242967128753662,0.0988863509172,25.74951958656311,0.988337,16.7063,0.0824358566714,8700.0,1.0340113639831543,95.41050148010254,16.6817,0.0,-0.00292139686644,7400.0,0.0,1091.0,-2.50292980786e-10,400,0.8783454895019531,24.57467222213745,1288.31663422
0.98735,2.81203,26.83678364753723,400,771.5280923843384,3.18978621294e-09,2.81892,10.903369188308716,1529.5,0.00429248838918,1377.71438894,0.00988112110645,0.30614280700683594,0.102570170366,26.40574336051941,0.990754,16.6437,0.0853101047281,13000.0,0.882713794708252,97.041100025177,16.7587,0.0,-0.00429248902947,9400.0,0.0,1051.75,-6.4028438107e-10,400,0.8852987289428711,25.962895154953003,1747.40657833
0.986607,2.81016,26.193732261657715,400,863.8645873069763,-7.47386597055e-09,2.81039,6.156602144241333,1712.5,0.00414735294908,1477.68566938,0.00913176033646,0.328960657119751,0.119460519866,25.512991666793823,0.986725,16.6126,0.063635550578,11400.0,0.8691229820251465,92.32864594459534,16.6165,0.0,-0.00414735358208,13900.0,0.0,1159.75,-6.33008312434e-10,400,0.8489584922790527,27.200936794281006,1819.66858246
0.98666,2.81035,31.2636935710907,400,960.3962426185608,-2.39815522995e-09,2.80944,6.802369594573975,2304.25,0.00456897695258,1529.08436654,0.00707938242704,0.3885681629180908,0.148648933825,25.563253164291382,0.986176,16.6157,0.0896078684796,10000.0,1.0125048160552979,95.60693693161011,16.6006,0.0,-0.00456897635013,11000.0,0.0,1301.0,6.02449257148e-10,400,0.8529291152954102,24.748096466064453,1973.00707994
0.981836,2.80026,26.042070388793945,400,1055.3200228214264,1.81608439398e-09,2.80379,6.039815425872803,2239.75,0.00441846107715,1444.515295,0.00989397056401,0.36049818992614746,0.128993869184,26.732877492904663,0.983591,16.449,0.100435983285,15300.0,0.9534170627593994,94.91761469841003,16.5072,0.0,-0.00441846065223,7200.0,0.0,1199.25,4.24915991282e-10,400,0.8525223731994629,29.33653426170349,2344.32185024
0.994904,2.8272,29.451040983200073,400,1149.0297865867615,-5.5878951466e-10,2.82777,6.6445581912994385,2669.0,0.0050785757936,1917.6229426,0.00965865049511,0.3722107410430908,0.105173306037,25.334375619888306,0.995218,16.898,0.0676269097857,12500.0,1.0085718631744385,92.64018321037292,16.9077,0.0,-0.00507857557386,10500.0,0.0,1516.5,2.19733897744e-10,400,0.8154830932617188,24.180848598480225,2607.0364401
