TotalExecTime,AverageReturn,ExplainedVariance,ItrTime,StdReturn,LossBefore,MaxKL,MeanKL,MinReturn,NumTrajs,Entropy,Time,LossAfter,Perplexity,AveragePolicyStd,MaxReturn
37.59150314331055,2590.0,0.988122433691,38.02136015892029,184.932420089,-0.0440699,0.254076,0.0181695,1800.0,200,2.6376,1071.0783340930939,-0.0516837,13.9796,0.904733,3000.0
37.666932344436646,2618.0,0.989376891917,38.0869243144989,166.661333248,-0.0298157,0.976956,0.081704,2000.0,200,2.61557,1109.1784665584564,-0.0470554,13.675,0.894803,2900.0
37.63374996185303,2642.0,0.992120586275,38.063016414642334,137.244307714,-0.0213996,0.361419,0.035595,2200.0,200,2.60066,1147.255235671997,-0.0291244,13.4726,0.888155,3000.0
37.790295362472534,2643.5,0.993193566547,38.219640016555786,137.323523112,-0.0103398,0.741738,0.0134986,2100.0,200,2.58996,1185.4911170005798,-0.0138359,13.3292,0.883433,2900.0
37.54322910308838,2665.0,0.993667842748,37.98142766952515,134.443296597,-0.0162617,0.067741,0.00397537,2200.0,200,2.58479,1223.4872288703918,-0.0207051,13.2605,0.881192,3000.0
36.952388763427734,2647.0,0.991875321221,37.3913471698761,146.938762755,-0.0249265,1.65362,0.0495239,2000.0,200,2.57666,1260.8884603977203,-0.0327172,13.1531,0.877609,2900.0
36.98523664474487,2643.5,0.993237502826,37.42328405380249,131.748814036,-0.0247659,0.0729468,0.00389605,2100.0,200,2.56419,1298.3268954753876,-0.0283961,12.9902,0.872191,2900.0
37.09457206726074,2657.0,0.993706921159,37.527925968170166,136.934290811,-0.0120708,0.112231,0.00721481,2200.0,200,2.55181,1335.8673236370087,-0.0153707,12.8303,0.866798,3000.0
37.15223670005798,2648.0,0.992801733284,37.590900182724,135.262707351,-0.0296864,4.02721,0.0839189,2100.0,200,2.54578,1373.4727776050568,-0.0434184,12.7531,0.864194,2900.0
37.28248906135559,2663.5,0.994564135396,37.70594620704651,124.970996635,-0.0355292,1.10577,0.0382288,2300.0,200,2.53093,1411.1923458576202,-0.0433222,12.5652,0.857808,3000.0
37.170496463775635,2672.0,0.99358826496,37.60010552406311,131.590273197,-0.0423418,4.64237,0.122004,2200.0,200,2.51317,1448.804355621338,-0.0622043,12.344,0.850245,2900.0
37.14173889160156,2644.5,0.992696335424,37.470463275909424,140.604943014,-0.0250652,1.15285,0.0297447,2200.0,200,2.492,1486.2946972846985,-0.031693,12.0854,0.841259,2900.0
38.283411264419556,2677.0,0.994291467608,38.69361233711243,130.656036983,-0.023777,0.380138,0.0222642,2200.0,200,2.47947,1525.0032320022583,-0.0287219,11.9349,0.835958,3000.0
38.28490972518921,2666.0,0.994374274603,38.705864906311035,125.87295182,0.00104648,0.28808,0.0190355,2300.0,200,2.46758,1563.7237694263458,-0.00423613,11.7938,0.831029,3000.0
37.03990030288696,2659.5,0.993449853288,37.45568490028381,134.200409835,-0.0165569,0.558403,0.0331196,2100.0,200,2.4681,1601.196579694748,-0.025969,11.8,0.831245,3000.0
36.957003116607666,2652.0,0.993405233994,37.384339809417725,123.27205685,-0.0285903,0.529348,0.0262836,2300.0,200,2.45982,1638.5953123569489,-0.0360475,11.7027,0.827822,2900.0
38.050132036209106,2664.5,0.994377985046,38.47312927246094,115.714087301,-0.0248265,1.36192,0.0989046,2300.0,200,2.44553,1677.0861403942108,-0.0388936,11.5366,0.821963,2900.0
37.256906032562256,2670.0,0.995160997236,37.68023633956909,115.325625947,-0.00599816,1.67839,0.0376178,2300.0,200,2.43311,1714.7843565940857,-0.0106522,11.3943,0.816908,2900.0
37.06942009925842,2664.0,0.993779842556,37.49374723434448,130.399386502,-0.015983,0.452693,0.0175361,2200.0,200,2.43011,1752.2883818149567,-0.0209759,11.3602,0.815784,2900.0
37.21445608139038,2666.5,0.994119744053,37.64361763000488,130.490421104,-0.0158758,1.44572,0.0826131,2300.0,200,2.42212,1789.9459235668182,-0.0277679,11.2697,0.812567,2900.0
37.515525341033936,2670.5,0.994471069547,37.94129180908203,114.803092293,-0.00978002,1.41526,0.0649633,2300.0,200,2.41418,1827.9011459350586,-0.0186103,11.1806,0.809236,2900.0
