AveragePolicyStd,NumTrajs,MinReturn,StdReturn,MeanKL,Time,Perplexity,TotalExecTime,LossBefore,AverageReturn,ItrTime,LossAfter,MaxReturn,Entropy,ExplainedVariance,MaxKL
1.00326,20,0.0,2965.82197713,0.061324,8.615087032318115,17.1557,8.530133247375488,0.00865876,1170.0,8.615087985992432,-0.00728371,10000.0,2.84233,0.555060183026,0.269139
1.00735,20,0.0,0.0,0.0,17.229238986968994,17.3049,8.531708240509033,-0.0,0.0,8.610126733779907,-0.0,0.0,2.85099,1,0.0
1.00735,20,0.0,4814.97663546,0.00927703,25.70744562149048,17.3049,8.421006917953491,0.0199136,1600.0,8.472808122634888,0.0126861,17200.0,2.85099,0.777566057372,0.125992
1.01244,20,0.0,6922.95276598,0.0196697,34.11544418334961,17.478,8.349300861358643,0.00246489,2235.0,8.393529415130615,-0.0076015,27800.0,2.86095,0.773276803082,0.125808
1.01303,20,0.0,11879.1361218,0.0297233,42.706050157547,17.4996,8.524028539657593,-0.00127008,15725.0,8.583153009414673,-0.0128398,30000.0,2.86218,0.817183752436,0.081781
1.01293,20,0.0,10843.7020892,0.0250396,51.04631543159485,17.4885,8.265308141708374,0.00331174,6925.0,8.336225748062134,-0.00426463,28800.0,2.86154,0.795099356499,0.102314
1.01365,20,0.0,14833.5295867,0.00503689,60.318233489990234,17.5175,9.199423551559448,-0.0118187,14620.0,9.26624345779419,-0.014717,34800.0,2.8632,0.862271137089,0.024077
