StdReturn,Time,LossBefore,AveragePolicyStd,LossAfter,ExplainedVariance,MaxKL,Perplexity,NumTrajs,AverageReturn,MaxReturn,Entropy,TotalExecTime,ItrTime,MinReturn,MeanKL
38.4057287393,25.19762921333313,0.00247029,0.870797,-0.000123093,0.916964914841,0.0829966,12.9461,20,395.0,500.0,2.5608,25.05903458595276,25.19763684272766,300.0,0.00571974
53.8516480713,50.197744369506836,0.00780595,0.871764,0.0054864,0.904525353419,0.234551,12.9782,20,390.0,500.0,2.56327,24.898624181747437,24.99658489227295,300.0,0.0174294
44.72135955,74.87975788116455,0.000434386,0.873439,-0.00348845,0.911184579557,0.11345,13.0289,20,400.0,500.0,2.56717,24.592565536499023,24.66718363761902,300.0,0.0129809
126.885775404,100.79944491386414,0.000972606,0.873545,-0.00712355,0.815776403211,0.193048,13.0317,20,370.0,500.0,2.56739,25.6629478931427,25.885939836502075,0.0,0.0207794
78.1024967591,127.50424075126648,0.00230493,0.873734,-0.00607149,0.900823885431,0.309019,13.0381,20,470.0,700.0,2.56787,26.628121852874756,26.693654775619507,400.0,0.0311826
106.183802908,154.74053835868835,0.0053512,0.874224,0.00181006,0.891547245043,0.0606422,13.0531,20,565.0,900.0,2.56903,27.035210609436035,27.226911783218384,400.0,0.00625037
141.421356237,182.07534432411194,4.86299e-05,0.875402,-0.00856772,0.888436468637,0.608055,13.0881,20,700.0,1000.0,2.5717,27.242948532104492,27.31483745574951,400.0,0.0670648
