Time,NumTrajs,ItrTime,MaxReturn,Perplexity,MinReturn,LossAfter,StdReturn,ExplainedVariance,Entropy,MaxKL,AveragePolicyStd,AverageReturn,LossBefore,MeanKL
537.0771460533142,200,16.620843172073364,3000.0,11.1353,2200.0,0.00299134,137.109445335,0.99302480161,2.41012,0.0108034,0.80771,2649.0,0.0042771,0.00274702
553.6535887718201,200,16.349352836608887,3000.0,11.1592,2200.0,-0.0172048,123.527324912,0.994942108533,2.41226,0.130398,0.80854,2671.0,-0.00938779,0.0355041
570.5066640377045,200,16.652282238006592,3000.0,11.1069,2300.0,-0.0392628,123.732574531,0.994526088043,2.40757,0.00945127,0.80669,2659.5,-0.0371253,0.00333322
587.0558969974518,200,16.337738513946533,3000.0,10.9026,2400.0,-0.0070084,118.6423196,0.994923909701,2.38901,0.0608501,0.799321,2682.0,-0.00345276,0.013443
603.8455638885498,200,16.493728399276733,3000.0,10.8838,2400.0,-0.0181814,123.287266171,0.994548302584,2.38728,0.0166418,0.798609,2649.5,-0.0166012,0.00334386
620.7425298690796,200,16.669652700424194,2900.0,10.7939,2100.0,-0.00254189,133.03289067,0.993940013492,2.37898,0.0481146,0.795312,2676.5,0.000852592,0.0126887
637.7931277751923,200,16.854605436325073,2900.0,10.7985,2300.0,-0.0105327,132.529242056,0.994403999951,2.3794,0.0157341,0.795528,2656.0,-0.00914724,0.00458791
655.9516136646271,200,17.965285539627075,3000.0,10.7492,2300.0,-0.00668433,113.215502472,0.994773441957,2.37483,0.0533948,0.793694,2663.5,-0.00257954,0.0114989
672.6591694355011,200,16.454612970352173,3000.0,10.7353,2400.0,-0.0145014,115.515150521,0.995520163128,2.37354,0.0348669,0.793218,2677.5,-0.0118185,0.00782132
689.5629160404205,200,16.687180042266846,2900.0,10.6721,2400.0,-0.0101453,117.366945943,0.994931839473,2.36763,0.245355,0.790908,2675.0,-0.00173237,0.0441683
706.4041602611542,200,16.63403034210205,2900.0,10.6629,2200.0,0.00400415,122.356037857,0.994029962818,2.36677,0.0100345,0.790589,2673.0,0.00490322,0.00255813
723.0863845348358,200,16.4913969039917,3000.0,10.689,2400.0,0.00128123,122.376468326,0.994783446925,2.36922,0.147532,0.791419,2682.0,0.00755835,0.0360725
740.3177399635315,200,17.044352054595947,3000.0,10.7295,2400.0,-0.00898623,107.121426428,0.995368132573,2.373,0.0540365,0.792943,2675.0,-0.00642859,0.00643368
757.3147780895233,200,16.797298192977905,3000.0,10.6951,2300.0,-0.0082369,126.269552941,0.995071389442,2.36978,0.0456875,0.791599,2684.0,-0.00650518,0.00880746
774.1974189281464,200,16.677194833755493,2900.0,10.6603,2400.0,-0.0137204,110.652609549,0.995355710637,2.36653,0.0120801,0.790302,2684.0,-0.0129654,0.00173189
790.9750025272369,200,16.575337648391724,3000.0,10.5914,2300.0,-0.0115317,124.473892845,0.994647882251,2.36005,0.0601114,0.78769,2672.5,-0.00774439,0.013365
808.1983752250671,200,16.919022798538208,3000.0,10.5505,2400.0,-0.00438092,114.455231423,0.995157163597,2.35617,0.020571,0.786252,2680.0,-0.00307899,0.00406647
825.0781714916229,200,16.672542333602905,3000.0,10.5343,2200.0,-0.0263392,127.866140944,0.994094228287,2.35463,0.044248,0.785773,2675.5,-0.0234328,0.0131665
841.931850194931,200,16.65111494064331,3000.0,10.4116,2300.0,0.0145014,113.771701227,0.995001260742,2.34292,0.0293697,0.781238,2684.0,0.0163573,0.00548677
