MeanKL,1Perplexity,0Perplexity,LossBefore,0ExplainedVariance,0EnvExecTime,ComputeUpdatedDistTime,0Entropy,Time,1PolicyExecTime,0NumTrajs,1StdReturn,0PolicyExecTime,0ProcessExecTime,1ExplainedVariance,0AveragePolicyStd,1EnvExecTime,dLoss,0MinReturn,1MaxReturn,LossAfter,ItrTime,0AverageReturn,1AveragePolicyStd,0MaxReturn,1NumTrajs,1AverageReturn,1Entropy,0StdReturn,1ProcessExecTime,MeanKLBefore,1MinReturn
0.00660430360585,17.112,17.0795,1.7258572349e-09,0.0450439813054,17.277307987213135,4.686036109924316,2.83788,72.6998918056488,12.562635660171509,400,178.846127998,1.970346450805664,0.2731306552886963,0.0701553902035,1.0,28.929288387298584,0.00805330728472,0.0,1700.0,-0.00805330555886,72.69990301132202,42.75,1.00103,700.0,400,93.75,2.83978,104.868667866,0.39977240562438965,3.26544835616e-09,0.0
0.00653289584443,17.2718,17.1363,2.79396811242e-10,0.0285591013516,17.280856370925903,0.29755091667175293,2.8412,137.07455325126648,12.6990327835083,400,117.396496966,1.6372489929199219,0.29018378257751465,0.0291455943677,1.00166,28.045346975326538,0.00676878942177,0.0,1300.0,-0.00676878914237,63.60537600517273,41.0,1.00573,2400.0,400,41.75,2.84907,157.69908053,0.39508581161499023,1.51339896171e-09,0.0
0.00795272924006,17.375,17.1664,1.11176645667e-09,0.053493118593,20.911144018173218,0.2887418270111084,2.84296,204.0710210800171,12.326586961746216,400,221.088076341,2.040827989578247,0.32648658752441406,0.0299081785063,1.00254,27.794987440109253,0.00847132242634,0.0,2000.0,-0.00847132131457,66.99123883247375,65.5,1.0087,1100.0,400,122.25,2.85503,138.599242422,0.37415027618408203,-4.33646984987e-09,0.0
0.00815742276609,17.1646,17.0266,7.42147676647e-10,0.0293476125768,19.207871198654175,0.2801361083984375,2.83478,269.179842710495,12.09157419204712,400,179.177112099,1.8901159763336182,0.29606175422668457,0.0281272540348,0.998463,27.37462830543518,0.00911823920615,0.0,1300.0,-0.009118238464,64.3620777130127,49.25,1.00268,2400.0,400,80.75,2.84285,163.399625153,0.3782837390899658,-6.65895782959e-09,0.0
0.00660229660571,17.0903,16.94,2.13622142198e-09,0.0720141105613,18.76395535469055,0.3049788475036621,2.82968,334.4035470485687,12.583456993103027,400,153.066774644,1.8790335655212402,0.305633544921875,0.0470222172969,0.99595,28.26318597793579,0.00814473470091,0.0,1300.0,-0.00814473256469,65.21746134757996,72.25,1.00045,1000.0,400,93.25,2.83851,144.239167704,0.3854844570159912,-1.88592808037e-09,0.0
0.00839205924422,16.7875,16.75,2.79396866754e-10,0.0603667745811,21.98426651954651,0.31122660636901855,2.8184,403.55710530281067,12.510085105895996,400,165.248108915,2.078158140182495,0.3409874439239502,0.0588061527629,0.99035,27.93592858314514,0.00950563540682,0.0,1400.0,-0.00950563512743,68.42113447189331,46.5,0.991606,900.0,400,91.75,2.82064,108.571405075,0.37331151962280273,-8.61473614666e-10,0.0
0.00675251334906,16.8696,16.6463,7.01402380621e-10,0.0460129844017,16.785867929458618,0.3073883056640625,2.81219,465.08242559432983,12.352785110473633,400,257.467959172,1.614797830581665,0.2581055164337158,0.0455956699526,0.987269,26.972025871276855,0.00863213441626,0.0,2100.0,-0.00863213371485,61.519978761672974,104.5,0.994058,1500.0,400,135.5,2.82551,205.255328798,0.36384034156799316,1.74622938331e-09,0.0
0.00990271754563,16.743,16.7047,-7.10133618576e-10,0.0565675356708,17.530338287353516,0.2857096195220947,2.81569,529.197229385376,12.507781028747559,400,152.854301542,1.767564058303833,0.27970147132873535,0.0679163481804,0.988984,27.805577278137207,0.0108914424083,0.0,900.0,-0.0108914431185,63.4418568611145,66.5,0.990188,900.0,400,96.75,2.81798,122.383618185,0.3972322940826416,2.11875805789e-09,0.0
0.00687674572691,16.9355,16.7993,2.09547545982e-10,0.0432603423585,17.733722686767578,0.704458475112915,2.82134,589.897278547287,11.718154907226562,400,344.769488209,1.7934794425964355,0.29090452194213867,0.0595075524162,0.991778,25.25845456123352,0.00896494390909,0.0,3100.0,-0.00896494369954,60.69437551498413,99.5,0.995875,1700.0,400,178.0,2.82941,209.40331898,0.3582298755645752,-2.39815411973e-09,0.0
0.00656348513439,16.7939,16.7511,3.11993075819e-09,0.0554552233466,15.838467121124268,0.29975414276123047,2.81847,652.5298085212708,12.57911992073059,400,219.180148508,1.681565761566162,0.24554014205932617,0.0567790409289,0.990365,27.951347827911377,0.00812354995869,0.0,1700.0,-0.00812354683876,61.987759828567505,109.25,0.991764,1000.0,400,157.75,2.82101,172.30623175,0.3904590606689453,-4.14438661167e-09,0.0
