Perplexity,AveragePolicyStd,LossBefore,ItrTime,AverageReturn,LossAfter,MeanKL,ExplainedVariance,MaxKL,TotalExecTime,Entropy,StdReturn,MaxReturn,NumTrajs,MinReturn,Time
14.8902,0.935103,-0.0109835,17.613579988479614,5150.0,-0.0629809,0.230566,0.14380798567,0.590983,17.51292395591736,2.7007,2954.23424934,12200.0,20,200.0,17.613574981689453
14.7275,0.930415,-0.0199643,17.45544743537903,40090.0,-0.031856,0.0375199,0.934470708799,0.235672,17.384817600250244,2.68972,1626.00738006,42300.0,20,36100.0,35.0758900642395
14.5813,0.925862,-0.00927289,17.88767099380493,41390.0,-0.0134873,0.0072739,0.968706065319,0.0208345,17.801657676696777,2.67974,898.276126812,42800.0,20,39700.0,52.97883462905884
14.5138,0.923694,-0.0120881,18.569539546966553,41245.0,-0.0168094,0.0107041,0.961397810563,0.0622371,18.429183959960938,2.6751,1394.0857219,42600.0,20,38000.0,71.56801629066467
14.4263,0.92117,-0.0198782,17.136716842651367,41500.0,-0.0312703,0.0375844,0.965096377242,0.276974,17.036454916000366,2.66906,1020.78401241,42900.0,20,38700.0,88.708669424057
14.2837,0.916702,-0.00816747,17.96380877494812,41520.0,-0.0213764,0.0328533,0.96862709705,0.263665,17.882932901382446,2.65912,1283.58871918,42700.0,20,36800.0,106.68810081481934
14.2255,0.914771,-0.00540658,17.385788440704346,41970.0,-0.0132108,0.00882338,0.98026417723,0.357801,17.324272871017456,2.65503,694.334213474,42800.0,20,40600.0,124.08549404144287
