LossAfter,NumTrajs,StdReturn,MaxReturn,TotalExecTime,ExplainedVariance,MinReturn,ItrTime,LossBefore,Perplexity,AverageReturn,AveragePolicyStd,MeanKL,Entropy,Time,MaxKL
-0.00809231,20,217.944947177,1000.0,1.3937537670135498,0.280624746822,0.0,1.4383208751678467,0.0147931,8.55682,50.0,0.708267,0.255463,2.14673,1.4383161067962646,0.663614
-0.139858,20,833.351666465,2500.0,1.0085148811340332,0.75404048121,0.0,1.0835187435150146,0.030301,8.68434,1395.0,0.713345,1.30721,2.16152,2.524901866912842,3.75502
-0.00146796,20,759.522876548,2700.0,0.8281879425048828,0.896518232982,0.0,0.8582403659820557,0.0186728,8.81691,2125.0,0.718816,0.0491702,2.17667,3.3906736373901367,0.276815
-0.292824,20,694.910066124,2700.0,1.1955676078796387,0.874134895382,0.0,1.2328763008117676,-0.0603059,8.89961,2110.0,0.722268,1.23678,2.18601,4.631433963775635,4.86814
-0.0262697,20,508.207634732,2700.0,0.9041879177093506,0.944534240939,600.0,0.9263808727264404,0.0209701,8.63527,2315.0,0.711595,0.600103,2.15586,5.5635247230529785,2.15543
-0.251334,20,200.0,2900.0,0.9489188194274902,0.990251543184,2100.0,0.9750447273254395,-0.0654479,8.72629,2600.0,0.715176,1.77343,2.16634,6.542640686035156,8.57526
-0.073162,20,151.244834623,2900.0,0.9085581302642822,0.994494091392,2300.0,0.9287972450256348,-0.00667634,8.44535,2625.0,0.703372,0.462796,2.13362,7.475686550140381,2.27619
